img_id,reasons
10031,main_frac:0.457
10032,blobs:32
100320,main_frac:0.413
100324,ink_hi:0.477
100330,edge:0.196;main_frac:0.414
100331,blobs:85;edge:0.356
100332,ink_hi:0.471
100745,blobs:390;main_frac:0.199
100753,ink_hi:0.655;edge:0.397
100755,ink_hi:0.727;edge:0.729
100756,main_frac:0.464
100758,main_frac:0.547
100759,main_frac:0.512
10076,ink_hi:0.458;edge:0.167
100764,main_frac:0.363
100768,ink_hi:0.602;edge:0.272
100769,ink_hi:0.854;edge:0.467
100770,ink_hi:0.617;edge:0.211
100772,main_frac:0.527
100773,main_frac:0.465
100774,main_frac:0.501
100775,main_frac:0.491
100786,main_frac:0.486
100791,main_frac:0.546
100867,ink_hi:0.473;main_frac:0.502
100874,main_frac:0.509
100876,main_frac:0.540
100877,main_frac:0.471
100880,main_frac:0.509
100883,main_frac:0.275
100885,blobs:79;main_frac:0.488
100886,main_frac:0.493
100889,main_frac:0.425
100892,main_frac:0.499
100893,main_frac:0.514
100896,ink_hi:0.476;blobs:110;edge:0.293
100898,main_frac:0.508
100899,main_frac:0.491
100903,ink_hi:0.489;edge:0.895
100907,main_frac:0.483
100910,main_frac:0.446
100913,main_frac:0.298
100915,main_frac:0.520
100916,main_frac:0.510
100917,main_frac:0.492
100816,main_frac:0.545
100828,main_frac:0.381
100829,main_frac:0.375
100830,main_frac:0.241
100832,main_frac:0.355
100833,edge:0.223;main_frac:0.498
100834,main_frac:0.541
100835,edge:0.222
100836,blobs:34;main_frac:0.454
100837,main_frac:0.285
100839,blobs:47;main_frac:0.547
100840,main_frac:0.491
100842,ink_hi:0.466
10085,main_frac:0.516
100852,blobs:46
100400,ink_hi:0.492
100401,main_frac:0.333
100403,ink_hi:0.468
100404,ink_hi:0.469
100405,edge:0.151
100416,blobs:93
100420,blobs:50;edge:0.213
100421,edge:0.155
100427,blobs:41
100431,edge:0.209
100432,edge:0.205
100433,main_frac:0.447
10044,main_frac:0.374
100446,blobs:40
100449,blobs:32
1,edge:0.181
100000,main_frac:0.426
100001,main_frac:0.364
100002,blobs:146;main_frac:0.495
100003,blobs:126;main_frac:0.541
100004,blobs:41;main_frac:0.527
100005,blobs:46;main_frac:0.512
100006,blobs:64;main_frac:0.500
100007,main_frac:0.533
100008,main_frac:0.520
100009,main_frac:0.535
10001,main_frac:0.414
100010,main_frac:0.500
100012,main_frac:0.504
100014,main_frac:0.433
100022,main_frac:0.268
100023,blobs:54;edge:0.222
100025,main_frac:0.348
10003,main_frac:0.507
100030,ink_hi:0.483
100031,main_frac:0.508
100033,ink_hi:0.470
100035,main_frac:0.540
100036,main_frac:0.404
100037,main_frac:0.522
100038,main_frac:0.508
100039,main_frac:0.513
10004,main_frac:0.322
100041,main_frac:0.493
100042,main_frac:0.524
100045,edge:0.159;main_frac:0.500
100046,main_frac:0.374
100048,blobs:67;main_frac:0.438
100049,main_frac:0.362
10005,main_frac:0.518
100051,main_frac:0.470
100345,main_frac:0.529
100347,ink_hi:0.483;blobs:32
100348,edge:0.217
100350,edge:0.319;main_frac:0.280
100351,blobs:88;edge:0.379;main_frac:0.306
100353,edge:0.251;main_frac:0.396
100354,edge:0.165
100356,edge:0.190;main_frac:0.319
100357,ink_hi:0.519;edge:0.305
100358,ink_hi:0.465
100359,ink_hi:0.498
100360,ink_hi:0.630;edge:0.217
100361,ink_hi:0.469;edge:0.913
100362,ink_hi:0.500
100365,ink_hi:0.582
100366,ink_hi:0.624;edge:0.232
100367,ink_hi:0.539;edge:0.307
100368,ink_hi:0.624;edge:0.383
100369,edge:0.690
10037,main_frac:0.328
100371,ink_hi:0.590
100375,ink_hi:0.485;edge:0.296
100376,edge:0.948
100377,ink_hi:0.464
100378,edge:0.191
100380,edge:0.380
100381,ink_hi:0.652;edge:0.338
100385,ink_hi:0.459
100392,ink_hi:0.452;edge:0.917;main_frac:0.395
100393,ink_hi:0.458
100394,ink_hi:0.457
100228,main_frac:0.482
10023,main_frac:0.345
100235,main_frac:0.436
10024,main_frac:0.362
100244,main_frac:0.410
100247,main_frac:0.434
100248,main_frac:0.487
10025,main_frac:0.321
10026,main_frac:0.293
100266,main_frac:0.508
10027,main_frac:0.273
100514,main_frac:0.493
100528,main_frac:0.495
100531,main_frac:0.533
100533,main_frac:0.492
100545,main_frac:0.208
100555,edge:0.695
100561,main_frac:0.488
100563,ink_hi:0.498;edge:0.917
100566,blobs:32;main_frac:0.522
100567,blobs:50;main_frac:0.438
100569,blobs:36
10046,main_frac:0.248
100460,edge:0.172
100462,blobs:81
100465,ink_hi:0.467
100466,blobs:48
100467,ink_hi:0.464
100468,ink_hi:0.624
100469,edge:0.907
100470,edge:0.830
100471,edge:0.916
100474,edge:0.861
100480,main_frac:0.428
100489,blobs:184;main_frac:0.350
10049,main_frac:0.524
100494,main_frac:0.455
100495,blobs:66
100496,main_frac:0.539
100499,main_frac:0.506
1005,blobs:52
100501,main_frac:0.464
100503,main_frac:0.392
100504,main_frac:0.515
100505,main_frac:0.518
100506,main_frac:0.533
100507,main_frac:0.520
100508,main_frac:0.528
100509,main_frac:0.501
10051,ink_hi:0.468;blobs:161;edge:0.491;main_frac:0.381
100510,main_frac:0.542
100512,main_frac:0.538
100513,main_frac:0.430
100053,main_frac:0.493
100055,main_frac:0.488
100056,main_frac:0.459
100058,main_frac:0.520
100059,blobs:48;edge:0.155
100060,main_frac:0.518
100061,main_frac:0.280
100062,main_frac:0.447
100063,main_frac:0.544
100064,main_frac:0.456
100066,main_frac:0.491
100067,main_frac:0.544
100070,main_frac:0.414
100071,blobs:36;main_frac:0.534
100072,main_frac:0.510
