step,mse,ssim
1000,2.275272,0.174098
2000,1.593250,0.346302
3000,1.531910,0.297516
4000,1.351734,0.326552
5000,1.053025,0.432223
9000,0.917672,0.509950
13000,0.920977,0.525600
17000,0.873264,0.534538
21000,0.928142,0.506262
25000,0.835246,0.563092
29000,1.006863,0.496454
33000,0.907639,0.525075
37000,0.802446,0.568661
41000,0.871700,0.554314
45000,0.921854,0.529918
49000,0.889572,0.539682
