img_id,reasons
100903,edge:0.895
100361,edge:0.913
100369,edge:0.690
100376,edge:0.948
100555,edge:0.695
100563,edge:0.917
10046,main_frac:0.248
100474,edge:0.861
100495,blobs:66
100171,edge:0.936
100175,edge:0.972
100591,edge:0.801
100660,main_frac:0.240
10067,edge:0.680
101114,edge:0.879
10121,edge:0.764
101485,blobs:74
102166,main_frac:0.236
102201,edge:0.880
102648,blobs:52
102799,blobs:81
102806,blobs:61
102919,blobs:61
103104,blobs:65
103136,edge:0.726
103338,blobs:65
103365,edge:0.808
103671,edge:0.983
103817,main_frac:0.210
103833,edge:0.676
103976,edge:0.869
104042,main_frac:0.220
104325,edge:0.925
103929,main_frac:0.186
103955,blobs:55
103962,main_frac:0.203
104108,main_frac:0.169
104133,main_frac:0.226
10443,blobs:106
104217,blobs:158
104286,main_frac:0.206
104306,main_frac:0.169
10471,ink_lo:0.032;main_frac:0.246
104930,edge:0.721
104975,blobs:53
105217,main_frac:0.243
105218,blobs:55
105221,edge:0.728
105309,main_frac:0.243
105312,edge:0.728
105352,edge:0.977
105130,main_frac:0.199
105014,blobs:54
105015,blobs:76
105017,edge:0.682
105453,main_frac:0.186
105812,blobs:53
106108,blobs:77
106116,edge:0.675
106090,blobs:51
106641,edge:0.934
106708,edge:0.894
106792,main_frac:0.210
106937,edge:0.963
106894,main_frac:0.225
107091,edge:0.805
107601,ink_hi:0.506
107889,blobs:118
107960,edge:0.932
10830,blobs:54
108322,edge:0.774
108334,blobs:58
108344,main_frac:0.245
108548,edge:0.972
10892,edge:0.715
109025,edge:0.806
109706,edge:0.848
11010,blobs:125
110273,edge:0.904
110521,main_frac:0.189
110461,main_frac:0.185
110750,edge:0.915
111001,edge:0.916
111020,blobs:55
111222,main_frac:0.247
111468,main_frac:0.240
111516,edge:0.927
111530,blobs:71
111893,edge:0.878
112517,main_frac:0.246
112521,main_frac:0.216
112830,main_frac:0.236
112850,edge:0.928
112862,main_frac:0.218
112969,edge:0.930
112996,edge:0.727
113282,main_frac:0.243
113307,main_frac:0.236
113411,main_frac:0.245
113478,edge:0.931
113603,blobs:168
113918,main_frac:0.166
114139,main_frac:0.207
114292,edge:0.867
114335,main_frac:0.195
114055,main_frac:0.217
114097,blobs:106
114499,blobs:93
114428,main_frac:0.231
114567,edge:0.636
114568,main_frac:0.249
114651,blobs:92;main_frac:0.178
114772,main_frac:0.219
114855,main_frac:0.238
114859,blobs:206
114919,main_frac:0.193
114964,blobs:99;edge:0.772
115434,blobs:196
115816,ink_lo:0.027
115983,main_frac:0.227
116030,main_frac:0.197
115898,main_frac:0.197
116116,main_frac:0.227
116159,main_frac:0.245
116181,blobs:99
116272,edge:0.829
116216,main_frac:0.210
116535,blobs:78
116671,edge:0.932
117006,main_frac:0.217
117125,main_frac:0.245
117133,main_frac:0.205
117052,blobs:209;main_frac:0.223
117179,main_frac:0.205
117240,edge:0.833
117254,main_frac:0.210
117730,blobs:99
117831,blobs:99
118390,blobs:68
118553,blobs:234
119030,blobs:176
119042,edge:0.666
119301,blobs:65
119303,main_frac:0.244
