series,run,step,model,vae,latent_channels,latent_spatial,vae_scaling_factor,data_csv,img_root,char_embed_dim,callig_embed_dim,num_characters,dino,cond_mode,condition_fusion,sampler,use_skel,skel_root,w_skel,use_canny,w_canny,glyph_init_mix,w_glyph_cond,balance_callig_alpha,balance_char_alpha,lr,weight_decay,warmup_steps,max_steps,batch_size,ema_decay,lr_schedule,min_lr_ratio,resume,train_ctrl_only,main_ckpt,skel_cond_channels,cond_drop_struct_prob,eval_csv,eval_n,eval_steps,eval_cfg,eval_seed,mse,ssim,ssim_old_uniform,skel_iou,lpips,mse_base,ssim_base,mse_ctrl,ssim_ctrl,skel_iou_base,skel_iou_ctrl,lpips_base,lpips_ctrl,delta_ssim,delta_mse,delta_skel_iou,delta_lpips,src
compositional,20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,18000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,192,128,7026,none,3cond,factorized_add,factor_balanced,False,final_skeleton,0.0,False,0.0,1.0,False,0.15,0.35,0.0001,0.02,500,20000,224,0.9999,cosine,0.1,,,,,,5script/eval_strata/clean_unseen_triple_100.csv,100,50,4.0,0,1.0087336254119874,0.4577935236692429,,,,,,,,,,,,,,,,eval_auto
compositional,20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,20000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,192,128,7026,none,3cond,factorized_add,factor_balanced,False,final_skeleton,0.0,False,0.0,1.0,False,0.15,0.35,0.0001,0.02,500,20000,224,0.9999,cosine,0.1,,,,,,5script/eval_strata/clean_unseen_triple_100.csv,100,50,4.0,0,1.0049703168869017,0.4576165620982646,,,,,,,,,,,,,,,,eval_auto
compositional,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,21000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,192,128,7026,none,3cond,factorized_add,factor_balanced,False,final_skeleton,0.0,False,0.0,1.0,False,0.15,0.35,1e-05,0.02,0,24000,224,0.9999,constant,1.0,5script/results/compositional/20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1/checkpoints/0020000.pt,,,,,5script/eval_strata/clean_unseen_triple_100.csv,100,50,4.0,0,1.0042542123794556,0.4544779363026219,,,,,,,,,,,,,,,,eval_auto
compositional,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,22000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,192,128,7026,none,3cond,factorized_add,factor_balanced,False,final_skeleton,0.0,False,0.0,1.0,False,0.15,0.35,1e-05,0.02,0,24000,224,0.9999,constant,1.0,5script/results/compositional/20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1/checkpoints/0020000.pt,,,,,5script/eval_strata/clean_unseen_triple_100.csv,100,50,4.0,0,1.0026209497451781,0.45330776728689676,,,,,,,,,,,,,,,,eval_auto
compositional,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,23000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,192,128,7026,none,3cond,factorized_add,factor_balanced,False,final_skeleton,0.0,False,0.0,1.0,False,0.15,0.35,1e-05,0.02,0,24000,224,0.9999,constant,1.0,5script/results/compositional/20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1/checkpoints/0020000.pt,,,,,5script/eval_strata/clean_unseen_triple_100.csv,100,50,4.0,0,1.004261622428894,0.45090390838682665,,,,,,,,,,,,,,,,eval_auto
compositional,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,24000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,192,128,7026,none,3cond,factorized_add,factor_balanced,False,final_skeleton,0.0,False,0.0,1.0,False,0.15,0.35,1e-05,0.02,0,24000,224,0.9999,constant,1.0,5script/results/compositional/20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1/checkpoints/0020000.pt,,,,,5script/eval_strata/clean_unseen_triple_100.csv,100,50,4.0,0,1.0021976900100709,0.4503199396034083,,,,,,,,,,,,,,,,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,2500,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.2545868337340653,0.8016334242570834,0.5033210332103321,0.6694283347141674,0.22642190754413605,0.17391982674598694,0.07240984759718783,-0.1794086813740432,0.16610730150383535,-0.05250208079814911,eval_auto
ctrl_skel,20260822-215523-ctrl-skel-3px,5000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,1e-05,0.01,2000,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4431906706094742,0.7254574610789619,0.26587607476860287,0.7973520987232529,,,,,0.07189463764429094,-0.17731459584087134,,,eval_auto
ctrl_skel,20260822-225755-ctrl-skel-3px,5000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,1e-05,0.01,2000,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4431906706094742,0.7254574610789619,0.26587607476860287,0.7973520987232529,,,,,0.07189463764429094,-0.17731459584087134,,,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,5000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.24876504233106972,0.8037399971898965,0.5033210332103321,0.6596491228070176,0.22642190754413605,0.17261336743831635,0.07451642053000096,-0.1852304727770388,0.15632808959668554,-0.0538085401058197,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,7500,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.244548623226583,0.8047002380079411,0.5033210332103321,0.6663075680043092,0.22642190754413605,0.17154522240161896,0.07547666134804554,-0.18944689188152553,0.16298653479397718,-0.05487668514251709,eval_auto
ctrl_skel,20260822-215523-ctrl-skel-3px,10000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,1e-05,0.01,2000,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4431906706094742,0.7254574610789619,0.2593613172881305,0.8007612740000085,,,,,0.0753038129210466,-0.1838293533213437,,,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,10000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.23903042832389473,0.8075587950673951,0.5033210332103321,0.681954681954682,0.22642190754413605,0.16950255632400513,0.07833521840749957,-0.1949650867842138,0.17863364874434995,-0.05691935122013092,eval_auto
