img_id,class,has_frame,is_inverted,frame_has_main,clean_ink,main_in_band_frac,n_small,t,b,l,r,clean_ink_full,mean_gray
19129,noise_cleanable,0,0,0,0.217437744140625,0.0,120,0,0,0,0,1.0,0.217437744140625
19346,noise_cleanable,0,0,0,0.2020263671875,0.0,40,0,0,0,0,1.0,0.2020263671875
18732,noise_cleanable,0,0,0,0.273956298828125,0.0,87,0,0,0,0,1.0,0.273956298828125
18778,char_touch,1,0,1,0.25517672936893204,0.4088912551577266,4,26,24,0,0,0.5126280903584626,0.4005584716796875
18816,noise_cleanable,0,0,0,0.44390869140625,0.0,99,0,0,0,0,1.0,0.44390869140625
19558,noise_cleanable,0,0,0,0.2628631591796875,0.0,65,0,0,0,0,1.0,0.2628631591796875
19660,char_touch,1,0,1,0.42122977120535715,0.3077154233340846,134,0,0,16,16,0.7467462206696138,0.4935760498046875
242465,noise_cleanable,0,0,0,0.355804443359375,0.0,67,0,0,0,0,1.0,0.355804443359375
19890,char_touch,1,0,1,0.2256457270408163,0.9988294966835739,0,30,30,0,0,0.4243310096694401,0.407135009765625
19349,noise_cleanable,0,0,0,0.2575836181640625,0.0,42,0,0,0,0,1.0,0.2575836181640625
19402,noise_cleanable,0,0,0,0.302276611328125,0.0,98,0,0,0,0,1.0,0.302276611328125
19426,char_touch,1,0,1,0.1472470238095238,1.0,0,0,0,23,23,0.40199065610400164,0.30047607421875
19530,noise_cleanable,0,0,0,0.479034423828125,0.0,60,0,0,0,0,1.0,0.479034423828125
19499,noise_cleanable,0,0,0,0.2810516357421875,0.0,33,0,0,0,0,1.0,0.2810516357421875
20247,noise_cleanable,0,0,0,0.2628631591796875,0.0,65,0,0,0,0,1.0,0.2628631591796875
20098,noise_cleanable,0,0,0,0.295623779296875,0.0,107,0,0,0,0,1.0,0.295623779296875
242759,noise_cleanable,0,0,0,0.195037841796875,0.0,126,0,0,0,0,1.0,0.195037841796875
20874,noise_cleanable,0,0,0,0.217529296875,0.0,77,0,0,0,0,1.0,0.217529296875
20969,char_touch,1,0,1,0.1678637432795699,0.920863309352518,0,0,0,35,35,0.3084552155288851,0.3954010009765625
21010,crop_safe,1,0,0,0.2836959696261682,0.0,4,21,21,0,0,0.5910854187267057,0.401214599609375
21059,noise_cleanable,0,0,0,0.3057708740234375,0.0,151,0,0,0,0,1.0,0.3057708740234375
21188,noise_cleanable,0,0,0,0.1526641845703125,0.0,34,0,0,0,0,1.0,0.1526641845703125
21661,noise_cleanable,0,0,0,0.21990966796875,0.0,39,0,0,0,0,1.0,0.21990966796875
21740,noise_cleanable,0,0,0,0.2978668212890625,0.0,154,0,0,0,0,1.0,0.2978668212890625
21833,noise_cleanable,0,0,0,0.2884521484375,0.0,59,0,0,0,0,1.0,0.2884521484375
21216,noise_cleanable,0,0,0,0.28155517578125,0.0,37,0,0,0,0,1.0,0.28155517578125
21223,noise_cleanable,0,0,0,0.373931884765625,0.0,202,0,0,0,0,1.0,0.373931884765625
21462,noise_cleanable,0,0,0,0.3900604248046875,0.0,72,0,0,0,0,1.0,0.3900604248046875
21870,noise_cleanable,0,0,0,0.3168792724609375,0.0,36,0,0,0,0,1.0,0.3168792724609375
22003,noise_cleanable,0,0,0,0.3539886474609375,0.0,41,0,0,0,0,1.0,0.3539886474609375
22092,noise_cleanable,0,0,0,0.1335601806640625,0.0,43,0,0,0,0,1.0,0.1335601806640625
22119,clean_noop,0,0,0,0.51446533203125,0.0,0,0,0,0,0,1.0,0.51446533203125
31288,noise_cleanable,0,0,0,0.2756805419921875,0.0,84,0,0,0,0,1.0,0.2756805419921875
31383,char_touch,1,0,1,0.39740501101321585,0.26341132829219577,3,14,15,0,0,0.7577020243446307,0.4650726318359375
247346,char_touch,1,0,1,0.21119014303482586,0.9855802883942321,6,0,0,27,28,0.4356034793762777,0.3806610107421875
31985,noise_cleanable,0,0,0,0.2173919677734375,0.0,38,0,0,0,0,1.0,0.2173919677734375
32012,noise_cleanable,0,0,0,0.213226318359375,0.0,59,0,0,0,0,1.0,0.213226318359375
32835,noise_cleanable,0,0,0,0.302337646484375,0.0,40,0,0,0,0,1.0,0.302337646484375
32847,noise_cleanable,0,0,0,0.224609375,0.0,77,0,0,0,0,1.0,0.224609375
32499,char_touch,1,0,1,0.09006197625698324,1.0,0,38,39,0,0,0.17311967783883553,0.3637542724609375
32515,noise_cleanable,0,0,0,0.3538970947265625,0.0,57,0,0,0,0,1.0,0.3538970947265625
32725,char_touch,1,0,1,0.18995028409090908,0.8900907861695962,4,0,0,18,18,0.5372100030129557,0.303863525390625
32811,noise_cleanable,0,0,0,0.116790771484375,0.0,37,0,0,0,0,1.0,0.116790771484375
32289,noise_cleanable,0,0,0,0.2860260009765625,0.0,72,0,0,0,0,1.0,0.2860260009765625
33133,crop_safe,1,0,0,0.13827384478672985,0.0,1,22,23,0,0,0.39333298225288327,0.2897491455078125
33212,noise_cleanable,0,0,0,0.2336883544921875,0.0,54,0,0,0,0,1.0,0.2336883544921875
33502,char_touch,1,0,1,0.21217005461165048,1.0,2,0,0,25,25,0.46642211013381135,0.3660430908203125
248099,crop_safe,1,0,0,0.22045554577464788,0.0,3,0,0,21,22,0.5219940075556907,0.3513946533203125
34824,char_touch,1,0,1,0.32439024390243903,0.5721674337058953,65,0,0,26,25,0.5659950794600704,0.458953857421875
33970,char_touch,1,0,1,0.2257903343023256,0.8752136752136752,8,0,0,42,42,0.31616103796985306,0.479827880859375
33990,noise_cleanable,0,0,0,0.212982177734375,0.0,30,0,0,0,0,1.0,0.212982177734375
34349,char_touch,1,0,1,0.24278971354166667,0.5792885137172143,3,16,0,0,0,0.7895098973219011,0.288299560546875
35068,noise_cleanable,0,0,0,0.4087066650390625,0.0,88,0,0,0,0,1.0,0.4087066650390625
35250,noise_cleanable,0,0,0,0.2034454345703125,0.0,33,0,0,0,0,1.0,0.2034454345703125
35261,noise_cleanable,0,0,0,0.2921142578125,0.0,52,0,0,0,0,1.0,0.2921142578125
248798,noise_cleanable,0,0,0,0.3505401611328125,0.0,56,0,0,0,0,1.0,0.3505401611328125
35603,char_touch,1,0,1,0.22584343905472637,0.6135878328321785,1,0,0,27,28,0.45216139449826853,0.3921661376953125
35604,noise_cleanable,0,0,0,0.4135589599609375,0.0,39,0,0,0,0,1.0,0.4135589599609375
35646,noise_cleanable,0,0,0,0.387603759765625,0.0,30,0,0,0,0,1.0,0.387603759765625
35677,char_touch,1,0,1,0.09500294811320754,1.0,4,22,22,0,0,0.31400730816077954,0.25054931640625
35701,noise_cleanable,0,0,0,0.2135009765625,0.0,61,0,0,0,0,1.0,0.2135009765625
35732,noise_cleanable,0,0,0,0.1783294677734375,0.0,31,0,0,0,0,1.0,0.1783294677734375
35992,noise_cleanable,0,0,0,0.1993560791015625,0.0,41,0,0,0,0,1.0,0.1993560791015625
249143,noise_cleanable,0,0,0,0.189178466796875,0.0,38,0,0,0,0,1.0,0.189178466796875
22358,noise_cleanable,0,0,0,0.22100830078125,0.0,47,0,0,0,0,1.0,0.22100830078125
22463,crop_safe,1,0,0,0.1962376644736842,0.0,0,14,14,0,0,0.6150789388894855,0.284149169921875
243533,crop_safe,1,0,0,0.28404546800947866,0.0,1,22,23,0,0,0.5711573539813126,0.4098968505859375
22584,noise_cleanable,0,0,0,0.187530517578125,0.0,53,0,0,0,0,1.0,0.187530517578125
22713,noise_cleanable,0,0,0,0.275299072265625,0.0,95,0,0,0,0,1.0,0.275299072265625
23654,noise_cleanable,0,0,0,0.1474456787109375,0.0,74,0,0,0,0,1.0,0.1474456787109375
23818,noise_cleanable,0,0,0,0.1224822998046875,0.0,57,0,0,0,0,1.0,0.1224822998046875
