path,model,fusion,dims,params,lr,repa,struct_loss,ema,imgcount,earlystop,step_start,step_end,n_steps,diff_first,diff_last,skel_first,skel_last,canny_first,canny_last,steps_sec_first,steps_sec_last,eval_n,ssim_best,ssim_best_step,ssim_last,size_mb,error,repa_first,repa_last
_aborted/_archive_ref12ch_precleanup_1252/20260912-123352-v11-pretrain-S2-ref12ch,DiT-2Cond-S/2,factorized_add,128/None,"38,736,050",0.0001 0.02,,,0.9999,"113,540",ssim 5,50,1300,27,2.3126,0.4404,0.0,0.0,0.0,0.0,0.94,5.78,,,,,592.1,,0.0,0.0
_aborted/_archive_v11_pretrain_S2_nostruct/20260912-121045-v11-pretrain-S2,DiT-2Cond-S/2,factorized_add,128/None,"38,711,442",0.0001 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,1750,36,2.2268,0.4633,0.0,0.0,0.0,0.0,0.61,3.18,,,,,595.7,,0.0308,0.0077
_aborted/_archive_v11_pretrain_S2_pixelstruct_1233/20260912-122236-v11-pretrain-S2,DiT-2Cond-S/2,factorized_add,128/None,"38,711,442",0.0001 0.02,dinov2_vits14 0.03,"0.1 0.02,",0.9999,"113,540",ssim 5,50,250,5,2.2268,1.1186,1.1637,1.3252,0.0616,0.0599,0.71,3.13,,,,,0.0,,0.0302,0.0207
_aborted/_archive_v11_struct-loss_t500/20260912-030448-v11_struct-loss,DiT-2Cond-Sp/2,factorized_add,128/None,"75,834,258",5e-05 0.02,dinov2_vits14 0.03,"0.1 0.02,",0.9999,"113,540",ssim 5,390050,407050,358,0.1505,0.138,6.5702,5.385,0.2774,0.2601,0.67,4.09,,,,,6985.7,,0.0275,0.0038
c41x_sty16/20260910-150038-c41x-sty16,DiT-2Cond-Sp/2,factorized_add,128/384,"76,899,474",0.00015 0.02,dinov2_vits14 0.03,,0.9999,"28,385",ssim 5,50,24550,515,1.9205,0.3063,,,,,0.71,4.04,,,,,2367.8,,0.0295,0.0036
lrtest/20260909-175311-lrtest-5e-6,DiT-2Cond-Sp/2,factorized_add,128/384,,,,,,,,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-175319-lrtest-1.5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,,,,,,,,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-175327-lrtest-5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,,,,,,,,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-175335-lrtest-1.5e-4,DiT-2Cond-Sp/2,factorized_add,128/384,,,,,,,,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-175529-lrtest-5e-6,DiT-2Cond-Sp/2,factorized_add,128/384,"344,665,234",,,,,,,,,0,,,,,,,,,,,,,0.0,,,
