path,model,fusion,dims,params,lr,repa,struct_loss,ema,imgcount,earlystop,step_start,step_end,n_steps,diff_first,diff_last,skel_first,skel_last,canny_first,canny_last,steps_sec_first,steps_sec_last,eval_n,ssim_best,ssim_best_step,ssim_last,size_mb,error,repa_first,repa_last
lrtest/20260909-175541-lrtest-1.5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,"344,665,234",,,,,,,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-175553-lrtest-5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,"344,665,234",,,,,,,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-175604-lrtest-1.5e-4,DiT-2Cond-Sp/2,factorized_add,128/384,"344,665,234",,,,,,,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-175836-lrtest-5e-6,DiT-2Cond-Sp/2,factorized_add,128/384,"344,665,234",5e-06 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-180124-lrtest-1.5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,"344,665,234",1.5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-180411-lrtest-5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,"344,665,234",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,,,0,,,,,,,,,,,,,0.0,,,
lrtest/20260909-180627-lrtest-5e-6,DiT-2Cond-Sp/2,factorized_add,128/384,"84,231,378",5e-06 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,175050,177000,42,0.1921,0.1877,,,,,0.65,4.19,,,,,0.0,,0.0301,0.008
lrtest/20260909-181653-lrtest-1.5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,"84,231,378",1.5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,175050,177000,42,0.1924,0.1836,,,,,0.66,4.21,,,,,0.0,,0.0281,0.0055
lrtest/20260909-182726-lrtest-5e-5,DiT-2Cond-Sp/2,factorized_add,128/384,"84,231,378",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,175050,177000,42,0.1949,0.183,,,,,0.67,4.21,,,,,0.0,,0.0225,0.0043
lrtest/20260909-183752-lrtest-1.5e-4,DiT-2Cond-Sp/2,factorized_add,128/384,"84,231,378",0.00015 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,175050,177000,42,0.2085,0.204,,,,,0.69,4.21,,,,,0.0,,0.0153,0.0039
smoke_c41x_sty32/20260910-144545-smoke-c41x-sty32,DiT-2Cond-Sp/2,factorized_add,128/384,"77,964,434",0.00015 0.02,dinov2_vits14 0.03,,,"28,385",ssim 5,50,1000,21,1.4651,0.4274,,,,,0.63,4.26,,,,,895.7,,0.0233,0.0063
v10a_skel_cond_pretrain/20260906-010643-v10a-skel-cond-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"46,425,491",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim 5,50,23750,475,1.0074,0.2038,,,,,0.66,2.81,6,0.6137,10000,0.6112,1458.3,,,
v10a_skel_cond_pretrain/20260906-054343-v10a-skel-cond-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"46,425,491",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim 5,22550,22600,2,1.0125,0.5029,,,,,0.8,2.83,,,,,0.0,,,
v10a_skel_cond_pretrain/20260906-054549-v10a-skel-cond-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"46,425,491",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim 5,22550,140600,2362,0.2054,0.1191,,,,,0.83,2.56,26,0.8422,95000,0.8422,1578.6,,,
v10adino_skel_cond_pretrain/20260907-033105-v10a-dino-skel-cond-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,639,891",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim 5,50,80150,1603,1.0717,0.1614,,,,,0.78,2.79,,,,,1178.0,,,
v10b_skel_only_pretrain/20260906-175850-v10b-skel-only-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim 5,50,86500,1730,1.0414,0.1642,,,,,0.83,2.8,17,0.8397,82500,0.8397,1110.2,,,
v10b_stdskel_fame3/20260907-144350-v10b-stdskel-fame3,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,50,58700,1174,1.1519,0.2932,,,,,0.84,2.6,1,0.5712,7500,0.5712,1103.7,,,
v10b_stdskel_fame3_c41/20260908-171835-v10b-stdskel-fame3-c41,DiT-2Cond-Sp/2,factorized_add,128/384,"65,303,442",0.00015 0.02,dinov2_vits14 0.03,,0.9999,,,,,0,,,,,,,,,,,,,0.0,,,
v10b_stdskel_fame3_c41/20260908-172252-v10b-stdskel-fame3-c41,DiT-2Cond-Sp/2,factorized_add,128/384,"65,303,442",0.00015 0.02,dinov2_vits14 0.03,,0.9999,"28,385",ssim 5,50,3950,79,1.1096,0.3537,,,,,0.67,3.43,,,,,2000.7,,,
v10b_stdskel_fame3_c41d01/20260908-174401-v10b-stdskel-fame3-c41d01,DiT-2Cond-Sp/2,factorized_add,128/384,"65,303,442",0.00015 0.02,dinov2_vits14 0.03,,0.9999,"28,385",ssim 5,50,16800,336,1.0907,0.3115,,,,,0.78,3.31,,,,,2000.9,,,
v10b_stdskel_fame3_c41x_cos_clean/20260910-120052-v10b-stdskel-fame3-c41x-cos-clean,DiT-2Cond-Sp/2,factorized_add,128/384,"75,834,258",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,172550,175450,62,0.2486,0.1831,,,,,0.69,4.25,,,,,1164.2,,0.0151,0.0041
v10b_stdskel_fame3_c41x_cos_e_struct/20260912-010838-v10b-stdskel-fame3-c41x-cos-e-struct,DiT-2Cond-Sp/2,factorized_add,128/None,"75,834,258",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,390050,391700,35,0.1468,0.1295,0.0,0.0,0.0,0.0,0.68,4.24,,,,,0.0,,0.0279,0.0065
v10b_stdskel_fame3_c41x_cos_e_struct/20260912-011838-v10b-stdskel-fame3-c41x-cos-e-struct,DiT-2Cond-Sp/2,factorized_add,128/None,"75,834,258",5e-05 0.02,dinov2_vits14 0.03,"0.1 0.1,",0.9999,"113,540",ssim 5,390050,411350,448,0.2108,0.2789,5.3995,2.0635,0.2926,0.3665,0.6,3.35,,,,,2352.6,,0.0275,0.0038
v10b_stdskel_fame3_c41x_cos_e_struct_sk002/20260912-025853-v10b-stdskel-fame3-c41x-cos-e-struct-sk002,DiT-2Cond-Sp/2,factorized_add,128/None,"75,834,258",5e-05 0.02,dinov2_vits14 0.03,"0.1 0.02,",0.9999,"113,540",ssim 5,390050,390350,7,0.1505,0.1432,6.5702,6.0517,0.2774,0.2659,0.67,4.1,,,,,0.0,,0.0275,0.0129
v10b_stdskel_fame3_c41x_scratch/20260910-133702-v10b-stdskel-fame3-c41x-scratch,DiT-2Cond-Sp/2,factorized_add,128/384,"77,415,570",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,13400,281,2.1538,0.3325,,,,,0.63,4.02,,,,,2378.1,,0.0287,0.0049
v10b_stdskel_fame3_c41x_scratch/20260910-172525-v10b-stdskel-fame3-c41x-scratch,DiT-2Cond-Sp/2,factorized_add,128/384,"77,415,570",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,12550,13900,29,0.3338,0.3321,,,,,0.65,4.2,,,,,0.0,,0.0125,0.0055
v10b_stdskel_fame3_d01/20260907-211427-v10b-stdskel-fame3-d01,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,50,24150,483,1.151,0.3126,,,,,0.78,2.63,2,0.5799,5000,0.5705,1036.4,,,
v10b_stdskel_fame3_deep/20260908-003035-v10b-stdskel-fame3-deep,DiT-2Cond-S/2,factorized_add,128/384,"35,292,946",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,50,33000,660,1.09,0.3005,,,,,0.7,2.7,2,0.5744,5000,0.5705,1137.4,,,
v10b_stdskel_fame3_deep/20260908-040914-v10b-stdskel-fame3-deep,DiT-2Cond-S/2,factorized_add,128/384,"35,292,946",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,,,0,,,,,,,,,,,,,0.0,,,
v10b_stdskel_fame3_mid/20260907-234643-v10b-stdskel-fame3-mid,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,50,450,9,1.151,0.4738,,,,,0.71,2.65,,,,,0.0,,,
v10b_stdskel_fame3_mid/20260907-235343-v10b-stdskel-fame3-mid,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,50,5700,114,1.152,0.3577,,,,,0.75,2.8,,,,,1010.8,,,
v10b_stdskel_fame3_scratch_sty32/20260910-173813-v10b-stdskel-fame3-scratch-sty32,DiT-2Cond-Sp/2,factorized_add,128/None,"77,964,434",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,48650,1021,2.21,0.2973,,,,,0.72,4.2,,,,,2457.8,,0.029,0.0038
v10b_stdskel_fame3_scratch_sty32/20260910-205828-v10b-stdskel-fame3-scratch-sty32,DiT-2Cond-Sp/2,factorized_add,128/None,"77,964,434",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,47550,73550,547,0.2961,0.2923,,,,,0.71,4.1,,,,,2431.6,,0.0212,0.0041
v10b_stdskel_fame3_scratch_sty32/20260910-224716-v10b-stdskel-fame3-scratch-sty32,DiT-2Cond-Sp/2,factorized_add,128/None,"77,964,434",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,72550,204050,2763,0.2963,0.2293,,,,,0.46,4.1,,,,,2557.8,,0.0127,0.0033
v10b_stdskel_fame3_scratch_sty32_s/20260911-075000-v10b-stdskel-fame3-scratch-sty32-s,DiT-2Cond-S/2,factorized_add,128/None,"43,875,730",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,113100,2375,2.1677,0.2831,,,,,0.63,2.42,,,,,1509.0,,0.0301,0.0036
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-141832-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"43,875,730",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,1600,33,2.1677,0.5492,,,,,0.74,5.54,,,,,674.9,,0.0301,0.0083
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-142555-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"43,900,338",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,10950,229,2.3343,0.2548,,,,,0.72,5.45,,,,,1372.9,,0.0302,0.0056
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-150233-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"43,900,338",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,1000,21,2.333,0.5215,,,,,0.42,3.73,,,,,673.3,,0.0302,0.0092
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-151113-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"43,900,338",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,38100,800,2.333,0.2135,,,,,0.47,3.76,,,,,1392.6,,0.0302,0.0046
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-180759-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"39,157,170",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,13300,279,2.3241,0.2514,,,,,0.62,4.14,,,,,1211.4,,0.0306,0.0055
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-193749-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"36,370,610",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,850,17,2.3292,0.5915,,,,,0.71,4.41,,,,,0.0,,0.0301,0.0096
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-194343-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"36,370,610",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,650,13,2.3276,0.6936,,,,,0.6,3.0,,,,,0.0,,0.0301,0.0106
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-195016-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"36,370,610",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,1300,27,2.3279,0.4857,,,,,0.62,3.35,,,,,560.2,,0.0301,0.0086
v10b_stdskel_fame3_scratch_sty32_s_aux/20260911-201236-v10b-stdskel-fame3-scratch-sty32-s-aux,DiT-2Cond-S/2,factorized_add,128/None,"36,370,610",5e-05 0.02,dinov2_vits14 0.03,,0.9999,"113,540",ssim 5,50,35650,748,2.3279,0.215,,,,,0.78,3.33,,,,,1181.7,,0.0301,0.0046
v10b_stdskel_fame3_sp/20260908-051518-v10b-stdskel-fame3-sp,DiT-2Cond-Sp/2,factorized_add,128/384,"65,433,106",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,,,0,,,,,,,,,,,,,0.0,,,
v10b_stdskel_fame3_sp/20260908-052149-v10b-stdskel-fame3-sp,DiT-2Cond-Sp/2,factorized_add,128/384,"65,433,106",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"28,385",ssim 5,50,80000,1600,1.1151,0.2129,,,,,0.69,3.25,,,,,2005.3,,,
v10b_stdskel_fame3_sp2/20260908-135937-v10b-stdskel-fame3-sp2,DiT-2Cond-Sp/2,factorized_add,128/384,"65,433,106",0.00015 0.02,dinov2_vits14 0.03,,0.9999,"28,385",ssim 5,50,29200,584,1.1218,0.2984,,,,,0.78,3.41,,,,,2012.2,,,
v10b_stdskel_pretrain/20260907-140753-v10b-stdskel-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.1,,0.9999,,,,,0,,,,,,,,,,,,,0.0,,,
v10b_stdskel_pretrain/20260907-141032-v10b-stdskel-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim 5,50,4400,88,1.154,0.3744,,,,,0.81,2.76,1,0.5404,1000,0.5404,1015.6,,,
v10brepa_strong/20260907-125716-v10b-repa-strong,DiT-2Cond-S/2,factorized_add,128/384,"32,638,738",0.00015 0.02,dinov2_vits14 0.5,,0.9999,"51,321",ssim 5,50,7750,155,1.0508,0.2454,,,,,0.83,2.76,,,,,1029.5,,,
v8_3stage/v8a/20260902-122709-v8a-s30-base,DiT-2Cond-S/2,factorized_add,128/384,"32,929,427",,,,0.9999,"51,321",ssim_lpips 5,20,2060,103,2.3524,0.419,,,,,0.41,8.51,,,,,1280.4,,,
v8_3stage/v8a/20260902-123403-v8a-s30-base,DiT-2Cond-S/2,factorized_add,128/384,"32,929,427",,,,0.9999,"51,321",ssim_lpips 5,20,1600,80,2.3483,0.4334,,,,,0.42,4.17,,,,,642.7,,,
v8_3stage/v8a/20260902-125615-v8a-s30-base,DiT-2Cond-S/2,factorized_add,128/384,"32,929,427",,,,0.9999,"51,321",ssim_lpips 5,20,133740,6687,2.359,0.2342,,,,,0.28,3.99,,,,,3268.7,,,
v9a_repa_pretrain/20260904-232227-v9a-repa-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,929,427",0.00015 0.02,,,0.9999,"51,321",ssim_lpips 5,20,1000,50,2.4221,0.5211,,,,,0.44,3.78,,,,,606.4,,,
v9a_repa_pretrain/20260904-233358-v9a-repa-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,929,427",0.00015 0.02,,,0.9999,"51,321",ssim_lpips 5,,,0,,,,,,,,,,,,,0.0,,,
v9a_repa_pretrain/20260905-003217-v9a-repa-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,929,427",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim_lpips 5,20,200,10,2.4214,1.1656,,,,,0.2,2.36,,,,,0.0,,,
v9a_repa_pretrain/20260905-004106-v9a-repa-pretrain,DiT-2Cond-S/2,factorized_add,128/384,"32,929,427",0.00015 0.02,dinov2_vits14 0.1,,0.9999,"51,321",ssim_lpips 5,20,131240,6562,2.4223,0.2673,,,,,0.26,2.81,,,,,1220.4,,,
