rows(作品列): 1393, bad: 0
total chars (bbox): 39105

styles: 楷:20221, 行:9817, 草:4731, 隶:2694, 篆:1642

calligraphers (93):
  赵孟頫: 3491
  佚名: 2371
  王羲之: 2286
  欧阳询: 2214
  颜真卿: 2095
  文征明: 1565
  摩崖刻石: 1361
  柳公权: 1307
  张即之: 1243
  褚遂良: 1227
  墓志: 1061
  欧阳通: 860
  邓石如: 791
  造像记: 737
  赵佶\宋徽宗: 725
  李邕: 710
  孙过庭: 680
  钟绍京: 659
  米芾: 649
  苏轼: 610
  董其昌: 557
  金文刻石: 543
  黄庭坚: 476
  虞世南: 472
  怀素: 437
  姜夔: 413
  宋克: 381
  智永: 380
  黄自元: 361
  邓文原: 359
  蔡襄: 345
  沈尹默: 337
  钟繇: 334
  金农: 330
  唐寅: 324
  祝允明: 318
  吴通微: 307
  陆柬之: 304
  何绍基: 295
  杨维桢: 280
  傅山: 277
  王献之: 262
  王铎: 245
  康里巎巎: 235
  赵之谦: 230
  徐渭: 224
  李孝光: 207
  简牍帛书盟书: 167
  鲜于枢: 157
  张旭: 152
  朱登: 142
  王宠: 140
  王福庵: 128
  张弼: 105
  姚孟起: 104
  吴让之: 100
  朱耷\八大山人: 93
  乾隆: 92
  李阳冰: 88
  杨秀: 84
  文彭: 84
  吴昌硕: 83
  杨凝式: 83
  仇靖: 83
  柯九思: 82
  吴琚: 75
  李斯: 73
  薛绍彭: 71
  王诜: 67
  黄道周: 65
  索靖: 64
  张瑞图: 63
  陆机: 63
  康熙: 53
  小野道风: 52
  杨沂孙: 52
  宋珏: 51
  李倜: 51
  王珣: 47
  空海: 46
  曾巩: 41
  皇象: 35
  黄养正: 34
  刘日升: 34
  龚贤: 33
  姜立纲: 32
  冯子振: 28
  陆游: 28
  张芝: 27
  蔡京: 27
  文天祥: 26
  陶弘景: 19
  赵构: 6
