step,set,n,frag_mean,hole_pred_mean,hole_gt_mean,ink_ssim_mean,ink_iou_mean,ssim_mean
5000,g,20,2.0179184704184707,0.06652379416163978,0.058775419527256026,0.3776251525618525,0.22205854856857465,0.5337613353638787
5000,strict,249,1.7786830645758231,0.04635624311073908,0.05624198901817875,0.3684354664809511,0.22625486546270493,0.525199769360096
10000,g,20,1.8540611471861475,0.07081489700198895,0.058775419527256026,0.37770477645053,0.21332721785378336,0.5334018866353631
10000,strict,249,1.5276366656245959,0.05128430480105268,0.05624198901817875,0.36901570178640763,0.23727546065285085,0.5296406774406387
15000,g,20,1.7643704906204907,0.06813063840712538,0.058775419527256026,0.37627731022784355,0.21959800368629173,0.5375264370811181
15000,strict,249,1.4722644866717007,0.049330924419647634,0.05624198901817875,0.37402144752551814,0.2392614240358429,0.5343628648670602
20000,g,20,1.7504554473304474,0.03808700422487467,0.058775419527256026,0.39093030288070374,0.22632627330927702,0.5458179199861619
20000,strict,249,1.3342009851037027,0.05069943243476096,0.05624198901817875,0.3757759179995196,0.24398454856187546,0.5374318402130632
25000,g,20,2.1517712842712844,0.03689552184043402,0.058775419527256026,0.386913376042861,0.22885422797808036,0.5531882951096717
25000,strict,249,1.32402651266012,0.05070706069304123,0.05624198901817875,0.3751498405077935,0.24689599616132907,0.5374004908271792
