root,series,run,status,desc,n_ckpts,n_keep,n_delete,freed_gb,best_step,primary,best_metrics
results,s12_3top30_dino,20260825-174750-s12-3top30-dino,APPLIED,s12: 3top30 + DINO (ddpm),1,1,0,0.0,1000,ssim,"{""mse"": 1.6321279242418814, ""ssim"": 0.045252647863498245, ""skel_iou"": 0.013044066442141278, ""mse_std"": 0.1253382830853187, ""ssim_std"": 0.010607810338365603, ""skel_iou_std"": 0.0041452872026781105, ""ssim_min"": 0.022667658894685846, ""skel_iou_min"": 0.004263959390862944, ""n"": 138, ""lpips"": 0.763960908288541, ""lpips_std"": 0.01366886985905391, ""lpips_min"": 0.7297859787940979, ""step"": 1000, ""elapsed_metrics"": 37.4242582321167, ""elapsed_gpu"": 14.129754304885864}"
results,s12_3top30_dino,20260825-180335-s12-3top30-dino,APPLIED,s12: 3top30 + DINO (ddpm),31,2,29,20.03,60000,ssim,"{""mse"": 0.928409653297369, ""ssim"": 0.4885951128293211, ""skel_iou"": 0.020479384565427777, ""mse_std"": 0.3618009237334097, ""ssim_std"": 0.13025259358638508, ""skel_iou_std"": 0.02610461578995749, ""ssim_min"": 0.03153472630025265, ""skel_iou_min"": 0.0009638554216867469, ""n"": 138, ""lpips"": 0.416835000657517, ""lpips_std"": 0.07872810493561258, ""lpips_min"": 0.19198380410671234, ""step"": 60000, ""elapsed_metrics"": 35.66054677963257, ""elapsed_gpu"": 13.617577075958252}"
results,s13_3top30_dino_xs,20260826-095711-s13-3top30-dino-xs,APPLIED,"s13: 3top30 DiT-XS (ddpm, 短跑放弃)",1,1,0,0.0,1000,mse,{}
results,s13_3top30_dino_xs,20260826-102132-s13-3top30-dino-xs,APPLIED,"s13: 3top30 DiT-XS (ddpm, 短跑放弃)",1,1,0,0.0,1000,mse,{}
results,s13_3top30_dino_xs,20260826-103832-s13-3top30-dino-xs,APPLIED,"s13: 3top30 DiT-XS (ddpm, 短跑放弃)",2,1,1,0.43,2000,mse,{}
results,s14_xs_ddpm_orig,20260826-115802-s14-xs-ddpm-aug-test,APPLIED,s14: XS ddpm 原始数据对照,1,1,0,0.0,1000,ssim,"{""mse"": 1.2264237228035926, ""ssim"": 0.24141748084746287, ""skel_iou"": 0.012060151291576986, ""mse_std"": 0.5274327593389593, ""ssim_std"": 0.15654713993291033, ""skel_iou_std"": 0.005675088711428463, ""ssim_min"": 0.013971834223165294, ""skel_iou_min"": 0.0, ""n"": 500, ""lpips"": 0.6741185137629508, ""lpips_std"": 0.07082558787898934, ""lpips_min"": 0.40465667843818665, ""step"": 1000, ""elapsed_metrics"": 83.1519923210144, ""elapsed_gpu"": 43.73470330238342}"
results,s15_ws_flow,20260826-133102-s15-ws-flow,APPLIED,s15: WS/2 宽体 + flow (195k),44,2,42,63.12,165000,ssim,"{""mse"": 0.747000805594027, ""ssim"": 0.5403231357892729, ""skel_iou"": 0.03434600714602294, ""mse_std"": 0.33696879421407877, ""ssim_std"": 0.14416600589942227, ""skel_iou_std"": 0.053889270046816, ""ssim_min"": -0.06150891276779304, ""skel_iou_min"": 0.0, ""n"": 500, ""lpips"": 0.378373938113451, ""lpips_std"": 0.10012043013927784, ""lpips_min"": 0.0807344987988472, ""step"": 165000, ""elapsed_metrics"": 83.1597990989685, ""elapsed_gpu"": 59.31665372848511}"
results,s17_s_flow,20260827-070924-s17-s-flow,APPLIED,"s17: S/2 + flow, 3top30 (165k)",37,2,35,20.58,95000,ssim,"{""mse"": 0.7771074283272028, ""ssim"": 0.5342093061001858, ""skel_iou"": 0.02989387200315602, ""mse_std"": 0.329158381174872, ""ssim_std"": 0.13618723888589043, ""skel_iou_std"": 0.04074559372680381, ""ssim_min"": -0.06193619054184879, ""skel_iou_min"": 0.0004317789291882556, ""n"": 500, ""lpips"": 0.37814260230958463, ""lpips_std"": 0.09262301496214323, ""lpips_min"": 0.1062730997800827, ""step"": 95000, ""elapsed_metrics"": 88.40398812294006, ""elapsed_gpu"": 47.21867108345032}"
results,s18_s_flow_small,20260827-232003-s18-s-flow-small,APPLIED,"s18: S/2 + flow, top6 小数据 (43k)",24,2,22,12.94,39000,ssim,"{""mse"": 0.72637591012702, ""ssim"": 0.5454174838906807, ""skel_iou"": 0.03862842919180671, ""mse_std"": 0.29325193104673114, ""ssim_std"": 0.13109385968294687, ""skel_iou_std"": 0.05797539854883536, ""ssim_min"": 0.15404357257214848, ""skel_iou_min"": 0.0017346053772766695, ""mse_q25"": 0.5784528255462646, ""mse_q50"": 0.7448883056640625, ""mse_q75"": 0.9014274179935455, ""ssim_q25"": 0.4589954696280868, ""ssim_q50"": 0.5372759335486718, ""ssim_q75"": 0.6128385787431624, ""skel_iou_q25"": 0.012566761055192064, ""skel_iou_q50"": 0.018658197697499008, ""skel_iou_q75"": 0.030208718382003487, ""n"": 271, ""lpips"": 0.36566308261723535, ""lpips_std"": 0.09388282537462701, ""lpips_min"": 0.08964891731739044, ""lpips_q25"": 0.314734622836113, ""lpips_q50"": 0.376670777797699, ""lpips_q75"": 0.42530685663223267, ""step"": 39000, ""elapsed_metrics"": 44.33200001716614, ""elapsed_gpu"": 22.84999680519104}"
results,s19_midclean_s_flow,20260828-143711-s19-midclean-s-flow,APPLIED,s19: mid-clean 增广 + flow (旧架构末代),26,2,24,14.11,47500,ssim,"{""mse"": 0.7948153946012588, ""ssim"": 0.5218245354194819, ""skel_iou"": 0.02150598151119139, ""mse_std"": 0.22919093419513806, ""ssim_std"": 0.1021575043471631, ""skel_iou_std"": 0.019836936908424065, ""ssim_min"": 0.17396004895083342, ""skel_iou_min"": 0.0027522935779816515, ""mse_q25"": 0.635494589805603, ""mse_q50"": 0.7940017580986023, ""mse_q75"": 0.9389910697937012, ""ssim_q25"": 0.4545073099618736, ""ssim_q50"": 0.5192115600205652, ""ssim_q75"": 0.5920838678253342, ""skel_iou_q25"": 0.010810043162634984, ""skel_iou_q50"": 0.016730199068191443, ""skel_iou_q75"": 0.02377111005995832, ""n"": 271, ""lpips"": 0.38589636316158676, ""lpips_std"": 0.07540450677266942, ""lpips_min"": 0.15915153920650482, ""lpips_q25"": 0.3302105516195297, ""lpips_q50"": 0.39260002970695496, ""lpips_q75"": 0.43937158584594727, ""step"": 47500, ""elapsed_metrics"": 46.368552684783936, ""elapsed_gpu"": 22.557257652282715}"
results,s20_ctrl_skel_flow_v2,20260829-113543-s20-ctrl-skel-flow-v2,PROTECTED,,3,3,0,0.0,30000,mse,{}
results,s20_ctrl_skel_flow_v2,20260829-145622-s20-ctrl-skel-flow-v2,PROTECTED,,1,1,0,0.0,40000,mse,{}
results,s20_midcommon_s_flow_v2,20260829-023132-s20-midcommon-s-flow-v2,APPLIED,"s20: 新架构 rms/swiglu/qk_norm/RoPE + mid-common, 当前最优基模 (0.5294)",44,2,42,24.87,97500,ssim,"{""mse"": 0.8173898028696844, ""ssim"": 0.5292301514474438, ""skel_iou"": 0.02133372689828397, ""mse_std"": 0.28049326092261334, ""ssim_std"": 0.11727787517699716, ""skel_iou_std"": 0.02446187160827492, ""ssim_min"": -0.0013377164921214244, ""skel_iou_min"": 0.0012523481527864746, ""mse_q25"": 0.6283414363861084, ""mse_q50"": 0.7910776734352112, ""mse_q75"": 0.9645208716392517, ""ssim_q25"": 0.4666736414379164, ""ssim_q50"": 0.5430660988662132, ""ssim_q75"": 0.6014624117881265, ""skel_iou_q25"": 0.009277155005798222, ""skel_iou_q50"": 0.01405152224824356, ""skel_iou_q75"": 0.022542266750156543, ""n"": 501, ""lpips"": 0.38248951028207107, ""lpips_std"": 0.07654128812641653, ""lpips_min"": 0.19631537795066833, ""lpips_q25"": 0.32934892177581787, ""lpips_q50"": 0.3798345923423767, ""lpips_q75"": 0.4305686354637146, ""step"": 97500, ""elapsed_metrics"": 82.31325459480286, ""elapsed_gpu"": 70.5022246837616}"
results,s2_fromscratch_2factor,20260816-200759-s-fromscratch-2factor-kailishu,APPLIED,早期: 二因子从零训练,14,2,12,7.48,45000,ssim,"{""step"": 45000, ""mse"": 0.70850741147995, ""ssim"": 0.574762591520945}"
results,s2_fromscratch_glyphmid,20260816-192801-s-fromscratch-2cond-glyph-midstep-kailishu,APPLIED,,6,2,4,2.49,5000,ssim,"{""step"": 5000, ""mse"": 1.4485886573791504, ""ssim"": 0.2954351328375438}"
results,s5_2factor_B_canny05_pixelsk,20260818-134212-s5-2factor-B-canny05-pixelsk,APPLIED,二因子 + canny0.5 + pixel-skel head,40,2,38,78.75,320000,ssim,"{""step"": 320000, ""mse"": 0.7884398925304413, ""ssim"": 0.478442655801773}"
results,s5_2factor_B_latentstruct,20260817-162129-s5-2factor-B-latent-struct,APPLIED,二因子 + latent 结构损失,30,2,28,58.03,125000,ssim,"{""step"": 125000, ""mse"": 0.8854266047477722, ""ssim"": 0.5058839511871337}"
results,s5_2factor_B_latentstruct_pixelsk_opt,20260817-235725-s5-2factor-B-latentC-pixelsk-opt,APPLIED,latent 结构 + pixel-skel 调优,5,2,3,6.22,4000,ssim,"{""step"": 4000, ""mse"": 1.7872682571411134, ""ssim"": 0.10263155396406846}"
results,s5_2factor_B_latentstruct_pixelsk_opt,20260818-004938-s5-2factor-B-latentC-pixelsk-opt,APPLIED,latent 结构 + pixel-skel 调优,27,2,25,51.81,110000,ssim,"{""step"": 110000, ""mse"": 0.8717227578163147, ""ssim"": 0.3895076345403989}"
results,s5_2factor_B_pixelfp32,20260819-125708-s5-2factor-B-pixelfp32,APPLIED,二因子 pixel fp32,14,2,12,24.87,45000,ssim,"{""step"": 45000, ""mse"": 1.1827720367908479, ""ssim"": 0.2174994437396526}"
results,s5_2factor_struct_post50k,20260817-114502-struct-post50k,APPLIED,,2,2,0,0.0,60000,ssim,"{""step"": 60000, ""mse"": 0.9694174706935883, ""ssim"": 0.507919504145781}"
results,s5_2factor_top30,20260816-230931-s5-2factor-top30-bigbatch,APPLIED,二因子 top30 系列 (基线),2,1,1,0.62,1000,ssim,"{""step"": 1000, ""mse"": 2.4657135963439942, ""ssim"": 0.11976828544866289}"
results,s5_2factor_top30,20260816-232040-s5-2factor-top30-bigbatch,APPLIED,二因子 top30 系列 (基线),14,2,12,7.48,45000,ssim,"{""step"": 45000, ""mse"": 0.8649243116378784, ""ssim"": 0.5088919583708047}"
results,s5_2factor_top30,20260817-100535-s5-2factor-top30-bigbatch,APPLIED,二因子 top30 系列 (基线),4,2,2,1.25,65000,ssim,"{""step"": 65000, ""mse"": 0.8446248650550843, ""ssim"": 0.5185963115096092}"
results,s5_2factor_top30,20260823-120253-s5-top30-diffonly-resume,APPLIED,二因子 top30 系列 (基线),8,2,6,3.74,95000,mse,{}
results,s6_top6_diffonly,20260819-225143-s6-top6-diffonly,APPLIED,s6: top6 纯扩散 (diff-only 基线),8,2,6,3.74,15000,ssim,"{""step"": 15000, ""mse"": 0.9073919415473938, ""ssim"": 0.4882896366715431}"
results,s6_top6_diffonly,20260820-191536-s6-top6-diffonly-resume,APPLIED,s6: top6 纯扩散 (diff-only 基线),36,2,34,21.18,190000,ssim,"{""step"": 190000, ""mse"": 0.4335103496909142, ""ssim"": 0.7310073258479436}"
results,s6_top6_struct_fp32,20260820-002342-s6-top6-struct-fp32,APPLIED,s6: top6 + 结构损失 fp32,22,2,20,12.46,85000,ssim,"{""step"": 85000, ""mse"": 0.9181195378303528, ""ssim"": 0.3301250905233125}"
results,s6_top6_struct_fp32,20260821-073004-s6-top6-struct-fp32-resume,APPLIED,s6: top6 + 结构损失 fp32,7,2,5,3.12,120000,ssim,"{""step"": 120000, ""mse"": 0.7880033552646637, ""ssim"": 0.40302885913600517}"
results,s6_top6_struct_fp32_full,20260820-161241-s6-top6-struct-fp32-fullbatch,APPLIED,s6: 结构损失 full 变体,7,2,5,3.12,10000,ssim,"{""step"": 10000, ""mse"": 1.5612035870552063, ""ssim"": 0.14101998242239158}"
results,s7_klf4_top30,20260823-163710-s7-klf4-top30-diffonly,APPLIED,s7: klf4 清洗 top30,20,2,18,11.23,70000,ssim,"{""step"": 70000, ""mse"": 0.9087667047977448, ""ssim"": 0.5073366198937098}"
results,s7_ramp_b8all,20260821-142832-s7-ramp-b8all,APPLIED,s7: batch8-all ramp 实验,8,2,6,3.74,205000,ssim,"{""step"": 205000, ""mse"": 0.6647750601172447, ""ssim"": 0.5767868033299843}"
results,s8_klf4_clean_dino,20260823-234546-s8-klf4-clean-dino,APPLIED,s8: klf4 清洗 + DINO char embedding,25,2,23,20.58,100000,ssim,"{""step"": 100000, ""mse"": 0.8413576682408651, ""ssim"": 0.5238919266396099}"
results,s8_structv2_b8all,20260821-212149-s8-structv2-b8all,APPLIED,,3,2,1,0.62,205000,ssim,"{""step"": 205000, ""mse"": 0.7598242491483689, ""ssim"": 0.5387012045085431}"
results,s9_skelonly,20260821-232920-s9-skelonly,APPLIED,s9: 仅 skel 损失,7,2,5,3.12,210000,ssim,"{""step"": 210000, ""mse"": 0.8783508837223053, ""ssim"": 0.4925368954737982}"
results,v3a,20260815-193523-v3a-2factor-glyph-composable,APPLIED,v3a: 早期二因子 XL 雏形,2,2,0,0.0,1000,ssim,"{""step"": 1000, ""mse"": 2.0888639450073243, ""ssim"": 0.2027049388402763}"
results,v3a,20260815-195729-v3a-2factor-glyph-canny-skel,APPLIED,v3a: 早期二因子 XL 雏形,5,2,3,1.77,4000,ssim,"{""step"": 4000, ""mse"": 1.9329593420028686, ""ssim"": 0.11957733140637483}"
results,v3a,20260815-213305-v3a-2factor-glyph-canny-skel,APPLIED,v3a: 早期二因子 XL 雏形,5,2,3,1.77,4000,ssim,"{""step"": 4000, ""mse"": 1.6976712226867676, ""ssim"": 0.14043085218717655}"
results,v3a,20260815-225356-v3a-2factor-glyph-canny-skel,APPLIED,v3a: 早期二因子 XL 雏形,1,1,0,0.0,1000,ssim,"{""step"": 1000, ""mse"": 2.070651626586914, ""ssim"": 0.10482318018873533}"
results,v3a,20260816-002421-v3a-2factor-glyph-canny-skel,APPLIED,v3a: 早期二因子 XL 雏形,11,2,9,5.3,30000,ssim,"{""step"": 30000, ""mse"": 1.111093511581421, ""ssim"": 0.36634557137886675}"
results,v3a_xl,20260815-232600-v3a-2factor-glyph-XL-lora-cs,APPLIED,v3a XL,5,2,3,16.16,4000,ssim,"{""step"": 4000, ""mse"": 2.8416114330291746, ""ssim"": 0.03144300022472939}"
results,v3a_xl_highdim,20260816-101955-v3a-2factor-glyph-XL-highdim-LoRA-cs,APPLIED,v3a XL 高维条件融合,1,1,0,0.0,1000,ssim,"{""step"": 1000, ""mse"": 4.44347412109375, ""ssim"": 0.015046251243135583}"
results,v3a_xl_highdim,20260816-103708-v3a-2factor-glyph-XL-highdim-LoRA-cs,APPLIED,v3a XL 高维条件融合,5,2,3,16.82,4000,ssim,"{""step"": 4000, ""mse"": 1.7223692893981934, ""ssim"": 0.19474237950363513}"
results,v3a_xl_highdim,20260816-114452-v3a-2factor-glyph-XL-highdim-LoRA-cs,APPLIED,v3a XL 高维条件融合,5,2,3,16.82,4000,ssim,"{""step"": 4000, ""mse"": 1.4811225700378419, ""ssim"": 0.16811299079408248}"
results,v3a_xl_skelhead,20260816-132613-v3a-XL-skelhead-guide,APPLIED,v3a XL + skel head,1,1,0,0.0,1000,ssim,"{""step"": 1000, ""mse"": 2.004992780685425, ""ssim"": 0.1260516036146631}"
results,v3a_xl_skelhead,20260816-133413-v3a-XL-skelhead-guide,APPLIED,v3a XL + skel head,7,2,5,28.03,10000,ssim,"{""step"": 10000, ""mse"": 1.2110999298095704, ""ssim"": 0.39146343437954784}"
results,v3b_xl_glyphcond,20260816-150221-v3b-XL-glyphcond-kailishu,APPLIED,v3b XL + 标准字形条件,10,2,8,44.85,25000,ssim,"{""step"": 25000, ""mse"": 1.0079894876480102, ""ssim"": 0.482923654889067}"
results,v3c_xl_glyphcond_midstep,20260816-183348-v3c-XL-glyphcond-midstep-kailishu,APPLIED,v3c 字形条件 + midstep,5,2,3,16.82,3000,mse,{}
results,dit_s_pretrain,20260814-160701-DiT-3Cond-S-2,APPLIED,DiT-S 预训练 (pixel 时代),1,1,0,0.0,1000,ssim,"{""step"": 1000, ""mse"": 0.04197251981496811, ""ssim"": 0.8523165652255205}"
results,exp_s_scratch,20260814-170506-DiT-3Cond-S-2,APPLIED,S 从零 (pixel 时代),16,2,14,5.76,45000,ssim,"{""step"": 45000, ""mse"": 0.028630052991211415, ""ssim"": 0.898454486429691}"
results,exp_s_scratch,20260815-114751-DiT-3Cond-S-2,APPLIED,S 从零 (pixel 时代),1,1,0,0.0,1000,mse,{}
results,exp_xl_head,20260814-184935-DiT-3Cond-XL-2,APPLIED,XL + skel head,13,2,11,48.15,33000,ssim,"{""step"": 33000, ""mse"": 0.02709807067364454, ""ssim"": 0.9007047380705672}"
results,exp_xl_head_r32,20260814-231414-DiT-3Cond-XL-2,APPLIED,XL skel-head 秩 32 消融,13,2,11,31.82,33000,ssim,"{""step"": 33000, ""mse"": 0.027032874397933483, ""ssim"": 0.9014889417390006}"
results,exp_xl_head_r32_attn,20260815-032642-DiT-3Cond-XL-2,APPLIED,XL skel-head 秩 32 + attn,13,2,11,30.55,33000,ssim,"{""step"": 33000, ""mse"": 0.027144770585000515, ""ssim"": 0.9010237176020947}"
results,exp_xl_head_r64,20260815-012124-DiT-3Cond-XL-2,APPLIED,XL skel-head 秩 64 消融,13,2,11,33.85,33000,ssim,"{""step"": 33000, ""mse"": 0.026952800050377847, ""ssim"": 0.9018674557010327}"
results,exp_xl_head_r8,20260814-211629-DiT-3Cond-XL-2,APPLIED,XL skel-head 秩 8 消融,13,2,11,30.29,33000,ssim,"{""step"": 33000, ""mse"": 0.026988034553825854, ""ssim"": 0.9018328602810707}"
