root,series,run,status,desc,n_ckpts,n_keep,n_delete,freed_gb,best_step,primary,best_metrics
results,compositional,20260815-154357-smoke-s2-factorized-ema-save-eval,APPLIED,组合泛化实验,1,1,0,0.0,2,ssim,"{""step"": 2, ""mse"": 3.222793436050415, ""ssim"": 0.03199212936063607}"
results,compositional,20260815-154610-s2-factorized-add-balanced-ema-no-struct-v1,APPLIED,组合泛化实验,1,1,0,0.0,2000,ssim,"{""step"": 2000, ""mse"": 3.2512973022460936, ""ssim"": 0.0302013532879452}"
results,compositional,20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,APPLIED,组合泛化实验,10,2,8,4.07,20000,ssim,"{""step"": 20000, ""mse"": 1.0049703168869017, ""ssim"": 0.4576165620982646}"
results,compositional,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,APPLIED,组合泛化实验,4,2,2,1.02,22000,ssim,"{""step"": 22000, ""mse"": 1.0026209497451781, ""ssim"": 0.45330776728689676}"
results,ctrl_skel,20260822-195603-ctrl-skel-3px,PROTECTED,,3,3,0,0.0,20000,mse,"{""step"": 20000, ""mse_base"": 0.4431906706094742, ""ssim_base"": 0.7254574610789619, ""mse_ctrl"": 0.25037317518144847, ""ssim_ctrl"": 0.8073180489738782, ""delta_mse"": -0.19281749542802573, ""delta_ssim"": 0.08186058789491624}"
results,ctrl_skel,20260822-215523-ctrl-skel-3px,PROTECTED,,2,2,0,0.0,10000,mse,"{""step"": 10000, ""mse_base"": 0.4431906706094742, ""ssim_base"": 0.7254574610789619, ""mse_ctrl"": 0.2593613172881305, ""ssim_ctrl"": 0.8007612740000085, ""delta_mse"": -0.1838293533213437, ""delta_ssim"": 0.0753038129210466}"
results,ctrl_skel,20260822-225755-ctrl-skel-3px,PROTECTED,,1,1,0,0.0,5000,mse,"{""step"": 5000, ""mse_base"": 0.4431906706094742, ""ssim_base"": 0.7254574610789619, ""mse_ctrl"": 0.26587607476860287, ""ssim_ctrl"": 0.7973520987232529, ""delta_mse"": -0.17731459584087134, ""delta_ssim"": 0.07189463764429094}"
results,ctrl_skel,20260822-235734-ctrl-skel-3px,PROTECTED,,3,3,0,0.0,95000,mse,"{""step"": 95000, ""mse_base"": 0.456840546131134, ""ssim_base"": 0.7215309551358224, ""mse_ctrl"": 0.2708408907055855, ""ssim_ctrl"": 0.7676733632882434, ""delta_mse"": -0.18599965542554853, ""delta_ssim"": 0.04614240815242099}"
results,ctrl_skel,20260823-085301-ctrl-skel-top30-scratch,PROTECTED,,3,3,0,0.0,25000,mse,"{""step"": 25000, ""mse_base"": 2.742341985702515, ""ssim_base"": 0.03169432574844298, ""mse_ctrl"": 2.6184800624847413, ""ssim_ctrl"": 0.029917701717931778, ""delta_mse"": -0.12386192321777356, ""delta_ssim"": -0.0017766240305111987}"
results,ctrl_skel,20260825-113328-ctrl-skel-s6-v2,PROTECTED,,2,2,0,0.0,5000,mse,{}
results,ctrl_skel,20260825-115527-ctrl-skel-s6-v2,PROTECTED,,8,8,0,0.0,22500,mse,"{""step"": 22500, ""mse_base"": 0.4569137263298035, ""ssim_base"": 0.7188778141906207, ""skel_iou_base"": 0.48203162434115954, ""mse_ctrl"": 0.2321698846668005, ""ssim_ctrl"": 0.8093798845410737, ""skel_iou_ctrl"": 0.6997260273972603, ""delta_mse"": -0.22474384166300299, ""delta_ssim"": 0.09050207035045299, ""delta_skel_iou"": 0.21769440305610077, ""lpips_base"": 0.23211990296840668, ""delta_lpips"": -0.0663410872220993, ""lpips_ctrl"": 0.16577881574630737}"
results,ctrl_skel,20260828-205135-ctrl-skel-s19-flow-midcommon,PROTECTED,,6,6,0,0.0,10000,mse,{}
results,ctrl_skel,20260828-224832-ctrl-skel-s19-flow-midcommon,PROTECTED,,7,7,0,0.0,17500,mse,"{""step"": 17500, ""base"": {""mse"": 0.7902998431026935, ""ssim"": 0.5166842158277802, ""skel_iou"": 0.025219466907018883, ""mse_std"": 0.2403505809078704, ""ssim_std"": 0.11378792457979589, ""skel_iou_std"": 0.026001972723059246, ""ssim_min"": 0.17427085040842885, ""skel_iou_min"": 0.0028011204481792717, ""mse_q25"": 0.6383116841316223, ""mse_q50"": 0.8020316958427429, ""mse_q75"": 0.9258105754852295, ""ssim_q25"": 0.45403617991805145, ""ssim_q50"": 0.5156245058083466, ""ssim_q75"": 0.5815264444652898, ""skel_iou_q25"": 0.010667325457028799, ""skel_iou_q50"": 0.017989256023347666, ""skel_iou_q75"": 0.024842820785595066, ""n"": 100, ""lpips"": 0.3941474193334579, ""lpips_std"": 0.07968840420375028, ""lpips_min"": 0.18398424983024597, ""lpips_q25"": 0.35062967985868454, ""lpips_q50"": 0.40011775493621826, ""lpips_q75"": 0.44922352582216263}, ""ctrl"": {""mse"": 0.21435530573129655, ""ssim"": 0.7299788735948229, ""skel_iou"": 0.23579359165699604, ""mse_std"": 0.117934368024174, ""ssim_std"": 0.08575395796537882, ""skel_iou_std"": 0.08261673315094444, ""ssim_min"": 0.30783118004425175, ""skel_iou_min"": 0.045481049562682216, ""mse_q25"": 0.13790858536958694, ""mse_q50"": 0.18344765156507492, ""mse_q75"": 0.25889209657907486, ""ssim_q25"": 0.6934991555837231, ""ssim_q50"": 0.7346232152039374, ""ssim_q75"": 0.7866633300452481, ""skel_iou_q25"": 0.17851469841915701, ""skel_iou_q50"": 0.22187993089727517, ""skel_iou_q75"": 0.30491707202719337, ""n"": 100, ""lpips"": 0.20232770964503288, ""lpips_std"": 0.05470366622822063, ""lpips_min"": 0.11849559843540192, ""lpips_q25"": 0.1651848591864109, ""lpips_q50"": 0.19230662286281586, ""lpips_q75"": 0.22740909084677696}, ""delta_mse"": -0.575944537371397, ""delta_ssim"": 0.2132946577670427, ""delta_skel_iou"": 0.21057412474997717, ""n"": 100, ""delta_lpips"": -0.19181970968842504}"
results,exp_s_5script,20260815-131017-DiT-3Cond-S-2,APPLIED,,9,2,7,2.83,10000,ssim,"{""step"": 10000, ""mse"": 0.9013957500457763, ""ssim"": 0.5146557647548616}"
results,px_s_scratch,20260822-115020-px-s-scratch-diff,APPLIED,pixel 空间从零实验,9,2,7,4.4,10000,ssim,"{""step"": 10000, ""mse"": 1.91453, ""ssim"": 0.0021, ""ts"": ""2026-08-22T13:35:57.325744""}"
results,px_s_scratch,20260822-145511-px-s-scratch-diff,APPLIED,pixel 空间从零实验,2,1,1,0.63,55000,mse,{}
results,s10_b4_grey_clear,20260824-151758-s10-b4-grey-clear,APPLIED,s10: b4 灰度清洗,4,2,2,4.69,3000,ssim,"{""mse"": 1.3198041832217804, ""ssim"": 0.2665316254285882, ""skel_iou"": 0.18011524642403012, ""mse_std"": 0.6392575120861423, ""ssim_std"": 0.19441224469942334, ""skel_iou_std"": 0.12050385414151767, ""ssim_min"": 0.0022079936767722577, ""skel_iou_min"": 0.0, ""n"": 455, ""lpips"": 0.6229326736141038, ""lpips_std"": 0.1145192234686599, ""lpips_min"": 0.17937883734703064, ""step"": 3000, ""elapsed_metrics"": 76.82048201560974, ""elapsed_gpu"": 0, ""ssim_old_uniform"": 0.2068720403674229, ""ssim_method"": ""gaussian""}"
results,s10_b4_grey_clear,20260824-164822-s10-b4-grey-clear,APPLIED,s10: b4 灰度清洗,13,2,11,25.82,55000,ssim,"{""mse"": 1.0754850130978522, ""ssim"": 0.46561713974424424, ""skel_iou"": 0.23521785437511866, ""mse_std"": 0.536000359683974, ""ssim_std"": 0.17127416080088387, ""skel_iou_std"": 0.11344904133007128, ""ssim_min"": -0.011996528020364217, ""skel_iou_min"": 0.013151714419915453, ""n"": 455, ""lpips"": 0.43809155435352537, ""lpips_std"": 0.10078684363894237, ""lpips_min"": 0.1257297396659851, ""step"": 55000, ""elapsed_metrics"": 99.38387656211853, ""elapsed_gpu"": 65.67401695251465, ""ssim_old_uniform"": 0.4051092958540589, ""ssim_method"": ""gaussian""}"
results,s11_top6_p4,20260824-224716-s11-top6-p4,APPLIED,s11: top6 patch4,5,2,3,2.68,4000,ssim,"{""mse"": 1.2024302539229392, ""ssim"": 0.3274414785639064, ""skel_iou"": 0.23258742854458558, ""mse_std"": 0.4480381425144408, ""ssim_std"": 0.18250743388141533, ""skel_iou_std"": 0.12612436561346776, ""ssim_min"": 0.001109256546990544, ""skel_iou_min"": 0.010396649421039666, ""n"": 100, ""lpips"": 0.5733234265446663, ""lpips_std"": 0.11439326608582459, ""lpips_min"": 0.2868034243583679, ""step"": 4000, ""elapsed_metrics"": 19.6288743019104, ""elapsed_gpu"": 9.043166160583496, ""ssim_old_uniform"": 0.2650609765005689, ""ssim_method"": ""gaussian""}"
results,s11_top6_p4,20260824-231810-s11-top6-p4,APPLIED,s11: top6 patch4,29,2,27,24.15,120000,ssim,"{""mse"": 0.5919802101771348, ""ssim"": 0.60854149429996, ""skel_iou"": 0.49902277308837545, ""mse_std"": 0.337202191099653, ""ssim_std"": 0.20431708558975814, ""skel_iou_std"": 0.20144069788088428, ""ssim_min"": 0.007263764222923482, ""skel_iou_min"": 0.12404106498194946, ""n"": 100, ""lpips"": 0.31136779598891734, ""lpips_std"": 0.13915059786455747, ""lpips_min"": 0.034332722425460815, ""step"": 120000, ""elapsed_metrics"": 17.51545786857605, ""elapsed_gpu"": 8.926772832870483, ""ssim_old_uniform"": 0.567444651678953, ""ssim_method"": ""gaussian""}"
results,s11_top6_p4,20260825-093159-s11-top6-p4,APPLIED,s11: top6 patch4,4,2,2,1.79,140000,ssim,"{""mse"": 0.5463929300406016, ""ssim"": 0.6398543223180081, ""skel_iou"": 0.529564948082718, ""mse_std"": 0.3483809207574118, ""ssim_std"": 0.20656643259101765, ""skel_iou_std"": 0.22358475620394735, ""ssim_min"": 0.18163518087194588, ""skel_iou_min"": 0.08198651396767634, ""n"": 100, ""lpips"": 0.29234699320048096, ""lpips_std"": 0.14043922468751444, ""lpips_min"": 0.027958504855632782, ""step"": 140000, ""elapsed_metrics"": 19.808084964752197, ""elapsed_gpu"": 8.90598440170288, ""ssim_old_uniform"": 0.6014855865614793, ""ssim_method"": ""gaussian""}"
