path,category,n_items,n_calligraphers,n_characters,n_scripts,size_mb,notes
5script/eval.csv,dataset_csv,472,122,437,5,0.03,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval100_3top30.csv,dataset_csv,138,71,134,3,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval100_top.csv,dataset_csv,100,46,97,5,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval100_top30.csv,dataset_csv,100,42,97,5,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval100_top30_clean.csv,dataset_csv,79,40,78,5,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval100_top6.csv,dataset_csv,100,11,99,2,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval500_3top30.csv,dataset_csv,500,91,443,3,0.03,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval500_3top30_common.csv,dataset_csv,310,77,272,3,0.02,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval500_clean.csv,dataset_csv,455,122,421,5,0.03,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval5_5script.csv,dataset_csv,5,5,5,5,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval5_top.csv,dataset_csv,5,5,5,5,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval5_top30.csv,dataset_csv,5,4,5,5,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval_fame_strict.csv,dataset_csv,500,42,432,6,0.03,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval_points.csv,dataset_csv,640,0,0,0,0.11,cols=run_dir|series|experiment|step|source|arm|ssim|mse
5script/eval_s20_ctrl_monitor.csv,dataset_csv,1,0,0,0,0.0,cols=step|ckpt|mse_base|ssim_base|mse_ctrl|ssim_ctrl|ssim_ctrl_楷|ssim_ctrl_行
5script/eval_strict_midclean.csv,dataset_csv,501,64,435,3,0.03,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval_strict_top6.csv,dataset_csv,271,11,263,2,0.02,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/eval_unified_20260829.csv,dataset_csv,8,0,0,0,0.0,cols=experiment|run_dir|ckpt|model|diffusion|data|n|cfg
5script/eval_unseen_top6.csv,dataset_csv,255,11,242,2,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/experiments.csv,dataset_csv,47,0,0,0,0.01,cols=run_dir|series|experiment|model|task|data_csv|diffusion_type|image_size
5script/fast100.csv,dataset_csv,100,48,89,5,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/old_experiments_summary_20260829.csv,dataset_csv,77,0,0,0,0.02,cols=root|series|run|status|desc|n_ckpts|n_keep|n_delete
5script/seen2_top6.csv,dataset_csv,2,2,2,2,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/seen5_top30.csv,dataset_csv,5,5,5,5,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/show2_top6.csv,dataset_csv,2,1,2,2,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/show5_top30.csv,dataset_csv,5,5,5,1,0.0,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/test.csv,dataset_csv,4653,323,2591,5,0.26,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train.csv,dataset_csv,147841,1004,7011,5,8.21,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_3top30.csv,dataset_csv,40891,68,4825,3,2.35,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_3top30_common.csv,dataset_csv,23597,67,2523,3,1.36,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_3top30_nobeike.csv,dataset_csv,37799,67,4578,3,2.18,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_fame.csv,dataset_csv,51322,44,4765,7,2.95,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_fame_3script.csv,dataset_csv,28385,41,4039,3,1.62,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_full.csv,dataset_csv,329715,0,0,0,11.21,cols=image_path|calligrapher_id|script_id|glyph_id|character_id|character
5script/train_mid_clean.csv,dataset_csv,118776,67,2523,3,7.49,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_mid_common.csv,dataset_csv,23597,67,2523,3,1.36,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_top.csv,dataset_csv,140000,212,6988,5,7.78,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_top30.csv,dataset_csv,128842,108,6952,5,7.16,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_top30_clean.csv,dataset_csv,104751,105,6697,5,5.9,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
5script/train_top6.csv,dataset_csv,10866,11,3154,2,0.6,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id|glyph_id
dwm_monitor_log.csv,dataset_csv,25,0,0,0,0.0,cols=﻿Timestamp| DwmPID| DwmWorkingSet_MB| ActiveDisplays| PrimaryDisplayGPU| GameViewerEnabled
eval5.csv,dataset_csv,472,122,437,5,0.02,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id
eval_small.csv,dataset_csv,0,0,0,0,0.0,cols=image_path|canny_path|skeleton_path|calligrapher|script|character|calligrapher_id|script_id
famous_calligrapher.csv,dataset_csv,41082,52,4575,7,5.3,cols=image_path|canny_path|skeleton_path|calligrapher|script|character|calligrapher_id|script_id
fast100.csv,dataset_csv,100,59,70,11,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id
fast100_5script.csv,dataset_csv,100,48,89,5,0.01,cols=image_path|calligrapher|script|character|calligrapher_id|script_id|character_id
