step,3px_base_ssim,3px_ctrl_ssim,3px_delta_ssim,3px_ctrl_iou,3px_delta_iou,3px_ctrl_mse,1px_base_ssim,1px_ctrl_ssim,1px_delta_ssim,1px_ctrl_iou,1px_delta_iou,1px_ctrl_mse,std-skel_base_ssim,std-skel_ctrl_ssim,std-skel_delta_ssim,std-skel_ctrl_iou,std-skel_delta_iou,std-skel_ctrl_mse
2500,0.4977,0.7288,0.2311,0.1969,0.1854,0.24998,0.4977,0.7355,0.2378,0.206,0.1945,0.22764,0.4977,0.4937,-0.004,0.0154,0.0039,0.95223
5000,0.4977,0.7337,0.236,0.2055,0.194,0.24313,,,,,,,0.4977,0.494,-0.0037,0.0152,0.0037,0.9472
7500,0.4977,0.7361,0.2384,0.2091,0.1976,0.23665,,,,,,,0.4977,0.4951,-0.0026,0.0149,0.0034,0.94408
10000,0.4977,0.7435,0.2458,0.2217,0.2102,0.22059,,,,,,,0.4977,0.4936,-0.0041,0.0153,0.0038,0.94586
12500,0.4977,0.7458,0.2481,0.2311,0.2196,0.21794,,,,,,,0.4977,0.4948,-0.0029,0.0156,0.0041,0.94133
15000,0.4977,0.7489,0.2512,0.2381,0.2266,0.21188,,,,,,,0.4977,0.4933,-0.0044,0.0156,0.0041,0.94286
17500,0.4977,0.7538,0.2561,0.2476,0.2361,0.20632,,,,,,,0.4977,0.4928,-0.0049,0.0155,0.004,0.94048
20000,0.4977,0.7593,0.2616,0.2542,0.2427,0.19765,,,,,,,0.4977,0.4944,-0.0033,0.0156,0.0041,0.93283
22500,0.4977,0.7617,0.264,0.2623,0.2508,0.19878,,,,,,,0.4977,0.4956,-0.0021,0.0158,0.0043,0.9244
25000,0.4977,0.7664,0.2687,0.2713,0.2598,0.19132,,,,,,,0.4977,0.4973,-0.0004,0.0156,0.0041,0.91413
27500,0.4977,0.7709,0.2732,0.2811,0.2696,0.18539,,,,,,,0.4977,0.4993,0.0016,0.0158,0.0043,0.90285
30000,0.4977,0.7761,0.2784,0.29,0.2785,0.17722,,,,,,,0.4977,0.4993,0.0016,0.016,0.0045,0.89566
32500,0.4977,0.7786,0.2809,0.2955,0.284,0.17524,,,,,,,,,,,,
35000,0.4977,0.7833,0.2856,0.3013,0.2898,0.1681,,,,,,,,,,,,
37500,0.4977,0.7852,0.2875,0.3052,0.2937,0.16736,,,,,,,,,,,,
40000,0.4977,0.786,0.2883,0.3118,0.3003,0.17004,,,,,,,,,,,,
42500,0.4977,0.7871,0.2894,0.3136,0.3021,0.16787,,,,,,,,,,,,
45000,0.4977,0.7881,0.2904,0.3179,0.3064,0.1671,,,,,,,,,,,,
47500,0.4977,0.7886,0.2909,0.32,0.3085,0.1674,,,,,,,,,,,,
50000,0.4977,0.7889,0.2912,0.3213,0.3098,0.16765,,,,,,,,,,,,
