img_id,H,W,ink_ratio,n_ink,n_cc,main_frac,small_cc_n,small_cc_area_ratio,mid_cc_n,foreign_area_ratio,edge_ink_ratio,top_ratio,bot_ratio,left_ratio,right_ratio,border_bar,edge_blob_area,inverted,gray_mid_ratio,lap_var
102122,256,256,0.176132,11543,2,0.597245,0,0.0,0,0.070938,0.005418,0.0,0.0,0.0,0.020996,0,0,0,0.0,6756.9
102123,256,256,0.16449,10780,5,0.552319,0,0.0,2,0.073639,0.009577,0.0,0.0,0.018555,0.018555,0,797,0,0.0,6510.83
102124,256,256,0.175079,11474,6,0.54593,0,0.0,3,0.079498,0.010207,0.0,0.0,0.02002,0.019531,0,858,0,0.0,6991.06
102145,256,256,0.177429,11628,8,0.321981,0,0.0,3,0.1203,0.005544,0.002441,0.019043,0.0,0.0,0,2327,0,0.0,10023.23
102146,256,256,0.23912,15671,9,0.602897,0,0.0,7,0.094955,0.028352,0.06543,0.044434,0.0,0.0,0,5000,0,0.0,14075.39
102147,256,256,0.205978,13499,7,0.576858,0,0.0,3,0.087158,0.043347,0.017578,0.150391,0.0,0.0,0,1530,0,0.0,13027.62
102149,256,256,0.178299,11685,7,0.467095,0,0.0,3,0.095016,0.107611,0.146973,0.208008,0.061523,0.01416,0,1320,0,0.0,9374.33
102150,256,256,0.327652,21473,2,0.94216,0,0.0,0,0.018951,0.056452,0.0,0.0,0.177734,0.041016,0,1242,0,0.0,7558.6
102152,256,256,0.19812,12984,3,0.57671,0,0.0,1,0.083862,0.008191,0.0,0.0,0.0,0.031738,0,0,0,0.0,6050.45
102154,256,256,0.311234,20397,2,0.532922,0,0.0,0,0.14537,0.009073,0.0,0.0,0.01709,0.018066,0,9527,0,0.0,6643.79
102155,256,256,0.267502,17531,4,0.496663,0,0.0,1,0.134644,0.002772,0.0,0.0,0.0,0.010742,0,2459,0,0.0,6973.2
102156,256,256,0.238968,15661,1,1.0,0,0.0,0,0.0,0.007812,0.0,0.0,0.004883,0.025391,0,0,0,0.0,5270.58
102158,256,256,0.315842,20699,2,0.591236,0,0.0,0,0.129105,0.006174,0.0,0.0,0.008301,0.015625,0,8461,0,0.0,6223.1
102166,256,256,0.141556,9277,7,0.243613,0,0.0,2,0.107071,0.011215,0.0,0.0,0.006348,0.037109,0,0,0,0.0,6161.58
102176,256,256,0.234665,15379,1,1.0,0,0.0,0,0.0,0.052671,0.0,0.0,0.07959,0.124512,0,0,0,0.0,4982.84
102177,256,256,0.269623,17670,2,0.86695,0,0.0,0,0.035873,0.019783,0.0,0.0,0.018066,0.058594,0,2351,0,0.0,9441.8
102178,256,256,0.099396,6514,1,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4456.97
102179,256,256,0.122925,8056,1,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4107.72
102180,256,256,0.315765,20694,3,0.551657,0,0.0,1,0.141571,0.062626,0.232422,0.007812,0.002441,0.007324,0,0,0,0.0,6614.02
102183,256,256,0.221039,14486,2,0.620599,0,0.0,0,0.083862,0.004158,0.006348,0.009766,0.0,0.0,0,0,0,0.0,5365.83
102184,256,256,0.153168,10038,4,0.460849,0,0.0,1,0.082581,0.000504,0.0,0.001953,0.0,0.0,0,0,0,0.0,5546.41
102185,256,256,0.145905,9562,5,0.418636,0,0.0,2,0.084824,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6076.25
102187,256,256,0.361038,23661,1,1.0,0,0.0,0,0.0,0.078503,0.0,0.0,0.254395,0.049805,0,0,0,0.0,6582.27
102200,256,256,0.238159,15608,3,0.594247,0,0.0,0,0.096634,0.008191,0.0,0.0,0.02002,0.011719,0,2839,0,0.0,7536.77
102201,256,256,0.067703,4437,5,0.533243,0,0.0,3,0.031601,0.022933,0.0,0.0,0.0,0.088867,0,0,0,0.0,4034.3
102204,256,256,0.237411,15559,4,0.334854,0,0.0,0,0.157913,0.011215,0.007324,0.036133,0.0,0.0,0,4855,0,0.0,6981.14
102205,256,256,0.364197,23868,3,0.479931,0,0.0,0,0.189407,0.00693,0.006836,0.010254,0.008789,0.000977,0,11015,0,0.0,7731.24
102215,256,256,0.220779,14469,8,0.449997,0,0.0,5,0.121429,0.014239,0.0,0.0,0.022461,0.032715,0,1901,0,0.0,12184.25
102216,256,256,0.381058,24973,3,0.475674,0,0.0,0,0.199799,0.022933,0.0,0.0,0.035645,0.053223,0,10716,0,0.0,7413.74
102217,256,256,0.284424,18640,3,0.473015,0,0.0,0,0.149887,0.017893,0.0,0.0,0.012207,0.057129,0,0,0,0.0,8816.71
102218,256,256,0.221588,14522,2,0.529335,0,0.0,0,0.104294,0.046119,0.040527,0.0,0.114258,0.023926,0,6835,0,0.0,8685.74
102219,256,256,0.071655,4696,8,0.408007,0,0.0,5,0.042419,0.055318,0.182617,0.0,0.014648,0.024414,0,1009,0,0.0,7387.94
102220,256,256,0.324112,21241,4,0.465279,0,0.0,0,0.173309,0.047757,0.0,0.0,0.176758,0.008301,0,815,0,0.0,8711.54
102222,256,256,0.422943,27718,1,1.0,0,0.0,0,0.0,0.037928,0.0,0.0,0.085938,0.061035,0,0,0,0.0,6304.46
10224,256,256,0.161102,10558,8,0.636011,0,0.0,6,0.05864,0.009325,0.017578,0.018555,0.0,0.0,0,2508,0,0.0,10428.05
102243,256,256,0.464569,30446,13,0.605104,0,0.0,8,0.183456,0.197707,0.104492,0.26123,0.18457,0.21582,0,8645,0,0.0,20451.28
102251,256,256,0.266205,17446,5,0.624785,0,0.0,3,0.099884,0.053931,0.126953,0.082031,0.0,0.0,0,0,0,0.0,11481.77
102253,256,256,0.119339,7821,4,0.599668,0,0.0,1,0.047775,0.014239,0.0,0.0,0.0,0.055176,0,0,0,0.0,5121.75
102255,256,256,0.22789,14935,3,0.807432,0,0.0,1,0.043884,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6183.41
102256,256,256,0.149109,9772,3,0.495497,0,0.0,1,0.075226,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5383.69
10226,256,256,0.186249,12206,1,1.0,0,0.0,0,0.0,0.02369,0.035156,0.056641,0.0,0.0,0,0,0,0.0,3954.92
102269,256,256,0.152283,9980,3,0.697695,0,0.0,1,0.046036,0.047127,0.086914,0.095703,0.0,0.0,0,2790,0,0.0,6842.23
10227,256,256,0.110428,7237,1,1.0,0,0.0,0,0.0,0.021295,0.020996,0.061523,0.0,0.0,0,0,0,0.0,2829.76
102275,256,256,0.149109,9772,1,1.0,0,0.0,0,0.0,0.03503,0.114746,0.020996,0.0,0.0,0,0,0,0.0,6006.8
101498,256,256,0.085342,5593,3,0.864652,0,0.0,2,0.011551,0.035534,0.004883,0.132812,0.0,0.0,0,0,0,0.0,7239.11
101499,256,256,0.350037,22940,1,1.0,0,0.0,0,0.0,0.044229,0.108887,0.0625,0.0,0.0,0,0,0,0.0,5675.4
101500,256,256,0.135498,8880,2,0.888626,0,0.0,0,0.015091,0.034778,0.034668,0.100098,0.0,0.0,0,0,0,0.0,5276.53
101501,256,256,0.157608,10329,2,0.86504,0,0.0,0,0.021271,0.028226,0.0,0.109375,0.0,0.0,0,0,0,0.0,5147.55
101502,256,256,0.197281,12929,3,0.780339,0,0.0,1,0.043335,0.039819,0.067383,0.086914,0.0,0.0,0,0,0,0.0,4826.07
101504,256,256,0.250092,16390,1,1.0,0,0.0,0,0.0,0.043725,0.052734,0.116699,0.0,0.0,0,0,0,0.0,6461.22
101507,256,256,0.249863,16375,1,1.0,0,0.0,0,0.0,0.029612,0.067383,0.047363,0.0,0.0,0,0,0,0.0,6778.73
10157,256,256,0.168442,11039,1,1.0,0,0.0,0,0.0,0.051789,0.15625,0.044434,0.0,0.0,0,0,0,0.0,4830.04
10160,256,256,0.166046,10882,1,1.0,0,0.0,0,0.0,0.014743,0.057129,0.0,0.0,0.0,0,0,0,0.0,5342.02
10162,256,256,0.233337,15292,1,1.0,0,0.0,0,0.0,0.036038,0.040039,0.099609,0.0,0.0,0,0,0,0.0,4724.87
10163,256,256,0.178238,11681,1,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3494.54
10164,256,256,0.189621,12427,1,1.0,0,0.0,0,0.0,0.086442,0.069336,0.265625,0.0,0.0,0,0,0,0.0,4649.46
10165,256,256,0.172287,11291,1,1.0,0,0.0,0,0.0,0.069556,0.092285,0.177246,0.0,0.0,0,0,0,0.0,5371.79
10166,256,256,0.17453,11438,2,0.508918,0,0.0,0,0.085709,0.0344,0.061035,0.072266,0.0,0.0,0,5617,0,0.0,4822.11
101671,256,256,0.217346,14244,2,0.916105,0,0.0,0,0.018234,0.017263,0.0,0.0,0.037598,0.029297,0,0,0,0.0,7473.27
101676,256,256,0.28389,18605,3,0.654716,0,0.0,0,0.098022,0.00567,0.009277,0.012695,0.0,0.0,0,5511,0,0.0,8219.41
101681,256,256,0.161697,10597,4,0.457488,0,0.0,1,0.087723,0.003528,0.0,0.0,0.013672,0.0,0,0,0,0.0,6409.63
101686,256,256,0.177521,11634,2,0.577703,0,0.0,0,0.074966,0.008065,0.03125,0.0,0.0,0.0,0,0,0,0.0,5633.73
101687,256,256,0.252274,16533,6,0.449828,0,0.0,1,0.138794,0.030368,0.024902,0.020508,0.074707,0.005371,0,4797,0,0.0,8235.28
101689,256,256,0.24437,16015,2,0.565033,0,0.0,0,0.106293,0.020287,0.03125,0.047363,0.0,0.0,0,6966,0,0.0,5474.97
101690,256,256,0.160919,10546,5,0.512801,0,0.0,2,0.0784,0.016255,0.0,0.0,0.019043,0.043945,0,0,0,0.0,7276.81
101730,256,256,0.205826,13489,1,1.0,0,0.0,0,0.0,0.019153,0.043945,0.030273,0.0,0.0,0,0,0,0.0,7022.81
101731,256,256,0.15596,10221,3,0.976617,0,0.0,2,0.003647,0.021421,0.002441,0.080566,0.0,0.0,0,0,0,0.0,7518.91
101735,256,256,0.10463,6857,6,0.378591,0,0.0,3,0.065018,0.020917,0.04834,0.032715,0.0,0.0,0,3582,0,0.0,6649.74
101737,256,256,0.25029,16403,2,0.976712,0,0.0,1,0.005829,0.030494,0.043945,0.074219,0.0,0.0,0,0,0,0.0,6860.09
101742,256,256,0.405457,26572,1,1.0,0,0.0,0,0.0,0.026336,0.051758,0.050293,0.0,0.0,0,0,0,0.0,5117.78
101743,256,256,0.118912,7793,2,0.587579,0,0.0,0,0.049042,0.029234,0.036621,0.07666,0.0,0.0,0,3214,0,0.0,3925.15
101744,256,256,0.260406,17066,1,1.0,0,0.0,0,0.0,0.044229,0.062988,0.108398,0.0,0.0,0,0,0,0.0,5875.82
10175,256,256,0.32753,21465,1,1.0,0,0.0,0,0.0,0.097656,0.254883,0.123535,0.0,0.0,0,0,0,0.0,4746.7
101883,256,256,0.284088,18618,1,1.0,0,0.0,0,0.0,0.004284,0.0,0.0,0.01123,0.005371,0,0,0,0.0,6594.18
101885,256,256,0.201859,13229,12,0.307657,0,0.0,6,0.139755,0.015373,0.033691,0.025879,0.0,0.0,0,1485,0,0.0,7481.21
101887,256,256,0.276184,18100,1,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6413.6
101897,256,256,0.228317,14963,3,0.671055,0,0.0,1,0.075104,0.017893,0.0,0.0,0.027832,0.041504,0,0,0,0.0,6115.94
101898,256,256,0.218948,14349,2,0.545961,0,0.0,0,0.099411,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7012.89
101899,256,256,0.337799,22138,1,1.0,0,0.0,0,0.0,0.054688,0.089355,0.122559,0.0,0.0,0,0,0,0.0,6008.78
101931,256,256,0.091537,5999,2,0.944491,0,0.0,1,0.005081,0.00189,0.004883,0.002441,0.0,0.0,0,0,0,0.0,7762.99
101935,256,256,0.246216,16136,2,0.73587,0,0.0,0,0.065033,0.043851,0.02832,0.141602,0.0,0.0,0,4262,0,0.0,4329.97
101938,256,256,0.145432,9531,1,1.0,0,0.0,0,0.0,0.02495,0.053223,0.043457,0.0,0.0,0,0,0,0.0,4464.91
101939,256,256,0.359589,23566,1,1.0,0,0.0,0,0.0,0.071825,0.10498,0.17334,0.0,0.0,0,0,0,0.0,5705.17
101940,256,256,0.235413,15428,1,1.0,0,0.0,0,0.0,0.05557,0.09668,0.118652,0.0,0.0,0,0,0,0.0,7094.25
101942,256,256,0.223328,14636,2,0.535187,0,0.0,0,0.103806,0.060106,0.094727,0.138184,0.0,0.0,0,6803,0,0.0,4226.78
101943,256,256,0.208344,13654,1,1.0,0,0.0,0,0.0,0.019909,0.044922,0.032227,0.0,0.0,0,0,0,0.0,5502.76
101944,256,256,0.376862,24698,1,1.0,0,0.0,0,0.0,0.044103,0.072266,0.098633,0.0,0.0,0,0,0,0.0,5421.4
101945,256,256,0.242905,15919,1,1.0,0,0.0,0,0.0,0.044607,0.096191,0.07666,0.0,0.0,0,0,0,0.0,5395.6
101946,256,256,0.297485,19496,1,1.0,0,0.0,0,0.0,0.046119,0.061035,0.117676,0.0,0.0,0,0,0,0.0,4530.4
101947,256,256,0.280029,18352,1,1.0,0,0.0,0,0.0,0.041331,0.075195,0.084961,0.0,0.0,0,0,0,0.0,5659.52
101948,256,256,0.30513,19997,1,1.0,0,0.0,0,0.0,0.095136,0.124023,0.244629,0.0,0.0,0,0,0,0.0,5399.57
101949,256,256,0.17215,11282,1,1.0,0,0.0,0,0.0,0.010459,0.0,0.040527,0.0,0.0,0,0,0,0.0,5421.4
101951,256,256,0.244492,16023,1,1.0,0,0.0,0,0.0,0.049143,0.066895,0.123535,0.0,0.0,0,0,0,0.0,5276.53
101954,256,256,0.316696,20755,3,0.686871,0,0.0,0,0.099167,0.00756,0.005859,0.023438,0.0,0.0,0,4860,0,0.0,8473.41
101955,256,256,0.205521,13469,2,0.738659,0,0.0,0,0.053711,0.005796,0.012695,0.001465,0.000488,0.007812,0,3520,0,0.0,7312.53
101956,256,256,0.138412,9071,1,1.0,0,0.0,0,0.0,0.012223,0.0,0.0,0.032715,0.014648,0,0,0,0.0,5012.61
101961,256,256,0.236694,15512,1,1.0,0,0.0,0,0.0,0.013231,0.0,0.0,0.021484,0.029785,0,0,0,0.0,5798.43
101967,256,256,0.224274,14698,4,0.498163,0,0.0,1,0.112549,0.010711,0.0,0.0,0.025879,0.015625,0,0,0,0.0,7461.36
101968,256,256,0.355179,23277,4,0.46939,0,0.0,0,0.188461,0.040575,0.0,0.0,0.035645,0.121582,0,11300,0,0.0,7298.64
101983,256,256,0.178284,11684,4,0.711229,0,0.0,1,0.051483,0.001764,0.0,0.0,0.0,0.006836,0,1418,0,0.0,7854.28
101994,256,256,0.280045,18353,1,1.0,0,0.0,0,0.0,0.007308,0.012695,0.015625,0.0,0.0,0,0,0,0.0,7078.37
102008,256,256,0.225998,14811,3,0.983121,0,0.0,2,0.003815,0.001764,0.0,0.006836,0.0,0.0,0,0,0,0.0,8144.0
102009,256,256,0.239456,15693,1,1.0,0,0.0,0,0.0,0.010585,0.0,0.0,0.013672,0.027344,0,0,0,0.0,6608.07
102010,256,256,0.298676,19574,2,0.755185,0,0.0,0,0.07312,0.018019,0.0,0.0,0.029297,0.040527,0,0,0,0.0,6792.62
102012,256,256,0.269653,17672,1,1.0,0,0.0,0,0.0,0.016633,0.0,0.0,0.019043,0.04541,0,0,0,0.0,5028.48
102057,256,256,0.155518,10192,3,0.489305,0,0.0,0,0.079422,0.053931,0.026855,0.182129,0.0,0.0,0,5205,0,0.0,5445.21
102060,256,256,0.120712,7911,1,1.0,0,0.0,0,0.0,0.037928,0.046387,0.100586,0.0,0.0,0,0,0,0.0,4470.87
102067,256,256,0.290436,19034,1,1.0,0,0.0,0,0.0,0.017263,0.043945,0.022949,0.0,0.0,0,0,0,0.0,5687.31
101098,256,256,0.306198,20067,2,0.527284,0,0.0,0,0.144745,0.03188,0.07666,0.046875,0.0,0.0,0,9486,0,0.0,6604.1
101107,256,256,0.135056,8851,4,0.475765,0,0.0,2,0.070801,0.026966,0.104492,0.0,0.0,0.0,0,3893,0,0.0,5748.82
101108,256,256,0.157593,10328,2,0.54909,0,0.0,0,0.07106,0.00693,0.024414,0.002441,0.0,0.0,0,4657,0,0.0,5973.06
101109,256,256,0.096375,6316,15,0.288949,0,0.0,12,0.068527,0.016633,0.010254,0.054199,0.0,0.0,0,717,0,0.0,10384.39
101110,256,256,0.143921,9432,6,0.50986,0,0.0,3,0.070541,0.015247,0.052246,0.006836,0.0,0.0,0,2410,0,0.0,6566.4
101111,256,256,0.083939,5501,8,0.298855,0,0.0,5,0.058853,0.009703,0.004883,0.032715,0.0,0.0,0,1338,0,0.0,7159.74
101112,256,256,0.123657,8104,3,0.593411,0,0.0,1,0.050278,0.000378,0.0,0.001465,0.0,0.0,0,2934,0,0.0,5830.18
101114,256,256,0.097839,6412,2,0.614785,0,0.0,0,0.037689,0.002646,0.0,0.010254,0.0,0.0,0,0,0,0.0,6358.04
101116,256,256,0.315018,20645,1,1.0,0,0.0,0,0.0,0.007434,0.0,0.0,0.021484,0.007324,0,0,0,0.0,6506.87
10112,256,256,0.31543,20672,1,1.0,0,0.0,0,0.0,0.007182,0.0,0.0,0.008789,0.019043,0,0,0,0.0,5832.17
101140,256,256,0.142517,9340,7,0.536617,0,0.0,4,0.06604,0.00378,0.0,0.014648,0.0,0.0,0,0,0,0.0,6881.92
101144,256,256,0.297577,19502,3,0.477233,0,0.0,0,0.155563,0.003024,0.007324,0.004395,0.0,0.0,0,8139,0,0.0,6542.58
101146,256,256,0.474014,31065,2,0.544021,0,0.0,0,0.216141,0.003024,0.008301,0.003418,0.0,0.0,0,14165,0,0.0,7296.66
101155,256,256,0.208771,13682,2,0.530697,0,0.0,0,0.097977,0.03629,0.11084,0.029785,0.0,0.0,0,6421,0,0.0,7157.75
101156,256,256,0.284256,18629,2,0.558752,0,0.0,0,0.125427,0.08682,0.03125,0.305176,0.0,0.0,0,8220,0,0.0,7296.66
101157,256,256,0.276611,18128,2,0.587048,0,0.0,0,0.114227,0.029234,0.062988,0.050293,0.0,0.0,0,7486,0,0.0,7066.47
101158,256,256,0.26886,17620,2,0.590068,0,0.0,0,0.110214,0.029612,0.067383,0.047363,0.0,0.0,0,7223,0,0.0,7100.2
101159,256,256,0.455307,29839,2,0.510942,0,0.0,0,0.222672,0.041457,0.089355,0.071289,0.0,0.0,0,14593,0,0.0,6866.04
101160,256,256,0.35849,23494,4,0.482591,0,0.0,0,0.185486,0.082409,0.11084,0.208496,0.0,0.0,0,10437,0,0.0,7397.86
101161,256,256,0.37381,24498,4,0.514083,0,0.0,1,0.181641,0.087576,0.115234,0.100098,0.058105,0.068359,0,9729,0,0.0,8731.38
101177,256,256,0.20256,13275,2,0.513296,0,0.0,0,0.098587,0.012601,0.010254,0.038574,0.0,0.0,0,6461,0,0.0,9662.07
101183,256,256,0.389618,25534,1,1.0,0,0.0,0,0.0,0.114793,0.235352,0.209473,0.0,0.0,0,0,0,0.0,6548.54
101186,256,256,0.276276,18106,1,1.0,0,0.0,0,0.0,0.050781,0.027832,0.168945,0.0,0.0,0,0,0,0.0,5570.23
101187,256,256,0.264069,17306,1,1.0,0,0.0,0,0.0,0.024194,0.016602,0.077148,0.0,0.0,0,0,0,0.0,5621.82
101189,256,256,0.259735,17022,3,0.544766,0,0.0,0,0.11824,0.02936,0.072754,0.041016,0.0,0.0,0,6765,0,0.0,6352.08
101190,256,256,0.204376,13394,3,0.554726,0,0.0,0,0.091003,0.052293,0.108887,0.09375,0.0,0.0,0,3693,0,0.0,6419.55
101192,256,256,0.265686,17412,1,1.0,0,0.0,0,0.0,0.017011,0.035645,0.030273,0.0,0.0,0,0,0,0.0,5594.04
101207,256,256,0.441177,28913,2,0.538789,0,0.0,0,0.203476,0.028604,0.0,0.0,0.051758,0.059082,0,0,0,0.0,9417.99
10121,256,256,0.189499,12419,12,0.594653,0,0.0,9,0.076813,0.054057,0.141113,0.068359,0.0,0.0,0,1485,0,0.0,9239.39
101224,256,256,0.475647,31172,2,0.581131,0,0.0,0,0.199234,0.061114,0.030273,0.00293,0.050293,0.15625,0,13057,0,0.0,9979.58
101225,256,256,0.367981,24116,2,0.570285,0,0.0,0,0.158127,0.107107,0.0,0.0,0.050293,0.364746,0,10363,0,0.0,6401.69
101295,256,256,0.198135,12985,3,0.804159,0,0.0,1,0.038803,0.045867,0.0,0.0,0.069824,0.10791,0,2453,0,0.0,5554.35
101296,256,256,0.148102,9706,3,0.908201,0,0.0,2,0.013596,0.005796,0.0,0.0,0.01416,0.008301,0,0,0,0.0,6802.54
101298,256,256,0.258514,16942,1,1.0,0,0.0,0,0.0,0.076487,0.0,0.0,0.185059,0.111328,0,0,0,0.0,7253.0
101299,256,256,0.268219,17578,3,0.87638,0,0.0,1,0.033157,0.046371,0.0,0.0,0.076172,0.103516,0,1601,0,0.0,6459.24
101300,256,256,0.250549,16420,1,1.0,0,0.0,0,0.0,0.058468,0.0,0.0,0.050293,0.17627,0,0,0,0.0,7649.88
101301,256,256,0.147232,9649,1,1.0,0,0.0,0,0.0,0.044481,0.0,0.0,0.124023,0.04834,0,0,0,0.0,5756.76
101303,256,256,0.27623,18103,1,1.0,0,0.0,0,0.0,0.073337,0.01416,0.070801,0.074707,0.124512,0,0,0,0.0,7187.52
101307,256,256,0.381729,25017,6,0.50054,0,0.0,2,0.190659,0.00315,0.0,0.0,0.002441,0.009766,0,669,0,0.0,10509.41
101309,256,256,0.418304,27414,1,1.0,0,0.0,0,0.0,0.048513,0.107422,0.080566,0.0,0.0,0,0,0,0.0,8294.81
101310,256,256,0.411545,26971,1,1.0,0,0.0,0,0.0,0.043095,0.088379,0.062012,0.003418,0.013184,0,0,0,0.0,9666.04
101311,256,256,0.334747,21938,2,0.589844,0,0.0,0,0.137299,0.029612,0.07666,0.038086,0.0,0.0,0,0,0,0.0,6528.69
101312,256,256,0.402023,26347,1,1.0,0,0.0,0,0.0,0.039819,0.057617,0.09668,0.0,0.0,0,0,0,0.0,7167.67
101313,256,256,0.498062,32641,2,0.517876,0,0.0,0,0.240128,0.027344,0.055664,0.050293,0.0,0.0,0,15737,0,0.0,8239.25
101321,256,256,0.183334,12015,2,0.731336,0,0.0,0,0.049255,0.006426,0.011719,0.013184,0.0,0.0,0,3228,0,0.0,5367.82
101322,256,256,0.284195,18625,2,0.934282,0,0.0,0,0.018677,0.00189,0.0,0.007324,0.0,0.0,0,0,0,0.0,7655.84
101323,256,256,0.245071,16061,2,0.910155,0,0.0,0,0.022018,0.003528,0.011719,0.001953,0.0,0.0,0,1443,0,0.0,5431.32
101326,256,256,0.108871,7135,3,0.582481,0,0.0,0,0.045456,0.006426,0.01123,0.013672,0.0,0.0,0,714,0,0.0,5899.64
101341,256,256,0.165131,10822,15,0.56034,0,0.0,11,0.072601,0.029864,0.0625,0.053223,0.0,0.0,0,1852,0,0.0,13765.82
101342,256,256,0.162292,10636,9,0.290711,0,0.0,5,0.115112,0.041457,0.12207,0.038574,0.0,0.0,0,2528,0,0.0,11162.28
101343,256,256,0.404785,26528,1,1.0,0,0.0,0,0.0,0.056578,0.005859,0.018066,0.097168,0.098145,0,0,0,0.0,8001.12
101344,256,256,0.36467,23899,1,1.0,0,0.0,0,0.0,0.037046,0.0,0.0,0.029785,0.11377,0,0,0,0.0,5921.47
101396,256,256,0.240601,15768,2,0.735287,0,0.0,0,0.06369,0.032762,0.034668,0.092285,0.0,0.0,0,4174,0,0.0,5566.26
101397,256,256,0.283966,18610,2,0.916604,0,0.0,0,0.023682,0.040701,0.07666,0.081055,0.0,0.0,0,1552,0,0.0,5721.04
101399,256,256,0.123474,8092,5,0.477261,0,0.0,1,0.064545,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,7600.27
101401,256,256,0.271255,17777,2,0.513529,0,0.0,0,0.131958,0.0063,0.008301,0.008301,0.007812,0.0,0,8648,0,0.0,7820.54
101402,256,256,0.166718,10926,2,0.834615,0,0.0,0,0.027573,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,8340.46
101403,256,256,0.27565,18065,1,1.0,0,0.0,0,0.0,0.03062,0.054688,0.063965,0.0,0.0,0,0,0,0.0,8124.16
101414,256,256,0.171249,11223,4,0.760937,0,0.0,1,0.040939,0.021925,0.077637,0.007324,0.0,0.0,0,0,0,0.0,6572.35
101425,256,256,0.086273,5654,5,0.563318,0,0.0,3,0.037674,0.007056,0.0,0.027344,0.0,0.0,0,0,0,0.0,6165.55
101426,256,256,0.177048,11603,4,0.588555,0,0.0,0,0.072845,0.013483,0.0,0.052246,0.0,0.0,0,0,0,0.0,7187.52
