img_id,H,W,ink_ratio,n_ink,n_cc,main_frac,small_cc_n,small_cc_area_ratio,mid_cc_n,foreign_area_ratio,edge_ink_ratio,top_ratio,bot_ratio,left_ratio,right_ratio,border_bar,edge_blob_area,inverted,gray_mid_ratio,lap_var
102068,256,256,0.133911,8776,2,0.984731,0,0.0,1,0.002045,0.023564,0.0,0.091309,0.0,0.0,0,0,0,0.0,7336.35
102069,256,256,0.127197,8336,4,0.804583,0,0.0,2,0.024857,0.008443,0.0,0.032715,0.0,0.0,0,1187,0,0.0,6657.68
102071,256,256,0.285233,18693,1,1.0,0,0.0,0,0.0,0.034778,0.032715,0.102051,0.0,0.0,0,0,0,0.0,6306.44
102072,256,256,0.270859,17751,1,1.0,0,0.0,0,0.0,0.02999,0.03418,0.082031,0.0,0.0,0,0,0,0.0,6195.31
102073,256,256,0.339005,22217,1,1.0,0,0.0,0,0.0,0.019783,0.0,0.0,0.036621,0.040039,0,0,0,0.0,5288.44
102074,256,256,0.141174,9252,5,0.649697,0,0.0,2,0.049454,0.024572,0.036133,0.053223,0.005859,0.008301,0,0,0,0.0,6217.14
102075,256,256,0.327179,21442,1,1.0,0,0.0,0,0.0,0.02369,0.0,0.0,0.044434,0.047363,0,0,0,0.0,5730.96
102077,256,256,0.291733,19119,1,1.0,0,0.0,0,0.0,0.029234,0.029785,0.083496,0.0,0.0,0,0,0,0.0,7431.6
102078,256,256,0.284561,18649,3,0.647112,0,0.0,0,0.100418,0.027722,0.038086,0.069336,0.0,0.0,0,4719,0,0.0,7385.96
102081,256,256,0.104736,6864,7,0.551573,0,0.0,4,0.046967,0.042969,0.035156,0.01416,0.12207,0.0,0,1269,0,0.0,7566.54
102082,256,256,0.236816,15520,1,1.0,0,0.0,0,0.0,0.021547,0.04248,0.041016,0.0,0.0,0,0,0,0.0,6935.5
102086,256,256,0.290161,19016,1,1.0,0,0.0,0,0.0,0.021925,0.039551,0.04541,0.0,0.0,0,0,0,0.0,5937.34
102103,256,256,0.339706,22263,1,1.0,0,0.0,0,0.0,0.042465,0.019043,0.145508,0.0,0.0,0,0,0,0.0,5957.19
102105,256,256,0.277786,18205,2,0.941664,0,0.0,0,0.016205,0.009829,0.0,0.0,0.026367,0.011719,0,1062,0,0.0,7548.68
102106,256,256,0.2052,13448,2,0.583507,0,0.0,0,0.085464,0.004536,0.01123,0.006348,0.0,0.0,0,0,0,0.0,8614.3
102107,256,256,0.227219,14891,2,0.64408,0,0.0,0,0.080872,0.011845,0.0,0.0,0.038086,0.007812,0,5300,0,0.0,6502.9
102109,256,256,0.224564,14717,2,0.752803,0,0.0,0,0.055511,0.010963,0.029297,0.013184,0.0,0.0,0,0,0,0.0,6504.88
102110,256,256,0.198318,12997,1,1.0,0,0.0,0,0.0,0.010837,0.0,0.0,0.030273,0.011719,0,0,0,0.0,4750.67
102111,256,256,0.280975,18414,2,0.725372,0,0.0,0,0.077164,0.010081,0.0,0.0,0.019043,0.02002,0,5057,0,0.0,6687.45
102121,256,256,0.158203,10368,5,0.627797,0,0.0,2,0.058884,0.013861,0.039062,0.014648,0.0,0.0,0,0,0,0.0,8888.15
