run_dir,series,experiment,model,task,data_csv,diffusion_type,image_size,batch_size,lr,max_steps,last_step,last_ssim,best_step,best_ssim,best_lpips,best_mse,best_skel_iou,n_eval_points,sources,arms
5script/results/compositional/20260815-154357-smoke-s2-factorized-ema-save-eval,compositional,20260815-154357-smoke-s2-factorized-ema-save-eval,DiT-3Cond-S/2,pretrain,5script/train.csv,,256,224,0.0001,2,2,0.032,2,0.032,,3.22279,,1,auto_eval,free
5script/results/compositional/20260815-154610-s2-factorized-add-balanced-ema-no-struct-v1,compositional,20260815-154610-s2-factorized-add-balanced-ema-no-struct-v1,DiT-3Cond-S/2,pretrain,5script/train.csv,,256,224,0.0001,20000,2000,0.0302,2000,0.0302,,3.2513,,1,auto_eval,free
5script/results/compositional/20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,compositional,20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,DiT-3Cond-S/2,pretrain,5script/train.csv,,256,224,0.0001,20000,20000,0.4576,18000,0.4578,,1.00497,,10,auto_eval,free
5script/results/compositional/20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,compositional,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,DiT-3Cond-S/2,pretrain,5script/train.csv,,256,224,1e-05,24000,24000,0.4503,21000,0.4545,,1.0022,,4,auto_eval,free
5script/results/exp_s_5script/20260815-131017-DiT-3Cond-S-2,exp_s_5script,20260815-131017-DiT-3Cond-S-2,,pretrain,,,,,,,25000,0.497,15000,0.5165,,0.9014,,9,auto_eval,free
5script/results/s10_b4_grey_clear/20260824-164822-s10-b4-grey-clear,s10_b4_grey_clear,20260824-164822-s10-b4-grey-clear,DiT-2Cond-B/4,pretrain,5script/train_top30_clean.csv,,256,96,0.0002,600000,60000,0.4045,55000,0.4051,,,,2,early_stop,
5script/results/s11_top6_p4/20260824-231810-s11-top6-p4,s11_top6_p4,20260824-231810-s11-top6-p4,DiT-2Cond-S/4,pretrain,5script/train_top6.csv,,256,224,0.0002,600000,120000,0.5674,120000,0.5674,,,,14,early_stop,
5script/results/s11_top6_p4/20260825-093159-s11-top6-p4,s11_top6_p4,20260825-093159-s11-top6-p4,DiT-2Cond-S/4,pretrain,5script/train_top6.csv,,256,224,0.0002,600000,140000,0.6015,140000,0.6015,,,,2,early_stop,
5script/results/s12_3top30_dino/20260825-180335-s12-3top30-dino,s12_3top30_dino,20260825-180335-s12-3top30-dino,DiT-2Cond-S/2,pretrain,5script/train_3top30_nobeike.csv,,256,224,0.0002,600000,135000,0.4746,80000,0.4888,0.4166,0.92256,0.0217,48,early_stop|eval_metrics,combo
5script/results/s14_ws_ddpm/20260826-125225-s14-ws-ddpm,s14_ws_ddpm,20260826-125225-s14-ws-ddpm,,pretrain,,,,,,,1000,0.1936,1000,0.1936,0.6536,1.48635,0.0121,1,eval_metrics,
5script/results/s15_ws_flow/20260826-133102-s15-ws-flow,s15_ws_flow,20260826-133102-s15-ws-flow,DiT-2Cond-WS/2,pretrain,5script/train_3top30_nobeike.csv,flow,256,160,0.0002,200000,195000,0.539,160000,0.5409,0.3761,0.74221,0.0347,72,early_stop|eval_metrics,combo
5script/results/s16_s_ddpm/20260826-131555-s16-s-ddpm,s16_s_ddpm,20260826-131555-s16-s-ddpm,,pretrain,,,,,,,1000,0.2494,1000,0.2494,0.6847,1.14052,0.0116,1,eval_metrics,
5script/results/s17_s_flow/20260827-070924-s17-s-flow,s17_s_flow,20260827-070924-s17-s-flow,DiT-2Cond-S/2,pretrain,5script/train_3top30_nobeike.csv,flow,256,240,0.0002,200000,165000,0.5324,100000,0.5344,0.3772,0.7659,0.0304,60,early_stop|eval_metrics,combo
5script/results/s18_s_flow_small/20260827-232003-s18-s-flow-small,s18_s_flow_small,20260827-232003-s18-s-flow-small,DiT-2Cond-S/2,pretrain,5script/train_top6.csv,flow,256,240,0.0002,200000,43000,0.5443,35000,0.5455,0.364,0.72633,0.0393,31,early_stop|eval_metrics,combo
