series,experiment,run_dir,task,difficulty_tier,data_cal,data_char,data_n,data_script,best_ssim,best_step,best_lpips,best_mse,best_skel_iou,last_step,last_ssim,n_eval_points,data_csv_resolved,eval_csv,model_cfg,diffusion_cfg,image_size_cfg,batch_cfg,lr_cfg,max_steps_cfg,cond_note,config_file,sources,arms
compositional,20260815-154357-smoke-s2-factorized-ema-save-eval,5script/results/compositional/20260815-154357-smoke-s2-factorized-ema-save-eval,pretrain,large,1004,7011,147841,5,0.032,2,,3.22279,,2,0.032,1,5script/train.csv,,DiT-3Cond-S/2,,,224,0.0001,2,,,auto_eval,free
compositional,20260815-154610-s2-factorized-add-balanced-ema-no-struct-v1,5script/results/compositional/20260815-154610-s2-factorized-add-balanced-ema-no-struct-v1,pretrain,large,1004,7011,147841,5,0.0302,2000,,3.2513,,2000,0.0302,1,5script/train.csv,,DiT-3Cond-S/2,,,224,0.0001,20000,,,auto_eval,free
compositional,20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,5script/results/compositional/20260815-155912-s2-factorized-add-balanced-ema-no-struct-v1,pretrain,large,1004,7011,147841,5,0.4578,18000,,1.00497,,20000,0.4576,10,5script/train.csv,,DiT-3Cond-S/2,,,224,0.0001,20000,,,auto_eval,free
compositional,20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,5script/results/compositional/20260815-174722-s2-factorized-latent-canny-skel-probe-ft-from20k-v2,pretrain,large,1004,7011,147841,5,0.4545,21000,,1.0022,,24000,0.4503,4,5script/train.csv,,DiT-3Cond-S/2,,,224,1e-05,24000,,,auto_eval,free
exp_s_5script,20260815-131017-DiT-3Cond-S-2,5script/results/exp_s_5script/20260815-131017-DiT-3Cond-S-2,pretrain,unknown,,,,,0.5165,15000,,0.9014,,25000,0.497,9,,,,,,,,,,,auto_eval,free
s10_b4_grey_clear,20260824-164822-s10-b4-grey-clear,5script/results/s10_b4_grey_clear/20260824-164822-s10-b4-grey-clear,pretrain,large,105,6697,104751,5,0.4051,55000,,,,60000,0.4045,2,5script/train_top30_clean.csv,,DiT-2Cond-B/4,,,96,0.0002,600000,,,early_stop,
s11_top6_p4,20260824-231810-s11-top6-p4,5script/results/s11_top6_p4/20260824-231810-s11-top6-p4,pretrain,small,11,3154,10866,2,0.5674,120000,,,,120000,0.5674,14,5script/train_top6.csv,,DiT-2Cond-S/4,,,224,0.0002,600000,,,early_stop,
s11_top6_p4,20260825-093159-s11-top6-p4,5script/results/s11_top6_p4/20260825-093159-s11-top6-p4,pretrain,small,11,3154,10866,2,0.6015,140000,,,,140000,0.6015,2,5script/train_top6.csv,,DiT-2Cond-S/4,,,224,0.0002,600000,,,early_stop,
s12_3top30_dino,20260825-180335-s12-3top30-dino,5script/results/s12_3top30_dino/20260825-180335-s12-3top30-dino,pretrain,large,67,4578,37799,3,0.4888,80000,0.4166,0.92256,0.0217,135000,0.4746,48,5script/train_3top30_nobeike.csv,,DiT-2Cond-S/2,,,224,0.0002,600000,,,early_stop|eval_metrics,combo
s14_ws_ddpm,20260826-125225-s14-ws-ddpm,5script/results/s14_ws_ddpm/20260826-125225-s14-ws-ddpm,pretrain,unknown,,,,,0.1936,1000,0.6536,1.48635,0.0121,1000,0.1936,1,,,,,,,,,,,eval_metrics,
s15_ws_flow,20260826-133102-s15-ws-flow,5script/results/s15_ws_flow/20260826-133102-s15-ws-flow,pretrain,large,67,4578,37799,3,0.5409,160000,0.3761,0.74221,0.0347,195000,0.539,72,5script/train_3top30_nobeike.csv,,DiT-2Cond-WS/2,flow,,160,0.0002,200000,,,early_stop|eval_metrics,combo
s16_s_ddpm,20260826-131555-s16-s-ddpm,5script/results/s16_s_ddpm/20260826-131555-s16-s-ddpm,pretrain,unknown,,,,,0.2494,1000,0.6847,1.14052,0.0116,1000,0.2494,1,,,,,,,,,,,eval_metrics,
s17_s_flow,20260827-070924-s17-s-flow,5script/results/s17_s_flow/20260827-070924-s17-s-flow,pretrain,large,67,4578,37799,3,0.5344,100000,0.3772,0.7659,0.0304,165000,0.5324,60,5script/train_3top30_nobeike.csv,,DiT-2Cond-S/2,flow,,240,0.0002,200000,,,early_stop|eval_metrics,combo
s18_s_flow_small,20260827-232003-s18-s-flow-small,5script/results/s18_s_flow_small/20260827-232003-s18-s-flow-small,pretrain,small,11,3154,10866,2,0.5455,35000,0.364,0.72633,0.0393,43000,0.5443,31,5script/train_top6.csv,,DiT-2Cond-S/2,flow,,240,0.0002,200000,,,early_stop|eval_metrics,combo
s19_midclean_s_flow,20260828-143711-s19-midclean-s-flow,5script/results/s19_midclean_s_flow/20260828-143711-s19-midclean-s-flow,pretrain,large,67,2523,118776,3,0.5222,50000,0.3859,0.79412,0.022,57500,0.5214,39,5script/train_mid_clean.csv,,DiT-2Cond-S/2,flow,,240,0.0002,300000,,,early_stop|eval_metrics,combo
s20_midcommon_s_flow_v2,20260829-023132-s20-midcommon-s-flow-v2,5script/results/s20_midcommon_s_flow_v2/20260829-023132-s20-midcommon-s-flow-v2,pretrain,large,67,2523,23597,3,0.5294,102500,0.3822,0.81546,0.0218,102500,0.5294,78,5script/train_mid_common.csv,5script/eval_strict_midclean.csv,DiT-2Cond-S/2,flow,256,128,0.00015,150000,w_skel=0.0; w_canny=0.0; w_skel_head=0.0; w_glyph_cond=False; w_repa=0.0; use_skel=False; use_canny=False,s20_midcommon_s_flow_v2.json,early_stop|eval_metrics,
s21_fame_flow_v2,20260829-232329-s21-fame-flow-v2,5script/results/s21_fame_flow_v2/20260829-232329-s21-fame-flow-v2,pretrain,medium,44,4765,51322,7,0.467,30000,0.4407,1.03248,0.0152,40000,0.4641,29,5script/train_fame.csv,5script/eval_fame_strict.csv,DiT-2Cond-S/2,flow,256,192,0.00015,150000,w_skel=0.0; w_canny=0.0; w_skel_head=0.0; w_glyph_cond=False; w_repa=0.0; use_skel=False; use_canny=False,s21_fame_flow_v2.json,early_stop|eval_metrics,
s22_char_embed_only,20260830-181142-s22-char-embed-only,5script/results/s22_char_embed_only/20260830-181142-s22-char-embed-only,pretrain,medium,44,4765,51322,7,0.4622,30000,0.4468,1.03609,0.0146,32500,0.4619,3,5script/train_fame.csv,5script/eval_fame_strict.csv,DiT-2Cond-S/2,flow,256,192,0.0005,47500,w_skel=0.0; w_canny=0.0; w_skel_head=0.0; w_glyph_cond=False; w_repa=0.0; use_skel=False; use_canny=False,s22_char_embed_only.json,early_stop|eval_metrics,
s2_fromscratch_2factor,20260816-200759-s-fromscratch-2factor-kailishu,5script/results/s2_fromscratch_2factor/20260816-200759-s-fromscratch-2factor-kailishu,pretrain,large,447,4933,51098,2,0.5773,50000,,0.70152,,50000,0.5773,15,kailishu_train.csv,,DiT-2Cond-S/2,,,128,0.0002,50000,,,auto_eval,free
s2_fromscratch_glyphmid,20260816-192801-s-fromscratch-2cond-glyph-midstep-kailishu,5script/results/s2_fromscratch_glyphmid/20260816-192801-s-fromscratch-2cond-glyph-midstep-kailishu,pretrain,large,447,4933,51098,2,0.453,10000,,1.28446,,10000,0.453,7,kailishu_train.csv,,DiT-2Cond-S/2,,,128,0.0002,50000,,,auto_eval,free
s5_2factor_B_latentstruct,20260817-162129-s5-2factor-B-latent-struct,5script/results/s5_2factor_B_latentstruct/20260817-162129-s5-2factor-B-latent-struct,pretrain,large,108,6952,128842,5,0.5067,130000,,0.88281,,130000,0.5067,31,5script/train_top30.csv,,DiT-2Cond-B/2,,,64,0.0002,200000,,,auto_eval,free
s5_2factor_B_latentstruct_pixelsk_opt,20260817-235725-s5-2factor-B-latentC-pixelsk-opt,5script/results/s5_2factor_B_latentstruct_pixelsk_opt/20260817-235725-s5-2factor-B-latentC-pixelsk-opt,pretrain,large,108,6952,128842,5,0.1164,5000,,1.76555,,5000,0.1164,6,5script/train_top30.csv,,DiT-2Cond-B/2,,,64,0.0002,400000,,,auto_eval,free
s5_2factor_struct_post50k,20260817-114502-struct-post50k,5script/results/s5_2factor_struct_post50k/20260817-114502-struct-post50k,pretrain,large,108,6952,128842,5,0.5319,55000,,0.91515,,60000,0.5079,2,5script/train_top30.csv,,DiT-2Cond-S/2,,,12,0.0002,200000,,,auto_eval,free
s5_2factor_top30,20260816-230931-s5-2factor-top30-bigbatch,5script/results/s5_2factor_top30/20260816-230931-s5-2factor-top30-bigbatch,pretrain,large,108,6952,128842,5,0.1198,1000,,2.46571,,1000,0.1198,2,5script/train_top30.csv,,DiT-2Cond-S/2,,,192,0.0002,50000,,,auto_eval,free
s5_2factor_top30,20260816-232040-s5-2factor-top30-bigbatch,5script/results/s5_2factor_top30/20260816-232040-s5-2factor-top30-bigbatch,pretrain,large,108,6952,128842,5,0.512,50000,,0.85429,,50000,0.512,15,5script/train_top30.csv,,DiT-2Cond-S/2,,,192,0.0002,50000,,,auto_eval,free
s5_2factor_top30,20260817-100535-s5-2factor-top30-bigbatch,5script/results/s5_2factor_top30/20260817-100535-s5-2factor-top30-bigbatch,pretrain,large,108,6952,128842,5,0.5197,70000,,0.84117,,70000,0.5197,4,5script/train_top30.csv,,DiT-2Cond-S/2,,,192,0.0002,200000,,,auto_eval,free
s6_top6_diffonly,20260820-191536-s6-top6-diffonly-resume,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume,pretrain,small,11,3154,10866,2,0.7322,195000,,,,195000,0.7322,35,5script/train_top6.csv,,DiT-2Cond-S/2,,,192,0.0002,200000,,,early_stop,
s6_top6_struct_fp32,20260820-002342-s6-top6-struct-fp32,5script/results/s6_top6_struct_fp32/20260820-002342-s6-top6-struct-fp32,pretrain,small,11,3154,10866,2,0.3301,85000,,,,85000,0.3301,13,5script/train_top6.csv,,DiT-2Cond-S/2,,,48,0.0002,200000,,,early_stop,
s6_top6_struct_fp32,20260821-073004-s6-top6-struct-fp32-resume,5script/results/s6_top6_struct_fp32/20260821-073004-s6-top6-struct-fp32-resume,pretrain,small,11,3154,10866,2,0.4044,125000,,,,125000,0.4044,7,5script/train_top6.csv,,DiT-2Cond-S/2,,,48,0.0002,200000,,,early_stop,
s7_klf4_top30,20260823-163710-s7-klf4-top30-diffonly,5script/results/s7_klf4_top30/20260823-163710-s7-klf4-top30-diffonly,pretrain,large,108,6952,128842,5,0.509,75000,,,,75000,0.509,4,5script/train_top30.csv,,DiT-2Cond-S/4,,,224,0.0002,600000,,,early_stop,
s7_ramp_b8all,20260821-142832-s7-ramp-b8all,5script/results/s7_ramp_b8all/20260821-142832-s7-ramp-b8all,pretrain,small,11,3154,10866,2,0.5768,205000,,,,230000,0.5411,6,5script/train_top6.csv,,DiT-2Cond-S/2,,,8,0.0001,275000,,,early_stop,
s8_klf4_clean_dino,20260823-234546-s8-klf4-clean-dino,5script/results/s8_klf4_clean_dino/20260823-234546-s8-klf4-clean-dino,pretrain,large,105,6697,104751,5,0.5257,105000,,,,105000,0.5257,11,5script/train_top30_clean.csv,,DiT-2Cond-S/4,,,224,0.0002,600000,,,early_stop,
s8_structv2_b8all,20260821-212149-s8-structv2-b8all,5script/results/s8_structv2_b8all/20260821-212149-s8-structv2-b8all,pretrain,small,11,3154,10866,2,0.5387,205000,,,,210000,0.496,2,5script/train_top6.csv,,DiT-2Cond-S/2,,,8,0.0001,275000,,,early_stop,
s9_skelonly,20260821-232920-s9-skelonly,5script/results/s9_skelonly/20260821-232920-s9-skelonly,pretrain,small,11,3154,10866,2,0.6102,205000,,,,235000,0.476,7,5script/train_top6.csv,,DiT-2Cond-S/2,,,32,0.0001,260000,,,early_stop,
v3a,20260815-193523-v3a-2factor-glyph-composable,5script/results/v3a/20260815-193523-v3a-2factor-glyph-composable,pretrain,large,1004,7011,147841,5,0.2708,2000,,1.69902,,2000,0.2708,2,5script/train.csv,,DiT-2Cond-S/2,,,224,0.0001,39600,,,auto_eval,free
v3a,20260815-195729-v3a-2factor-glyph-canny-skel,5script/results/v3a/20260815-195729-v3a-2factor-glyph-canny-skel,pretrain,large,1004,7011,147841,5,0.1284,5000,,1.8293,,5000,0.1284,5,5script/train.csv,,DiT-2Cond-S/2,,,8,0.0001,39600,,,auto_eval,free
v3a,20260815-213305-v3a-2factor-glyph-canny-skel,5script/results/v3a/20260815-213305-v3a-2factor-glyph-canny-skel,pretrain,large,1004,7011,147841,5,0.1565,5000,,1.61075,,5000,0.1565,5,5script/train.csv,,DiT-2Cond-S/2,,,12,0.0001,39600,,,auto_eval,free
v3a,20260815-225356-v3a-2factor-glyph-canny-skel,5script/results/v3a/20260815-225356-v3a-2factor-glyph-canny-skel,pretrain,large,1004,7011,147841,5,0.1048,1000,,2.07065,,1000,0.1048,2,5script/train.csv,,DiT-2Cond-S/2,,,12,0.0001,39600,,,auto_eval,free
v3a,20260816-002421-v3a-2factor-glyph-canny-skel,5script/results/v3a/20260816-002421-v3a-2factor-glyph-canny-skel,pretrain,large,1004,7011,147841,5,0.3946,35000,,1.08066,,35000,0.3946,12,5script/train.csv,,DiT-2Cond-S/2,,,12,0.0001,39600,,,auto_eval,free
v3a_xl,20260815-232600-v3a-2factor-glyph-XL-lora-cs,5script/results/v3a_xl/20260815-232600-v3a-2factor-glyph-XL-lora-cs,pretrain,large,1004,7011,147841,5,0.0349,1000,,2.82405,,5000,0.0305,6,5script/train.csv,,DiT-2Cond-XL/2,,,4,0.0001,39600,,,auto_eval,free
v3a_xl_highdim,20260816-101955-v3a-2factor-glyph-XL-highdim-LoRA-cs,5script/results/v3a_xl_highdim/20260816-101955-v3a-2factor-glyph-XL-highdim-LoRA-cs,pretrain,large,1004,7011,147841,5,0.0202,0,,4.06619,,1000,0.015,2,5script/train.csv,,DiT-2Cond-XL/2,,,4,0.0001,35000,,,auto_eval,free
v3a_xl_highdim,20260816-103708-v3a-2factor-glyph-XL-highdim-LoRA-cs,5script/results/v3a_xl_highdim/20260816-103708-v3a-2factor-glyph-XL-highdim-LoRA-cs,pretrain,large,1004,7011,147841,5,0.1997,3000,,1.67584,,5000,0.1908,6,5script/train.csv,,DiT-2Cond-XL/2,,,4,0.0001,35000,,,auto_eval,free
v3a_xl_highdim,20260816-114452-v3a-2factor-glyph-XL-highdim-LoRA-cs,5script/results/v3a_xl_highdim/20260816-114452-v3a-2factor-glyph-XL-highdim-LoRA-cs,pretrain,large,1004,7011,147841,5,0.1758,5000,,1.48112,,5000,0.1758,6,5script/train.csv,,DiT-2Cond-XL/2,,,4,0.0001,35000,,,auto_eval,free
