path,type,size_mb,n_files,age_days,action,reason
dit_s_smoke2.log,file,0.0,1,16.4,DELETE,空文件(0字节)
exp_v3c_midstep.log,file,0.0,1,14.2,DELETE,空文件(0字节)
gen_eval_S_old.json,file,0.0,1,15.5,DELETE,旧版备份
test_eval_S.log,file,0.0,1,16.3,DELETE,空文件(0字节)
train_s8_structv2_b32sub8.log,file,0.0,1,9.1,DELETE,空文件(0字节)
src/train/train.py,file,0.109,1,0.1,KEEP,src/train 源码
src/model/dit.py,file,0.054,1,2.0,KEEP,src/model 源码
src/loss/gaussian_diffusion.py,file,0.034,1,2.5,KEEP,src/loss 源码
src/train/train_controlnet.py,file,0.027,1,1.4,KEEP,src/train 源码
src/eval/auto_eval_cpu.py,file,0.025,1,2.5,KEEP,src/eval 源码
tools/pull_monitor.py,file,0.024,1,6.3,KEEP,tools 源码
src/model/controlnet.py,file,0.023,1,1.4,KEEP,src/model 源码
src/eval/auto_eval_gpu.py,file,0.021,1,2.5,KEEP,src/eval 源码
src/eval/auto_eval_ctrl.py,file,0.02,1,2.5,KEEP,src/eval 源码
src/eval/gpu_batch_eval.py,file,0.019,1,2.5,KEEP,src/eval 源码
src/eval/gpu_batch_eval_v2.py,file,0.017,1,2.5,KEEP,src/eval 源码
src/eval/inference.py,file,0.017,1,2.0,KEEP,src/eval 源码
src/loss/flow_matching.py,file,0.017,1,2.0,KEEP,src/loss 源码
tools/pull_s11.py,file,0.016,1,6.1,KEEP,tools 源码
src/model/modules.py,file,0.016,1,1.4,KEEP,src/model 源码
tools/train_struct_decoder_gpu.py,file,0.015,1,8.3,KEEP,tools 源码
src/eval/eval_auto.py,file,0.015,1,2.5,KEEP,src/eval 源码
src/eval/in_process_eval.py,file,0.015,1,0.1,KEEP,src/eval 源码
src/utils/latent_dataset.py,file,0.015,1,0.1,KEEP,src/utils 源码
src/loss/losses.py,file,0.015,1,0.3,KEEP,src/loss 源码
src/eval/auto_eval_ctrl_flow.py,file,0.014,1,2.0,KEEP,src/eval 源码
tools/aug6.py,file,0.013,1,2.4,KEEP,tools 源码
tools/make_eval_poster.py,file,0.013,1,3.3,KEEP,tools 源码
tools/build_fame_dataset.py,file,0.012,1,1.1,KEEP,tools 源码
tools/eval_glyph_retrieval.py,file,0.012,1,0.3,KEEP,tools 源码
tools/eval_struct_decoder.py,file,0.012,1,8.3,KEEP,tools 源码
