img_id,ok,err,ink_before,ink_after,ink_delta,n_cc_before,n_cc_after,main_frac_before,main_frac_after,big_cc_before,big_cc_after,removed_small,removed_edge,prune_iters,aggressive,inverted,changed_px
100736,1,,6600,6417,-0.027727,3,3,0.838182,0.862085,1,1,0,0,0,1,0,193
100738,1,,20897,20901,0.000191,1,1,1.0,1.0,1,1,0,0,0,1,0,4
100740,1,,19503,19503,0.0,1,1,1.0,1.0,1,1,0,0,0,1,0,8
100742,1,,3499,3414,-0.024293,4,12,0.454987,0.466022,2,2,0,0,0,0,0,99
100743,1,,8853,8683,-0.019203,7,10,0.41003,0.419095,3,3,0,0,0,0,0,206
100744,1,,13783,13789,0.000435,1,1,1.0,1.0,1,1,0,0,0,1,0,12
100750,1,,22685,22687,8.8e-05,1,1,1.0,1.0,1,1,0,0,0,1,0,8
100756,1,,16440,16438,-0.000122,3,3,0.463625,0.463682,3,3,0,0,0,0,0,2
100757,1,,13749,13747,-0.000145,2,2,0.712779,0.712737,2,2,0,0,0,0,0,4
100773,1,,13118,13113,-0.000381,3,3,0.465544,0.465645,3,3,0,0,0,0,0,9
100774,1,,15450,15236,-0.013851,5,5,0.502201,0.509254,3,3,0,0,0,0,0,218
100775,1,,15426,15426,0.0,3,3,0.49825,0.498315,3,3,0,0,0,0,0,14
10078,1,,10069,9895,-0.017281,2,2,0.953322,0.97049,1,1,0,0,0,1,0,182
10079,1,,5040,5033,-0.001389,2,2,0.66369,0.664017,2,2,0,0,0,0,0,13
100833,1,,8208,8178,-0.003655,4,4,0.54191,0.544143,3,3,0,0,0,0,0,38
100843,1,,11469,11466,-0.000262,2,2,0.912721,0.912786,2,2,0,0,0,0,0,3
100844,1,,13095,13092,-0.000229,2,2,0.63551,0.635579,2,2,0,0,0,0,0,7
100846,1,,14788,14784,-0.00027,2,2,0.726129,0.72619,2,2,0,0,0,0,0,10
100847,1,,18821,18825,0.000213,1,1,1.0,1.0,1,1,0,0,0,1,0,8
100871,1,,7796,7591,-0.026296,4,15,0.840303,0.863127,2,2,0,0,0,0,0,209
100872,1,,10142,10133,-0.000887,2,2,0.899034,0.899043,2,2,0,0,0,0,0,15
100873,1,,10437,10436,-9.6e-05,1,1,1.0,1.0,1,1,0,0,0,1,0,5
100874,1,,8854,8849,-0.000565,2,2,0.508923,0.508984,2,2,0,0,0,0,0,7
100875,1,,8363,8362,-0.00012,1,1,1.0,1.0,1,1,0,0,0,1,0,5
100876,1,,14995,14991,-0.000267,3,3,0.540447,0.540391,3,3,0,0,0,0,0,8
100888,1,,10279,10271,-0.000778,2,2,0.913318,0.913251,2,2,0,0,0,0,0,16
100894,1,,4738,4735,-0.000633,2,2,0.627902,0.627878,2,2,0,0,0,0,0,21
100903,1,,8671,8630,-0.004728,13,15,0.23815,0.239282,5,5,0,0,0,0,0,69
100904,1,,21270,21273,0.000141,3,3,0.755571,0.755606,2,2,0,0,0,0,0,9
100905,1,,15714,15717,0.000191,3,3,0.719677,0.719667,3,3,0,0,0,0,0,5
100906,1,,9670,9673,0.00031,2,2,0.816339,0.816189,2,2,0,0,0,0,0,9
100912,1,,24918,24921,0.00012,1,1,1.0,1.0,1,1,0,0,0,1,0,15
