tag,n,iou3_mean,iou3_median,iou3_std,iou1_mean,iou1_median
v10a_127500_charnull,30,0.5778,0.5855,0.045,0.1121,0.1136
v10b_85000_charnull,30,0.5699,0.5765,0.0356,0.1146,0.1165
v8e_22500_charnull,30,0.2118,0.2097,0.0499,0.0308,0.0312
