step,set,n,frag_mean,hole_pred_mean,hole_gt_mean,ink_ssim_mean,ink_iou_mean,ssim_mean
5000,g,20,1.9573051948051947,0.06378185460564344,0.058775419527256026,0.38442792890997457,0.21813699411739984,0.5401837256077293
5000,strict,249,1.5798319035496826,0.04686945180923811,0.05624198901817875,0.36583602291909606,0.22622332346106405,0.5253821226193203
10000,g,20,1.9085470779220777,0.060832866572627764,0.058775419527256026,0.37213526750404613,0.21775573556793462,0.5387705346830292
10000,strict,249,1.5017831997797055,0.05051545508688528,0.05624198901817875,0.36556370517830256,0.236874103252017,0.5263880550223976
15000,g,20,1.5841819985569985,0.054551890600813835,0.058775419527256026,0.38031963641375266,0.22595162421781767,0.5454070610785117
15000,strict,249,1.3350744967329216,0.052747391948703655,0.05624198901817875,0.37219882939187254,0.24016236928075307,0.5310562583883828
20000,g,20,2.2055925324675325,0.05063056806532058,0.058775419527256026,0.38622241667905133,0.2263744996201579,0.5493019819365201
20000,strict,249,1.4081269409231285,0.054121377685480115,0.05624198901817875,0.37214745583986597,0.2415384077541823,0.5338670096341676
25000,g,20,1.5164871933621933,0.07405677077836029,0.058775419527256026,0.39159723602487756,0.2366283058695966,0.5553769799394096
25000,strict,249,1.3168759057521635,0.05082365073855424,0.05624198901817875,0.37139438013836196,0.24294681341665697,0.5340595625265354
30000,g,20,1.8035434704184703,0.06598676633138181,0.058775419527256026,0.39452398770542757,0.2399618835634329,0.5635952924945025
30000,strict,249,1.4213897522410563,0.05070813861993704,0.05624198901817875,0.3744235225769363,0.24561501002353867,0.5388605410726184
35000,g,20,1.7142938311688312,0.056286233356638835,0.058775419527256026,0.42270011285786857,0.25622916650265265,0.573153211034176
35000,strict,249,1.4692296716768984,0.04851094442710323,0.05624198901817875,0.3779484745670734,0.24911095399344524,0.5439398825232512
40000,g,20,1.7931538600288597,0.07029041814346845,0.058775419527256026,0.41806256469750586,0.26308586150193897,0.5777904107764721
40000,strict,249,1.4288492083561828,0.045086011658926,0.05624198901817875,0.3797298150367538,0.2526269980591871,0.5460464228409855
