step,set,n,frag_mean,hole_pred_mean,hole_gt_mean,ink_ssim_mean,ink_iou_mean,ssim_mean
5000,g,20,2.266801046176046,0.05276862532824543,0.058775419527256026,0.37804548504752533,0.21878412755501234,0.5320855995729535
5000,strict,249,1.5216821304368373,0.051732287534057106,0.05624198901817875,0.3659378948738963,0.22739258263391737,0.5202061404238502
10000,g,20,1.8352633477633475,0.05945968471224896,0.058775419527256026,0.37508582379357336,0.2198170630014947,0.5339362369479898
10000,strict,249,1.332717845105114,0.05118789756032722,0.05624198901817875,0.36663188145147513,0.23855681219918667,0.5239079684651189
15000,g,20,1.4759776334776333,0.0694618912292162,0.058775419527256026,0.3756934561242588,0.23004555422858436,0.5395236444662582
15000,strict,249,1.3161810065428847,0.05371318469157353,0.05624198901817875,0.370456015722352,0.24138209008545275,0.5296458708566072
20000,g,20,1.4385308441558442,0.06928492430130015,0.058775419527256026,0.373403347465398,0.2247278990365824,0.5477578281267287
20000,strict,249,1.438463244235294,0.050679512087108754,0.05624198901817875,0.3713674653222656,0.24278424856843928,0.5331692355895298
25000,g,20,1.2366829004329003,0.05775883224580526,0.058775419527256026,0.39193687074690875,0.242426712579508,0.5621645724990892
25000,strict,249,1.2986886594791185,0.05087918947879754,0.05624198901817875,0.3724969663715818,0.24534575173386214,0.5349378544804716
30000,g,20,1.6498818542568543,0.05326126548253858,0.058775419527256026,0.3960809024395909,0.24265573978611132,0.5617726196236541
30000,strict,249,1.3945123300767768,0.055742929318611335,0.05624198901817875,0.373103122112256,0.24692309304897886,0.5388758687007564
35000,g,20,1.7852804834054834,0.05132577110505784,0.058775419527256026,0.40708521553092175,0.24894111834349203,0.567621018213749
35000,strict,249,1.4817101867830003,0.0542344964859936,0.05624198901817875,0.374915320104527,0.2479247655726915,0.5419865205458565
40000,g,20,2.018176406926407,0.06324869193157323,0.058775419527256026,0.41250126724782527,0.26322750083997326,0.5752794615935388
40000,strict,249,1.5532973881066992,0.05609939883728043,0.05624198901817875,0.37574692376105906,0.24871291369975781,0.5417496055342121
