step,set,n,frag_mean,hole_pred_mean,hole_gt_mean,ink_ssim_mean,ink_iou_mean,ssim_mean
5000,g,20,2.564658189033189,0.0670352512476506,0.058775419527256026,0.3831650206048411,0.21509999035996774,0.5337023183075369
5000,strict,249,1.6782680460977135,0.04838725726697248,0.05624198901817875,0.3684202948825778,0.22578305337936425,0.5225034586017213
10000,g,20,1.7753724747474746,0.06386890101163649,0.058775419527256026,0.3707292319871189,0.2148902960475764,0.527577990394225
10000,strict,249,1.5262015410425158,0.049503346736959206,0.05624198901817875,0.3683137888091981,0.23625272377200346,0.5278452711623857
15000,g,20,1.6421681096681098,0.06467161049922032,0.058775419527256026,0.38753476054805713,0.22296405558515403,0.539083973290291
15000,strict,249,1.339255887431452,0.052170411193191726,0.05624198901817875,0.37135766837635137,0.2393190839339311,0.5339048572607986
20000,g,20,2.0273069985569987,0.08370374816681209,0.058775419527256026,0.3975135009358776,0.22555581895291246,0.5454166196284191
20000,strict,249,1.3429218666577816,0.05177303519604152,0.05624198901817875,0.37358005255874527,0.24281164185853454,0.5358827009746009
25000,g,20,1.3236931818181819,0.08101555188966168,0.058775419527256026,0.40380889331138387,0.23177717518919966,0.5576649956282818
25000,strict,249,1.418767463615992,0.05336757391496982,0.05624198901817875,0.37609967069117434,0.24523214478830396,0.5380914563979159
30000,g,20,1.605987554112554,0.049915541070567664,0.058775419527256026,0.42013395938087683,0.2502093600421064,0.5649449377982896
30000,strict,249,1.4141375537114194,0.05143545352527947,0.05624198901817875,0.3759217167904778,0.24665258066077614,0.5409143743959257
35000,g,20,1.6970815295815296,0.043319324727154974,0.058775419527256026,0.41476764110855624,0.25213835761764986,0.5678224850120048
35000,strict,249,1.4642971502202888,0.05088933313690477,0.05624198901817875,0.37681772067734653,0.24867165638128794,0.5440536622590132
40000,g,20,1.828378427128427,0.036513011399385426,0.058775419527256026,0.4327344122332774,0.26725536818743556,0.5854450864079596
40000,strict,249,1.4388089139965576,0.05040396557158111,0.05624198901817875,0.3775501812201614,0.2491477424393229,0.5451216859041926
45000,g,20,2.052228535353535,0.04175798373380245,0.058775419527256026,0.42701079710322104,0.27725307491915896,0.586461233781019
45000,strict,249,1.5519867862809715,0.05160416818020704,0.05624198901817875,0.3779565327185955,0.2505348546217868,0.5472003437867604
50000,g,20,2.005520382395382,0.05090897473130235,0.058775419527256026,0.44835577294028883,0.30981147963425926,0.6019395185100433
50000,strict,249,1.5950907300543975,0.05596586497105753,0.05624198901817875,0.3778659209177583,0.25030340572082466,0.5467923553382504
55000,g,20,1.4140656565656564,0.060414942632000854,0.058775419527256026,0.4529973366038259,0.3258402238279082,0.6045465343213111
55000,strict,249,1.7372423946399325,0.05310004185208631,0.05624198901817875,0.3794461923954129,0.2510989860325129,0.5488413506159174
60000,g,20,1.5551848845598846,0.04142682563255749,0.058775419527256026,0.46847310208320214,0.3444187661166481,0.6144570108695981
60000,strict,249,1.7614256438957745,0.048402463511964394,0.05624198901817875,0.37777547629892644,0.2513740345535136,0.5490513659078059
65000,g,20,1.7109794372294371,0.04973833455660307,0.058775419527256026,0.472277763744961,0.3577145631232076,0.6141326995701175
65000,strict,249,1.8052958231014034,0.049041172826503616,0.05624198901817875,0.37888406351901943,0.2509001447714037,0.5499645449547601
70000,g,20,1.715326479076479,0.03673845636717894,0.058775419527256026,0.4827606051657137,0.37018575120744657,0.6229088731821316
70000,strict,249,1.9605702971714631,0.04871656095108337,0.05624198901817875,0.3797634038156575,0.2502202721243715,0.551431123738977
75000,g,20,1.8687130230880231,0.03791157708486377,0.058775419527256026,0.49198883110198716,0.3821877992978656,0.6312065969790874
75000,strict,249,2.1134388412193297,0.04770008701579584,0.05624198901817875,0.3798799167434817,0.25289228712441497,0.5535862059048671
80000,g,20,1.9253598484848484,0.040235775139917065,0.058775419527256026,0.5101620843420587,0.4061013442080328,0.6430161450971449
80000,strict,249,2.1596832955119063,0.051814792907805766,0.05624198901817875,0.3798004665169144,0.2555508313953295,0.5544489057607609
85000,g,20,1.9364087301587305,0.03968477585879852,0.058775419527256026,0.518436050105936,0.41866831625627665,0.6481015168821519
85000,strict,249,2.325447211102509,0.0539092073853492,0.05624198901817875,0.3808582295472585,0.2567579883578921,0.5538915123078859
90000,g,20,2.479046717171717,0.05095208448868969,0.058775419527256026,0.5280794797706692,0.4326537191186029,0.6560107012305626
90000,strict,249,2.5618390776364364,0.0547488168887104,0.05624198901817875,0.38005079994955276,0.25793383637837,0.5539343736137752
95000,g,20,2.2977380952380955,0.048660028548830725,0.058775419527256026,0.5450311907480284,0.4510533628979131,0.6616780215606554
95000,strict,249,2.866454235875303,0.05318713972065577,0.05624198901817875,0.3791546017092946,0.25741851387124803,0.5542238972656566
100000,g,20,2.4709343434343434,0.04253456182095071,0.058775419527256026,0.5496949829542871,0.45880586317483607,0.6654868265796945
100000,strict,249,3.206975581676739,0.0535212643758137,0.05624198901817875,0.38028826442294644,0.25676330778833084,0.5544234763248101
