run,status,n_ckpt,last_step,best_seen,best_strict,size_GB,model,batch,lr,max_steps,w_repa,inject,aux,aux_w
v10b_stdskel_fame3_c41x,keep,89,212500,0.7638@212500,0.5316@180000,108.6,DiT-2Cond-Sp/2,128,0.00015,200000,0.03,xattn,,
v10b_stdskel_fame3_c41x_cos,keep,35,172500,0.7642@172500,0.5354@170000,42.7,DiT-2Cond-Sp/2,128,0.00015,300000,0.03,xattn,,
v10b_stdskel_fame3_c41x_cos_e,keep,88,390000,0.7630@387500,0.5680@360000,118.8,DiT-2Cond-Sp/2,128,5e-05,400000,0.03,xattn,,
v11_pretrain_M432_adaln4_sym,keep,15,22500,0.4745@20000,0.4912@20000,11.1,DiT-2Cond-M/2,192,0.0001,250000,0.03,adaln,"aux_canny_latents_sym,aux_skel3_latents_sym","0.3,0.8"
v11_pretrain_M432_v8_auxc03s08,keep,16,30000,0.4857@30000,0.4855@30000,12.6,DiT-2Cond-M/2,256,0.0001,250000,0.0,adaln,"aux_canny_latents_v8,aux_skel_latents_v8","0.3,0.8"
v11_pretrain_M432_v8_sk3,keep,64,152500,0.5707@152500,0.5108@150000,50.5,DiT-2Cond-M/2,256,0.0001,250000,0.0,adaln,"aux_canny_latents_v8,aux_skel3_latents_v8","0.3,0.8"
v11_pretrain_S2_ref12ch,keep,39,90000,0.5098@77500,0.5226@80000,24.4,DiT-2Cond-S/2,256,0.0001,300000,0.0,adaln,"aux_canny_latents_fame_e,aux_skel_latents_fame_e",
v11_pretrain_S2_v8_aux02,keep,51,120000,0.4946@115000,0.5091@120000,31.9,DiT-2Cond-S/2,256,0.0001,150000,0.0,adaln,"aux_canny_latents_v8,aux_skel_latents_v8",
v11_struct-loss,keep,44,500000,0.7685@470000,0.5675@490000,53.7,DiT-2Cond-Sp/2,128,5e-05,500000,0.03,xattn,,
ablate_spatial_off,archived,1,390000,0.7268@390000,0.5655@390000,1.4,,,,,,,,
c41x_sty16,archived,2,20000,0.4762@15000,0.4967@20000,2.5,DiT-2Cond-Sp/2,128,0.00015,30000,0.03,xattn,,
lrtest,archived,0,-1,,,0.0,DiT-2Cond-Sp/2,128,5e-05,177000,0.03,xattn,,
skel_follow_gpu,archived,0,-1,,,0.0,,,,,,,,
