img_id,scheme,inverted,cropped,changed,orig_ink,clean_ink,ink_change,main_keep,n_cc_before,n_cc_after,small_cc_left
7226,B,0,0,1,9949,9663,-0.028747,1.0,39,21,0
7227,B,0,0,1,4793,4774,-0.003964,1.0,9,5,0
237188,B,0,0,1,12245,12039,-0.016823,1.0,36,22,0
237189,B,0,0,1,12753,12751,-0.000157,1.0,3,2,0
7230,B,0,0,0,6609,6609,0.0,1.0,2,2,0
7232,B,0,0,0,17814,17814,0.0,1.0,1,1,0
7233,B,0,0,1,14776,14766,-0.000677,1.0,2,1,0
237190,B,0,0,0,7840,7840,0.0,1.0,2,2,0
237205,B,0,0,0,16652,16652,0.0,1.0,1,1,0
7234,B,0,0,1,10293,10285,-0.000777,1.0,4,2,0
237195,B,0,0,0,16707,16707,0.0,1.0,3,3,0
7237,B,0,0,0,7632,7632,0.0,1.0,4,4,0
237139,B,0,0,0,9491,9491,0.0,1.0,2,2,0
7288,B,0,0,0,13114,13114,0.0,1.0,1,1,0
7289,B,0,0,0,12618,12618,0.0,1.0,1,1,0
7292,B,1,1,1,41011,9421,-0.770281,0.229719,1,1,0
7318,B,0,0,0,13232,13232,0.0,1.0,1,1,0
7293,B,0,0,0,13139,13139,0.0,1.0,1,1,0
7361,B,0,0,0,15480,15480,0.0,1.0,1,1,0
7362,B,0,0,0,10707,10707,0.0,1.0,3,3,0
237262,B,0,0,0,15175,15175,0.0,1.0,1,1,0
7294,B,0,0,0,14549,14549,0.0,1.0,1,1,0
7319,B,0,0,1,20051,19126,-0.046132,1.0,118,15,0
7363,B,0,0,1,10894,10882,-0.001102,1.0,5,3,0
7295,B,0,0,0,11640,11640,0.0,1.0,1,1,0
7364,B,0,0,1,16992,16978,-0.000824,1.0,5,4,0
7365,B,0,0,0,19502,19502,0.0,1.0,1,1,0
7296,B,1,1,1,51213,8681,-0.830492,0.169508,2,1,0
7297,B,0,0,0,10513,10513,0.0,1.0,2,2,0
7356,B,0,0,0,14137,14137,0.0,1.0,4,4,0
7357,B,0,0,1,16454,16437,-0.001033,1.0,4,2,0
7367,B,0,0,0,8443,8443,0.0,1.0,1,1,0
5480,B,0,0,0,25886,25886,0.0,1.0,1,1,0
5481,B,0,0,1,8736,8733,-0.000343,1.0,5,4,0
5483,B,0,0,0,21955,21955,0.0,1.0,1,1,0
5484,B,0,0,0,22723,22723,0.0,1.0,1,1,0
5485,B,0,0,0,21981,21981,0.0,1.0,1,1,0
236476,B,0,0,0,18784,18784,0.0,1.0,1,1,0
236477,B,0,0,0,20648,20648,0.0,1.0,1,1,0
5486,B,0,0,0,20294,20294,0.0,1.0,1,1,0
5487,B,0,0,1,24492,24482,-0.000408,1.0,2,1,0
5489,B,0,0,0,9824,9824,0.0,1.0,3,3,0
5490,B,0,0,0,27667,27667,0.0,1.0,1,1,0
236473,B,0,0,1,21814,21806,-0.000367,1.0,2,1,0
5492,B,0,0,0,25278,25278,0.0,1.0,1,1,0
5493,B,0,0,0,16635,16635,0.0,1.0,1,1,0
5494,B,0,0,0,26603,26603,0.0,1.0,1,1,0
236481,B,0,0,0,10789,10789,0.0,1.0,2,2,0
5721,B,0,0,0,18295,18295,0.0,1.0,1,1,0
5722,B,0,0,0,11957,11957,0.0,1.0,2,2,0
5723,B,0,0,0,13101,13101,0.0,1.0,4,4,0
5733,B,0,0,1,11718,11688,-0.00256,1.0,6,4,0
5724,B,0,0,0,10965,10965,0.0,1.0,2,2,0
5726,B,0,0,1,11964,11941,-0.001922,1.0,7,6,0
5758,B,0,0,1,7803,7707,-0.012303,1.0,21,10,0
5762,B,0,0,0,8622,8622,0.0,1.0,1,1,0
5781,B,0,0,0,7386,7386,0.0,1.0,2,2,0
5782,B,0,0,0,12428,12428,0.0,1.0,1,1,0
5783,B,0,0,0,13026,13026,0.0,1.0,1,1,0
5784,B,0,0,0,22197,22197,0.0,1.0,1,1,0
5785,B,0,0,0,10609,10609,0.0,1.0,1,1,0
5820,B,0,0,1,11686,11678,-0.000685,1.0,3,1,0
5812,B,0,0,0,19723,19723,0.0,1.0,1,1,0
5864,B,0,0,0,16874,16874,0.0,1.0,1,1,0
6289,B,0,0,0,21610,21610,0.0,1.0,1,1,0
6292,B,0,0,0,16995,16995,0.0,1.0,2,2,0
236811,B,0,0,1,13604,13594,-0.000735,1.0,6,3,0
6295,B,0,0,0,10684,10684,0.0,1.0,2,2,0
6307,B,0,0,1,12395,12379,-0.001291,1.0,6,4,0
6296,B,0,0,0,21438,21438,0.0,1.0,1,1,0
6297,B,0,0,0,11965,11965,0.0,1.0,4,4,0
6308,B,0,0,0,22247,22247,0.0,1.0,1,1,0
236816,B,0,0,0,15513,15513,0.0,1.0,4,4,0
6298,B,1,1,1,45035,8125,-0.819585,0.163997,23,6,0
6309,B,0,0,1,19738,19731,-0.000355,1.0,3,1,0
6310,B,0,0,1,5073,5021,-0.01025,1.0,12,9,0
6299,B,0,0,1,13470,13460,-0.000742,1.0,4,3,0
6300,B,0,0,0,24774,24774,0.0,1.0,1,1,0
6303,B,0,0,1,9576,9525,-0.005326,1.0,7,5,0
6312,B,0,0,1,4813,4770,-0.008934,1.0,13,8,0
236814,B,0,0,1,8618,8608,-0.00116,1.0,8,6,0
6311,B,0,0,0,9247,9247,0.0,1.0,7,7,0
6313,B,0,0,0,11299,11299,0.0,1.0,5,5,0
6314,B,0,0,0,18373,18373,0.0,1.0,2,2,0
6315,B,0,0,0,14690,14690,0.0,1.0,3,3,0
6334,B,0,0,0,6430,6430,0.0,1.0,3,3,0
6335,B,0,0,0,13718,13718,0.0,1.0,1,1,0
6336,B,0,0,0,7468,7468,0.0,1.0,1,1,0
6337,B,0,0,0,6921,6921,0.0,1.0,1,1,0
6338,B,0,0,0,10508,10508,0.0,1.0,1,1,0
6352,B,0,0,0,13585,13585,0.0,1.0,1,1,0
6373,B,0,0,1,19271,19269,-0.000104,1.0,3,2,0
6527,B,0,0,0,11666,11666,0.0,1.0,4,4,0
6374,B,0,0,0,10785,10785,0.0,1.0,2,2,0
6375,B,0,0,0,6391,6391,0.0,1.0,3,3,0
6529,B,0,0,0,7826,7826,0.0,1.0,3,3,0
9766,B,0,0,1,16148,16140,-0.000495,1.0,2,1,0
9787,B,0,0,0,13213,13213,0.0,1.0,1,1,0
9788,B,0,0,0,23128,23128,0.0,1.0,1,1,0
238297,B,0,0,0,14482,14482,0.0,1.0,1,1,0
9768,B,0,0,0,4705,4705,0.0,1.0,1,1,0
9769,B,0,0,0,15631,15631,0.0,1.0,1,1,0
9770,B,0,0,0,15324,15324,0.0,1.0,1,1,0
9793,B,0,0,0,11259,11259,0.0,1.0,1,1,0
9794,B,0,0,0,12765,12765,0.0,1.0,1,1,0
9772,B,0,0,0,4338,4338,0.0,1.0,1,1,0
9774,B,0,0,1,2413,2378,-0.014505,1.0,9,5,0
9775,B,0,0,1,7332,7328,-0.000546,1.0,2,1,0
9801,B,0,0,0,11422,11422,0.0,1.0,1,1,0
9802,B,0,0,1,11742,11715,-0.002299,1.0,4,3,0
9803,B,0,0,0,20720,20720,0.0,1.0,1,1,0
9804,B,0,0,0,14764,14764,0.0,1.0,1,1,0
9805,B,0,0,0,15274,15274,0.0,1.0,2,2,0
9806,B,0,0,1,11044,10997,-0.004256,1.0,5,3,0
238304,B,0,0,0,7438,7438,0.0,1.0,3,3,0
238305,B,0,0,0,17003,17003,0.0,1.0,1,1,0
9776,B,0,0,0,14464,14464,0.0,1.0,1,1,0
238307,B,0,0,1,14552,14546,-0.000412,1.0,2,1,0
9778,B,0,0,1,9990,9958,-0.003203,1.0,5,2,0
9781,B,0,0,0,5042,5042,0.0,1.0,1,1,0
238102,B,0,0,0,8537,8537,0.0,1.0,2,2,0
9795,B,0,0,0,11786,11786,0.0,1.0,1,1,0
9796,B,0,0,0,14145,14145,0.0,1.0,1,1,0
9797,B,0,0,0,18279,18279,0.0,1.0,1,1,0
238287,B,0,0,0,11003,11003,0.0,1.0,1,1,0
238288,B,0,0,0,10600,10600,0.0,1.0,1,1,0
238299,B,0,0,0,17401,17401,0.0,1.0,1,1,0
9798,B,0,0,0,15999,15999,0.0,1.0,5,5,0
4233,B,0,0,0,9585,9585,0.0,1.0,2,2,0
4234,B,0,0,1,2232,2193,-0.017473,1.0,5,3,0
4235,B,0,0,0,5017,5017,0.0,1.0,3,3,0
235934,B,0,0,0,3749,3749,0.0,1.0,5,5,0
235944,B,0,0,1,5348,5318,-0.00561,1.0,9,3,0
4218,B,0,0,0,4609,4609,0.0,1.0,3,3,0
235937,B,0,0,1,4117,4091,-0.006315,1.0,6,4,0
4225,B,0,0,0,18153,18153,0.0,1.0,1,1,0
4270,B,0,0,0,11350,11350,0.0,1.0,1,1,0
4447,B,0,0,0,14160,14160,0.0,1.0,3,3,0
4448,B,0,0,0,7221,7221,0.0,1.0,3,3,0
4449,B,0,0,0,14719,14719,0.0,1.0,2,2,0
236254,B,0,0,0,11737,11737,0.0,1.0,4,4,0
4450,B,0,0,0,16742,16742,0.0,1.0,2,2,0
4977,B,0,0,0,20412,20412,0.0,1.0,1,1,0
236258,B,0,0,0,27800,27800,0.0,1.0,1,1,0
236259,B,0,0,0,22177,22177,0.0,1.0,1,1,0
4894,B,0,0,1,11947,11878,-0.005776,1.0,13,2,0
236022,B,0,1,1,31301,7908,-0.747356,0.499066,40,11,0
4919,B,0,0,0,15858,15858,0.0,1.0,1,1,0
4925,B,0,0,1,17952,17754,-0.011029,1.0,35,4,0
4936,B,0,0,1,9768,9763,-0.000512,1.0,4,3,0
4937,B,0,0,1,3064,2988,-0.024804,1.0,15,9,0
4939,B,0,0,1,2870,2819,-0.01777,1.0,12,8,0
4965,B,0,0,1,6442,6440,-0.00031,1.0,5,4,0
4942,B,0,0,0,17478,17478,0.0,1.0,1,1,0
4943,B,0,0,0,9118,9118,0.0,1.0,4,4,0
4979,B,0,0,0,18234,18234,0.0,1.0,2,2,0
236238,B,0,0,0,10770,10770,0.0,1.0,3,3,0
4946,B,0,0,0,13573,13573,0.0,1.0,3,3,0
4980,B,0,0,0,17652,17652,0.0,1.0,2,2,0
5070,B,0,0,0,21434,21434,0.0,1.0,3,3,0
4082,B,0,0,1,8108,8101,-0.000863,1.0,6,4,0
4199,B,0,0,1,12505,12497,-0.00064,1.0,5,3,0
4083,B,0,0,1,11461,11460,-8.7e-05,1.0,5,4,0
4084,B,0,0,0,5148,5148,0.0,1.0,4,4,0
4085,B,0,0,0,10983,10983,0.0,1.0,1,1,0
4193,B,0,0,1,6131,5870,-0.042571,1.0,41,4,0
4194,B,0,0,1,17835,17713,-0.00684,1.0,28,9,0
4197,B,0,0,0,5008,5008,0.0,1.0,3,3,0
4198,B,0,0,0,15671,15671,0.0,1.0,2,2,0
4200,B,0,0,0,10011,10011,0.0,1.0,3,3,0
4202,B,0,0,0,12099,12099,0.0,1.0,3,3,0
4222,B,0,0,0,21230,21230,0.0,1.0,1,1,0
4223,B,0,0,0,12770,12770,0.0,1.0,1,1,0
4224,B,0,0,1,19697,19690,-0.000355,1.0,2,1,0
4203,B,0,0,0,12890,12890,0.0,1.0,2,2,0
4227,B,0,0,0,15869,15869,0.0,1.0,1,1,0
4204,B,0,0,0,10007,10007,0.0,1.0,3,3,0
4205,B,0,0,0,11965,11965,0.0,1.0,3,3,0
4206,B,0,0,0,6550,6550,0.0,1.0,3,3,0
4207,B,0,0,0,8576,8576,0.0,1.0,3,3,0
4228,B,0,0,0,9621,9621,0.0,1.0,2,2,0
4229,B,0,0,1,6964,6946,-0.002585,1.0,3,2,0
235940,B,0,0,0,11798,11798,0.0,1.0,1,1,0
235941,B,0,0,0,11661,11661,0.0,1.0,1,1,0
4209,B,0,0,1,10743,10737,-0.000559,1.0,4,3,0
4230,B,0,0,0,11419,11419,0.0,1.0,1,1,0
4210,B,0,0,0,9004,9004,0.0,1.0,3,3,0
4231,B,0,0,0,26034,26034,0.0,1.0,1,1,0
4211,B,0,0,0,18158,18158,0.0,1.0,1,1,0
4212,B,0,0,0,6920,6920,0.0,1.0,3,3,0
