img_id,H,W,ink_ratio,n_ink,n_cc,main_frac,small_cc_n,small_cc_area_ratio,mid_cc_n,foreign_area_ratio,edge_ink_ratio,border_bar,edge_blob_area,inverted
3964,256,256,0.095596,6265,5,0.493855,1,3.1e-05,1,0.048386,0.00315,0,0,0
3965,256,256,0.116577,7640,5,0.800524,2,0.000259,0,0.023254,0.039062,0,791,0
235826,256,256,0.200104,13114,2,0.980479,0,0.0,1,0.003906,0.064516,0,0,0
235827,256,256,0.188446,12350,11,0.735951,6,0.00061,2,0.049759,0.134829,0,892,0
3950,256,256,0.239853,15719,12,0.487817,7,0.000854,2,0.122849,0.085811,0,5440,0
3951,256,256,0.200851,13163,4,0.4031,1,0.000107,0,0.119888,0.057964,0,3081,0
3974,256,256,0.199417,13069,2,0.999923,1,1.5e-05,0,1.5e-05,0.020791,0,0,0
3975,256,256,0.339981,22281,2,0.999506,1,0.000168,0,0.000168,0.040953,0,0,0
3976,256,256,0.396515,25986,1,1.0,0,0.0,0,0.0,0.081905,0,0,0
235829,256,256,0.375824,24630,1,1.0,0,0.0,0,0.0,0.06754,0,0,0
3952,256,256,0.300735,19709,1,1.0,0,0.0,0,0.0,0.036794,0,0,0
3953,256,256,0.295731,19381,2,0.997575,0,0.0,1,0.000717,0.091482,0,0,0
3978,256,256,0.196823,12899,1,1.0,0,0.0,0,0.0,0.034022,0,0,0
235830,256,256,0.254044,16649,1,1.0,0,0.0,0,0.0,0.03062,0,0,0
3955,256,256,0.365173,23932,3,0.438952,0,0.0,0,0.20488,0.085181,0,9130,0
3956,256,256,0.163635,10724,73,0.346885,54,0.009766,16,0.106873,0.091734,0,1465,0
235831,256,256,0.068207,4470,6,0.524832,1,1.5e-05,3,0.03241,0.027722,0,0,0
3957,256,256,0.177643,11642,9,0.52491,3,0.000259,3,0.084396,0.049521,0,0,0
235832,256,256,0.205704,13481,4,0.584452,1,0.000183,1,0.08548,0.056074,0,0,0
3979,256,256,0.346329,22697,1,1.0,0,0.0,0,0.0,0.100932,0,0,0
3980,256,256,0.461273,30230,1,1.0,0,0.0,0,0.0,0.053301,0,0,0
3982,256,256,0.318283,20859,1,1.0,0,0.0,0,0.0,0.037928,0,0,0
4045,256,256,0.151688,9941,1,1.0,0,0.0,0,0.0,0.031124,0,0,0
3983,256,256,0.364014,23856,1,1.0,0,0.0,0,0.0,0.022429,0,0,0
4053,256,256,0.240616,15769,1,1.0,0,0.0,0,0.0,0.042717,0,0,0
4054,256,256,0.330887,21685,1,1.0,0,0.0,0,0.0,0.027722,0,0,0
235867,256,256,0.16687,10936,1,1.0,0,0.0,0,0.0,0.023059,0,0,0
4063,256,256,0.359146,23537,15,0.369843,12,0.001862,0,0.226318,0.622354,1,14710,0
4166,256,256,0.095764,6276,14,0.943435,11,0.001038,2,0.005417,0.080645,0,0,0
235910,256,256,0.059769,3917,4,0.891754,1,7.6e-05,2,0.00647,0.157762,0,0,0
4069,256,256,0.082977,5438,1,1.0,0,0.0,0,0.0,0.001512,0,0,0
4274,256,256,0.241211,15808,1,1.0,0,0.0,0,0.0,0.040071,0,0,0
9766,256,256,0.246399,16148,2,0.999505,1,0.000122,0,0.000122,0.079133,0,0,0
9787,256,256,0.201614,13213,1,1.0,0,0.0,0,0.0,0.020287,0,0,0
9788,256,256,0.352905,23128,1,1.0,0,0.0,0,0.0,0.069556,0,0,0
238297,256,256,0.220978,14482,1,1.0,0,0.0,0,0.0,0.043599,0,0,0
9768,256,256,0.071793,4705,1,1.0,0,0.0,0,0.0,0.020161,0,0,0
9769,256,256,0.23851,15631,1,1.0,0,0.0,0,0.0,0.037298,0,0,0
9770,256,256,0.233826,15324,1,1.0,0,0.0,0,0.0,0.049773,0,0,0
9793,256,256,0.171799,11259,1,1.0,0,0.0,0,0.0,0.055822,0,0,0
9794,256,256,0.194778,12765,1,1.0,0,0.0,0,0.0,0.055822,0,0,0
9772,256,256,0.066193,4338,1,1.0,0,0.0,0,0.0,0.0,0,0,0
9774,256,256,0.036819,2413,9,0.328637,4,0.000534,2,0.024719,0.016255,0,766,0
9775,256,256,0.111877,7332,2,0.999454,1,6.1e-05,0,6.1e-05,0.012097,0,0,0
9801,256,256,0.174286,11422,1,1.0,0,0.0,0,0.0,0.011593,0,0,0
9802,256,256,0.179169,11742,4,0.949923,1,0.000412,2,0.008972,0.071069,0,0,0
9803,256,256,0.316162,20720,1,1.0,0,0.0,0,0.0,0.051033,0,0,0
9804,256,256,0.225281,14764,1,1.0,0,0.0,0,0.0,0.031502,0,0,0
9805,256,256,0.233063,15274,2,0.966479,0,0.0,1,0.007812,0.069178,0,0,0
9806,256,256,0.168518,11044,5,0.894966,2,0.000717,1,0.0177,0.081401,0,1078,0
238304,256,256,0.113495,7438,3,0.6936,0,0.0,1,0.034775,0.005922,0,0,0
238305,256,256,0.259445,17003,1,1.0,0,0.0,0,0.0,0.023059,0,0,0
9776,256,256,0.220703,14464,1,1.0,0,0.0,0,0.0,0.028604,0,0,0
238307,256,256,0.222046,14552,2,0.999588,1,9.2e-05,0,9.2e-05,0.035282,0,0,0
9778,256,256,0.152435,9990,5,0.928328,3,0.000488,0,0.010925,0.047757,0,684,0
9781,256,256,0.076935,5042,1,1.0,0,0.0,0,0.0,0.011467,0,0,0
238102,256,256,0.130264,8537,2,0.973644,0,0.0,1,0.003433,0.028352,0,0,0
9795,256,256,0.17984,11786,1,1.0,0,0.0,0,0.0,0.039945,0,0,0
9796,256,256,0.215836,14145,1,1.0,0,0.0,0,0.0,0.014239,0,0,0
9797,256,256,0.278915,18279,1,1.0,0,0.0,0,0.0,0.018775,0,0,0
238287,256,256,0.167892,11003,1,1.0,0,0.0,0,0.0,0.028856,0,0,0
238288,256,256,0.161743,10600,1,1.0,0,0.0,0,0.0,0.027596,0,0,0
238299,256,256,0.265518,17401,1,1.0,0,0.0,0,0.0,0.017137,0,0,0
9798,256,256,0.244125,15999,5,0.91537,0,0.0,3,0.02066,0.081275,0,971,0
8648,256,256,0.164352,10771,2,0.630118,0,0.0,0,0.060791,0.053805,0,3984,0
8649,256,256,0.157028,10291,2,0.627441,0,0.0,0,0.058502,0.048765,0,3834,0
8650,256,256,0.063766,4179,5,0.511127,2,0.000336,1,0.031174,0.019279,0,1682,0
237797,256,256,0.146072,9573,2,0.746788,0,0.0,0,0.036987,0.006048,0,2424,0
8655,256,256,0.357635,23438,1,1.0,0,0.0,0,0.0,0.009703,0,0,0
8664,256,256,0.177948,11662,2,0.899503,0,0.0,0,0.017883,0.0,0,0,0
237816,256,256,0.205688,13480,2,0.863872,0,0.0,0,0.028,0.0,0,0,0
8665,256,256,0.192963,12646,1,1.0,0,0.0,0,0.0,0.002268,0,0,0
8695,256,256,0.292862,19193,3,0.999114,2,0.000259,0,0.000259,0.030746,0,0,0
8667,256,256,0.167282,10963,1,1.0,0,0.0,0,0.0,0.000252,0,0,0
8668,256,256,0.757721,49658,1,1.0,0,0.0,0,0.0,0.4719,1,0,1
8697,256,256,0.146744,9617,68,0.316003,62,0.007187,3,0.100372,0.080141,0,5778,0
8670,256,256,0.283127,18555,1,1.0,0,0.0,0,0.0,0.0,0,0,0
8683,256,256,0.242508,15893,6,0.520292,1,3.1e-05,2,0.116333,0.040575,0,0,0
8707,256,256,0.299652,19638,3,0.9061,0,0.0,0,0.028137,0.058342,0,715,0
8710,256,256,0.313599,20552,5,0.839529,2,7.6e-05,0,0.050323,0.075353,0,0,0
8712,256,256,0.288773,18925,2,0.999736,1,7.6e-05,0,7.6e-05,0.030494,0,0,0
8775,256,256,0.198837,13031,8,0.922569,5,0.001053,1,0.015396,0.071321,0,0,0
8713,256,256,0.165253,10830,6,0.512281,0,0.0,1,0.080597,0.026714,0,0,0
8770,256,256,0.126358,8281,24,0.62891,20,0.001129,2,0.04689,0.069052,0,0,0
8771,256,256,0.242828,15914,8,0.674249,2,0.000244,1,0.079102,0.052293,0,3365,0
8772,256,256,0.168549,11046,3,0.998461,2,0.000259,0,0.000259,0.014617,0,0,0
8780,256,256,0.314224,20593,1,1.0,0,0.0,0,0.0,0.02558,0,0,0
8778,256,256,0.343704,22525,3,0.942375,1,0.00029,0,0.019806,0.029486,0,1279,0
8779,256,256,0.153854,10083,4,0.856888,0,0.0,3,0.022018,0.032006,0,0,0
8804,256,256,0.335037,21957,2,0.949583,0,0.0,0,0.016891,0.033518,0,0,0
8811,256,256,0.131058,8589,1,1.0,0,0.0,0,0.0,0.001386,0,0,0
8812,256,256,0.154099,10099,1,1.0,0,0.0,0,0.0,0.009703,0,0,0
8829,256,256,0.184296,12078,10,0.900149,6,0.00061,2,0.018402,0.048891,0,774,0
9024,256,256,0.037659,2468,1,1.0,0,0.0,0,0.0,0.002142,0,0,0
9171,256,256,0.077423,5074,2,0.993299,0,0.0,1,0.000519,0.012727,0,0,0
9026,256,256,0.122711,8042,1,1.0,0,0.0,0,0.0,0.0,0,0,0
238035,256,256,0.207275,13584,1,1.0,0,0.0,0,0.0,0.035534,0,0,0
9030,256,256,0.1651,10820,1,1.0,0,0.0,0,0.0,0.004914,0,0,0
9276,256,256,0.207443,13595,1,1.0,0,0.0,0,0.0,0.03125,0,0,0
9050,256,256,0.158966,10418,7,0.91937,4,0.000412,1,0.012817,0.06187,0,727,0
9051,256,256,0.141083,9246,2,0.952736,0,0.0,1,0.006668,0.010459,0,0,0
9052,256,256,0.059662,3910,1,1.0,0,0.0,0,0.0,0.005796,0,0,0
9053,256,256,0.118378,7758,6,0.991106,5,0.001053,0,0.001053,0.00504,0,0,0
9054,256,256,0.16066,10529,1,1.0,0,0.0,0,0.0,0.031376,0,0,0
9055,256,256,0.167572,10982,2,0.999909,1,1.5e-05,0,1.5e-05,0.034274,0,0,0
9056,256,256,0.232117,15212,1,1.0,0,0.0,0,0.0,0.051789,0,0,0
9193,256,256,0.166687,10924,1,1.0,0,0.0,0,0.0,0.010333,0,0,0
9194,256,256,0.233765,15320,1,1.0,0,0.0,0,0.0,0.08682,0,0,0
9195,256,256,0.130219,8534,1,1.0,0,0.0,0,0.0,0.021799,0,0,0
9190,256,256,0.221146,14493,2,0.998482,1,0.000336,0,0.000336,0.041961,0,0,0
9191,256,256,0.104507,6849,4,0.65776,1,3.1e-05,1,0.035767,0.037424,0,1983,0
9201,256,256,0.100037,6556,12,0.875381,10,0.001083,0,0.012466,0.054435,0,746,0
9192,256,256,0.173828,11392,1,1.0,0,0.0,0,0.0,0.018145,0,0,0
9197,256,256,0.215378,14115,1,1.0,0,0.0,0,0.0,0.026966,0,0,0
9198,256,256,0.254105,16653,1,1.0,0,0.0,0,0.0,0.021295,0,0,0
9216,256,256,0.164001,10748,9,0.941571,7,0.001312,1,0.009583,0.02684,0,0,0
9217,256,256,0.115967,7600,9,0.815921,7,0.000854,0,0.021347,0.056074,0,1343,0
9218,256,256,0.138428,9072,2,0.893739,0,0.0,0,0.014709,0.032762,0,964,0
9219,256,256,0.278503,18252,1,1.0,0,0.0,0,0.0,0.047253,0,0,0
9220,256,256,0.178085,11671,1,1.0,0,0.0,0,0.0,0.000756,0,0,0
9221,256,256,0.216202,14169,1,1.0,0,0.0,0,0.0,0.023564,0,0,0
238042,256,256,0.119659,7842,2,0.967355,0,0.0,1,0.003906,0.018397,0,0,0
238043,256,256,0.39386,25812,1,1.0,0,0.0,0,0.0,0.045615,0,0,0
238051,256,256,0.266983,17497,1,1.0,0,0.0,0,0.0,0.015499,0,0,0
238052,256,256,0.396454,25982,1,1.0,0,0.0,0,0.0,0.044859,0,0,0
9203,256,256,0.266541,17468,26,0.935482,19,0.00264,6,0.017197,0.110635,0,0,0
9206,256,256,0.075745,4964,3,0.943594,1,1.5e-05,1,0.004272,0.033014,0,0,0
