img_id,H,W,ink_ratio,n_ink,n_cc,main_frac,small_cc_n,small_cc_area_ratio,mid_cc_n,foreign_area_ratio,edge_ink_ratio,border_bar,edge_blob_area,inverted
9207,256,256,0.237732,15580,2,0.97837,0,0.0,1,0.005142,0.075983,0,0,0
6627,256,256,0.34259,22452,1,1.0,0,0.0,0,0.0,0.059728,0,0,0
6632,256,256,0.335693,22000,4,0.996818,2,0.000229,1,0.001068,0.046245,0,0,0
6633,256,256,0.403183,26423,1,1.0,0,0.0,0,0.0,0.072077,0,0,0
6636,256,256,0.260681,17084,2,0.999941,1,1.5e-05,0,1.5e-05,0.037046,0,0,0
6637,256,256,0.275574,18060,1,1.0,0,0.0,0,0.0,0.044355,0,0,0
6696,256,256,0.075378,4940,2,0.934413,0,0.0,1,0.004944,0.003402,0,0,0
6731,256,256,0.176193,11547,1,1.0,0,0.0,0,0.0,0.0,0,0,0
6732,256,256,0.154617,10133,1,1.0,0,0.0,0,0.0,0.00567,0,0,0
6734,256,256,0.241516,15828,2,0.997346,0,0.0,1,0.000641,0.002142,0,0,0
6768,256,256,0.247391,16213,1,1.0,0,0.0,0,0.0,0.018397,0,0,0
6772,256,256,0.082489,5406,4,0.86626,2,0.000229,0,0.011032,0.032132,0,708,0
6735,256,256,0.223083,14620,1,1.0,0,0.0,0,0.0,0.000126,0,0,0
6738,256,256,0.748108,49028,1,1.0,0,0.0,0,0.0,0.459929,1,0,1
6770,256,256,0.186172,12201,3,0.761823,0,0.0,1,0.044342,0.019153,0,2677,0
6773,256,256,0.212875,13951,1,1.0,0,0.0,0,0.0,0.022681,0,0,0
6774,256,256,0.160904,10545,1,1.0,0,0.0,0,0.0,0.018145,0,0,0
6741,256,256,0.211914,13888,1,1.0,0,0.0,0,0.0,0.014491,0,0,0
6771,256,256,0.381592,25008,1,1.0,0,0.0,0,0.0,0.049017,0,0,0
6779,256,256,0.323318,21189,1,1.0,0,0.0,0,0.0,0.040701,0,0,0
6780,256,256,0.180527,11831,6,0.880145,3,0.000488,1,0.021637,0.078251,0,1303,0
237007,256,256,0.226028,14813,1,1.0,0,0.0,0,0.0,0.026714,0,0,0
6762,256,256,0.0578,3788,3,0.678194,0,0.0,1,0.0186,0.033392,0,997,0
6769,256,256,0.176712,11581,1,1.0,0,0.0,0,0.0,0.073211,0,0,0
6775,256,256,0.389481,25525,1,1.0,0,0.0,0,0.0,0.020035,0,0,0
6776,256,256,0.390762,25609,1,1.0,0,0.0,0,0.0,0.020917,0,0,0
6777,256,256,0.390793,25611,1,1.0,0,0.0,0,0.0,0.034778,0,0,0
236995,256,256,0.085495,5603,1,1.0,0,0.0,0,0.0,0.001386,0,0,0
6778,256,256,0.27951,18318,1,1.0,0,0.0,0,0.0,0.032258,0,0,0
6789,256,256,0.27066,17738,1,1.0,0,0.0,0,0.0,0.0,0,0,0
6791,256,256,0.175476,11500,1,1.0,0,0.0,0,0.0,0.003402,0,0,0
6814,256,256,0.165649,10856,2,0.941323,0,0.0,1,0.00972,0.020161,0,0,0
6794,256,256,0.238876,15655,1,1.0,0,0.0,0,0.0,0.009829,0,0,0
9799,256,256,0.318527,20875,1,1.0,0,0.0,0,0.0,0.05872,0,0,0
9800,256,256,0.078018,5113,4,0.945238,1,6.1e-05,2,0.004272,0.036164,0,0,0
238289,256,256,0.18924,12402,9,0.965489,6,0.000641,2,0.006531,0.05998,0,0,0
238301,256,256,0.178879,11723,23,0.859251,20,0.00148,1,0.025177,0.061744,0,1475,0
238302,256,256,0.312668,20491,7,0.563711,4,0.000259,0,0.136414,0.776714,1,4096,0
238303,256,256,0.101562,6656,11,0.882212,7,0.000443,3,0.011963,0.023185,0,0,0
9807,256,256,0.353226,23149,97,0.812476,73,0.012039,22,0.066238,0.113155,0,768,0
9836,256,256,0.280807,18403,1,1.0,0,0.0,0,0.0,0.05809,0,0,0
9837,256,256,0.247391,16213,1,1.0,0,0.0,0,0.0,0.035912,0,0,0
238106,256,256,0.227783,14928,1,1.0,0,0.0,0,0.0,0.030998,0,0,0
9809,256,256,0.240234,15744,1,1.0,0,0.0,0,0.0,0.017011,0,0,0
9851,256,256,0.21524,14106,2,0.982773,0,0.0,1,0.003708,0.011593,0,0,0
9865,256,256,0.13237,8675,5,0.455447,0,0.0,2,0.072083,0.0,0,0,0
9866,256,256,0.194016,12715,2,0.925285,0,0.0,0,0.014496,0.0,0,0,0
9868,256,256,0.245071,16061,3,0.871054,0,0.0,0,0.031601,0.0,0,0,0
9869,256,256,0.145523,9537,2,0.933941,0,0.0,1,0.009613,0.030998,0,0,0
9871,256,256,0.127258,8340,2,0.917626,0,0.0,0,0.010483,0.0,0,0,0
9872,256,256,0.197174,12922,5,0.402801,0,0.0,0,0.117752,0.0,0,0,0
9899,256,256,0.203964,13367,1,1.0,0,0.0,0,0.0,0.031376,0,0,0
9913,256,256,0.215729,14138,1,1.0,0,0.0,0,0.0,0.009703,0,0,0
9915,256,256,0.168365,11034,3,0.488581,0,0.0,0,0.086105,0.007434,0,5643,0
10000,256,256,0.364746,23904,1,1.0,0,0.0,0,0.0,0.033266,0,0,0
9916,256,256,0.227554,14913,4,0.393013,0,0.0,0,0.138123,0.0,0,0,0
9925,256,256,0.19928,13060,2,0.687289,0,0.0,0,0.062317,0.071825,0,4084,0
9926,256,256,0.20134,13195,6,0.401213,1,1.5e-05,1,0.12056,0.128024,0,6452,0
238376,256,256,0.237885,15590,8,0.678576,1,7.6e-05,5,0.076462,0.08682,0,4032,0
238377,256,256,0.120712,7911,10,0.498673,3,0.000168,4,0.060516,0.066406,0,1208,0
9928,256,256,0.319199,20919,1,1.0,0,0.0,0,0.0,0.013483,0,0,0
9963,256,256,0.075287,4934,5,0.520268,1,6.1e-05,1,0.036118,0.039062,0,1064,0
9964,256,256,0.080841,5298,7,0.385051,0,0.0,4,0.049713,0.053805,0,1593,0
9976,256,256,0.316528,20744,1,1.0,0,0.0,0,0.0,0.040323,0,0,0
9977,256,256,0.235977,15465,5,0.62399,3,0.000381,0,0.08873,0.029234,0,5790,0
9980,256,256,0.137558,9015,7,0.266112,1,0.000198,1,0.100952,0.015625,0,3299,0
238374,256,256,0.300705,19707,9,0.671132,2,0.000137,1,0.098892,0.768775,1,0,0
9998,256,256,0.2836,18586,4,0.419456,0,0.0,0,0.164642,0.034526,0,6392,0
10007,256,256,0.311295,20401,15,0.597275,11,0.001114,2,0.125366,0.066658,0,7613,0
10008,256,256,0.192413,12610,11,0.453846,2,0.000381,7,0.105087,0.068674,0,4509,0
10009,256,256,0.109909,7203,10,0.388588,1,0.000305,6,0.0672,0.029738,0,0,0
10042,256,256,0.209091,13703,3,0.664526,0,0.0,0,0.070145,0.008317,0,0,0
10010,256,256,0.254059,16650,18,0.285165,6,0.000412,6,0.18161,0.096648,0,7399,0
10036,256,256,0.172699,11318,21,0.599488,16,0.00116,1,0.069168,0.082787,0,3036,0
238396,256,256,0.223892,14673,262,0.346555,245,0.026337,13,0.146301,0.207409,0,3580,0
10040,256,256,0.291946,19133,2,0.766477,0,0.0,0,0.068176,0.019279,0,0,0
10046,256,256,0.084137,5514,19,0.247914,7,0.00119,8,0.063278,0.059476,0,906,0
238400,256,256,0.320236,20987,2,0.762472,0,0.0,0,0.076065,0.033896,0,0,0
10041,256,256,0.24292,15920,5,0.869535,2,0.000168,0,0.031693,0.03755,0,0,0
238401,256,256,0.25769,16888,6,0.401172,0,0.0,2,0.154312,0.032636,0,1366,0
10043,256,256,0.289948,19002,3,0.752815,0,0.0,0,0.071671,0.062878,0,4697,0
10044,256,256,0.187622,12296,11,0.374187,3,0.000565,4,0.117416,0.075983,0,0,0
10045,256,256,0.343399,22505,2,0.951477,0,0.0,0,0.016663,0.090096,0,1092,0
10048,256,256,0.345886,22668,2,0.775278,0,0.0,0,0.077728,0.045615,0,5094,0
10064,256,256,0.255692,16757,1,1.0,0,0.0,0,0.0,0.0,0,0,0
10066,256,256,0.081375,5333,1,1.0,0,0.0,0,0.0,0.0,0,0,0
10067,256,256,0.465866,30531,4,0.385706,0,0.0,0,0.286179,0.669355,1,11776,0
10068,256,256,0.22113,14492,1,1.0,0,0.0,0,0.0,0.0,0,0,0
10078,256,256,0.15625,10240,3,0.937402,1,1.5e-05,1,0.009781,0.034526,0,0,0
10079,256,256,0.08287,5431,7,0.615909,3,0.000626,2,0.03183,0.03818,0,0,0
10097,256,256,0.214615,14065,1,1.0,0,0.0,0,0.0,0.056578,0,0,0
238407,256,256,0.135101,8854,1,1.0,0,0.0,0,0.0,0.000252,0,0,0
10098,256,256,0.104446,6845,14,0.343608,8,0.000473,2,0.068558,0.070312,0,790,0
238408,256,256,0.11882,7787,1,1.0,0,0.0,0,0.0,0.006678,0,0,0
10101,256,256,0.178528,11700,2,0.999316,1,0.000122,0,0.000122,0.087702,0,0,0
10102,256,256,0.13179,8637,1,1.0,0,0.0,0,0.0,0.004032,0,0,0
10160,256,256,0.168182,11022,3,0.988296,1,0.000366,1,0.001968,0.029864,0,0,0
10276,256,256,0.125061,8196,3,0.934236,1,0.000275,1,0.008224,0.038432,0,0,0
10441,256,256,0.200211,13121,1,1.0,0,0.0,0,0.0,0.037298,0,0,0
10277,256,256,0.06395,4191,11,0.851825,7,0.000854,3,0.009476,0.015751,0,0,0
10279,256,256,0.202087,13244,3,0.953639,1,0.000153,1,0.009369,0.03755,0,0,0
10280,256,256,0.24707,16192,1,1.0,0,0.0,0,0.0,0.06754,0,0,0
10281,256,256,0.203323,13325,1,1.0,0,0.0,0,0.0,0.036542,0,0,0
10444,256,256,0.075775,4966,4,0.983085,2,3.1e-05,1,0.001282,0.020665,0,0,0
10445,256,256,0.124939,8188,2,0.999878,1,1.5e-05,0,1.5e-05,0.017011,0,0,0
10474,256,256,0.241989,15859,1,1.0,0,0.0,0,0.0,0.038432,0,0,0
10475,256,256,0.195847,12835,1,1.0,0,0.0,0,0.0,0.036038,0,0,0
10476,256,256,0.064606,4234,25,0.392773,16,0.001801,7,0.03923,0.03314,0,0,0
10477,256,256,0.179901,11790,7,0.956658,5,0.000961,1,0.007797,0.024824,0,0,0
238485,256,256,0.229095,15014,1,1.0,0,0.0,0,0.0,0.045237,0,0,0
238563,256,256,0.116226,7617,13,0.637259,8,0.000885,2,0.04216,0.12815,0,939,0
238569,256,256,0.235809,15454,1,1.0,0,0.0,0,0.0,0.044229,0,0,0
238570,256,256,0.236511,15500,1,1.0,0,0.0,0,0.0,0.042339,0,0,0
238571,256,256,0.194885,12772,1,1.0,0,0.0,0,0.0,0.046497,0,0,0
238572,256,256,0.19902,13043,4,0.994556,2,0.000381,1,0.001083,0.032006,0,0,0
238573,256,256,0.117508,7701,4,0.954681,2,0.000122,1,0.005325,0.018523,0,0,0
238574,256,256,0.22084,14473,1,1.0,0,0.0,0,0.0,0.023185,0,0,0
10282,256,256,0.242065,15864,1,1.0,0,0.0,0,0.0,0.043473,0,0,0
10446,256,256,0.156616,10264,1,1.0,0,0.0,0,0.0,0.02936,0,0,0
10424,256,256,0.27417,17968,1,1.0,0,0.0,0,0.0,0.015121,0,0,0
238611,256,256,0.162537,10652,5,0.481881,0,0.0,1,0.084213,0.043725,0,4705,0
10427,256,256,0.270599,17734,1,1.0,0,0.0,0,0.0,0.02999,0,0,0
10428,256,256,0.17218,11284,11,0.958348,8,0.000717,2,0.007172,0.040827,0,0,0
10431,256,256,0.225815,14799,1,1.0,0,0.0,0,0.0,0.054183,0,0,0
10432,256,256,0.106369,6971,1,1.0,0,0.0,0,0.0,0.017893,0,0,0
10433,256,256,0.214294,14044,1,1.0,0,0.0,0,0.0,0.027092,0,0,0
10434,256,256,0.12825,8405,3,0.914337,0,0.0,2,0.010986,0.05935,0,0,0
10435,256,256,0.106689,6992,6,0.850114,1,6.1e-05,3,0.015991,0.047505,0,0,0
238561,256,256,0.050491,3309,2,0.993049,1,0.000351,0,0.000351,0.0281,0,0,0
4233,256,256,0.146255,9585,2,0.842462,0,0.0,0,0.023041,0.0,0,0,0
4234,256,256,0.034058,2232,5,0.737007,2,0.000595,2,0.008957,0.018649,0,0,0
4235,256,256,0.076553,5017,3,0.796093,0,0.0,1,0.01561,0.03377,0,0,0
235934,256,256,0.057205,3749,5,0.359829,0,0.0,2,0.036621,0.034778,0,0,0
235944,256,256,0.081604,5348,9,0.853403,6,0.000458,2,0.011963,0.037676,0,0,0
4218,256,256,0.070328,4609,3,0.76177,0,0.0,1,0.016754,0.018901,0,0,0
235937,256,256,0.06282,4117,6,0.395434,2,0.000397,2,0.037979,0.049395,0,0,0
4225,256,256,0.276993,18153,1,1.0,0,0.0,0,0.0,0.085685,0,0,0
4270,256,256,0.173187,11350,1,1.0,0,0.0,0,0.0,0.033896,0,0,0
4447,256,256,0.216064,14160,3,0.451412,0,0.0,0,0.11853,0.030116,0,5307,0
4448,256,256,0.110184,7221,3,0.419333,0,0.0,0,0.06398,0.029864,0,1639,0
4449,256,256,0.224594,14719,2,0.972552,0,0.0,1,0.006165,0.059854,0,0,0
236254,256,256,0.179092,11737,4,0.609525,0,0.0,1,0.069931,0.044859,0,1539,0
4450,256,256,0.255463,16742,2,0.984948,0,0.0,1,0.003845,0.035408,0,0,0
4977,256,256,0.311462,20412,1,1.0,0,0.0,0,0.0,0.027974,0,0,0
236258,256,256,0.424194,27800,1,1.0,0,0.0,0,0.0,0.03692,0,0,0
236259,256,256,0.338394,22177,1,1.0,0,0.0,0,0.0,0.053553,0,0,0
4894,256,256,0.182297,11947,13,0.935298,11,0.001053,0,0.011795,0.053553,0,704,0
236022,256,256,0.477615,31301,32,0.37641,21,0.004425,7,0.297836,0.695186,1,18536,0
4919,256,256,0.241974,15858,1,1.0,0,0.0,0,0.0,0.071951,0,0,0
4925,256,256,0.273926,17952,35,0.975602,31,0.003021,3,0.006683,0.116935,0,0,0
4936,256,256,0.149048,9768,4,0.667998,1,7.6e-05,0,0.049484,0.027344,0,3238,0
4937,256,256,0.046753,3064,15,0.329308,6,0.00116,7,0.031357,0.040827,0,0,0
4939,256,256,0.043793,2870,12,0.225784,4,0.000778,7,0.033905,0.043599,0,0,0
4965,256,256,0.098297,6442,5,0.765911,1,3.1e-05,1,0.02301,0.061996,0,691,0
4942,256,256,0.266693,17478,1,1.0,0,0.0,0,0.0,0.050781,0,0,0
4943,256,256,0.13913,9118,4,0.308072,0,0.0,0,0.096268,0.029864,0,4348,0
4979,256,256,0.278229,18234,2,0.784907,0,0.0,0,0.059845,0.043977,0,3922,0
236238,256,256,0.164337,10770,3,0.569266,0,0.0,0,0.070786,0.02747,0,4639,0
4946,256,256,0.207108,13573,3,0.520666,0,0.0,0,0.099274,0.037172,0,3975,0
4980,256,256,0.269348,17652,2,0.845003,0,0.0,0,0.041748,0.048513,0,2736,0
5070,256,256,0.327057,21434,3,0.88117,0,0.0,0,0.038864,0.041457,0,0,0
4082,256,256,0.123718,8108,6,0.842871,2,0.000107,2,0.01944,0.038558,0,0,0
4199,256,256,0.190811,12505,5,0.415754,2,0.000122,0,0.111481,0.046245,0,3726,0
4083,256,256,0.174881,11461,5,0.418026,1,1.5e-05,1,0.101776,0.08808,0,4407,0
4084,256,256,0.078552,5148,4,0.591298,0,0.0,1,0.032104,0.0344,0,829,0
4085,256,256,0.167587,10983,1,1.0,0,0.0,0,0.0,0.038432,0,0,0
4193,256,256,0.093552,6131,41,0.881748,37,0.003983,3,0.011063,0.153352,0,0,0
4194,256,256,0.272141,17835,28,0.933053,19,0.001862,8,0.018219,0.204637,0,0,0
4197,256,256,0.076416,5008,3,0.391573,0,0.0,0,0.046494,0.049395,0,1468,0
4198,256,256,0.23912,15671,2,0.822921,0,0.0,0,0.042343,0.06943,0,0,0
4200,256,256,0.152756,10011,3,0.400959,0,0.0,0,0.091507,0.045363,0,3612,0
4202,256,256,0.184616,12099,3,0.350029,0,0.0,0,0.119995,0.043977,0,7864,0
4222,256,256,0.323944,21230,1,1.0,0,0.0,0,0.0,0.048261,0,0,0
4223,256,256,0.194855,12770,1,1.0,0,0.0,0,0.0,0.075731,0,0,0
