idx,eval_char,eval_calligrapher,nn_ssim,nn_char,nn_calligrapher,nn_image_path
184,障,金农,0.48820,障,鲜于枢,/root/Workspace/xy/DiT/data/50k/imgs/020148.png
185,益,欧阳询,0.57841,益,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/047480.png
186,帕,唐寅,0.54862,帕,唐寅,/root/Workspace/xy/DiT/data/50k/imgs/031690.png
187,擗,唐玄宗,0.53377,擗,董其昌,/root/Workspace/xy/DiT/data/50k/imgs/041014.png
188,懷,于右任,0.49973,懷,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/027856.png
189,濬,董其昌,0.51278,濬,柳公权,/root/Workspace/xy/DiT/data/50k/imgs/011860.png
190,饰,金农,0.60316,饰,唐玄宗,/root/Workspace/xy/DiT/data/50k/imgs/032438.png
191,喈,欧阳询,,,,
192,刚,王羲之,0.39678,刚,文徵明,/root/Workspace/xy/DiT/data/50k/imgs/033289.png
193,唫,何绍基,0.66513,唫,王宠,/root/Workspace/xy/DiT/data/50k/imgs/036692.png
194,栖,张旭,0.60310,栖,王铎,/root/Workspace/xy/DiT/data/50k/imgs/038400.png
195,壯,孙过庭,0.60811,壯,虞世南,/root/Workspace/xy/DiT/data/50k/imgs/004289.png
196,腾,赵孟頫,0.39449,腾,智永,/root/Workspace/xy/DiT/data/50k/imgs/026535.png
197,仲,启功,0.72229,仲,朱熹,/root/Workspace/xy/DiT/data/50k/imgs/034114.png
198,朝,朱耷,0.46518,朝,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/009636.png
199,淑,林散之,0.68584,淑,虞世南,/root/Workspace/xy/DiT/data/50k/imgs/042743.png
200,遵,智永,0.53150,遵,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/043449.png
201,览,朱熹,0.56054,览,鲜于枢,/root/Workspace/xy/DiT/data/50k/imgs/047226.png
202,斂,黄易,0.52831,斂,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/008708.png
203,卧,赵孟頫,0.56276,卧,王宠,/root/Workspace/xy/DiT/data/50k/imgs/036940.png
204,悟,颜真卿,0.55437,悟,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/042189.png
205,庆,赵孟頫,0.66247,庆,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/037690.png
206,陵,张旭,0.57513,陵,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/020059.png
207,豈,李邕,0.57060,豈,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/017923.png
208,靡,黄易,0.56128,靡,赵佶,/root/Workspace/xy/DiT/data/50k/imgs/020696.png
209,鼓,虞世南,0.52494,鼓,柳公权,/root/Workspace/xy/DiT/data/50k/imgs/021928.png
210,屡,文徵明,0.60976,屡,王铎,/root/Workspace/xy/DiT/data/50k/imgs/038275.png
211,醉,金农,0.56169,醉,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/019366.png
212,叽,褚遂良,0.65971,叽,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/048910.png
213,監,李邕,0.47715,監,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/013303.png
214,田,赵之谦,0.65276,田,鲜于枢,/root/Workspace/xy/DiT/data/50k/imgs/047146.png
215,鎭,柳公权,0.44614,鎭,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/047602.png
216,同,祝允明,0.49320,同,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/043119.png
217,合,邓石如,0.61097,合,文徵明,/root/Workspace/xy/DiT/data/50k/imgs/033339.png
218,晦,褚遂良,0.48622,晦,李邕,/root/Workspace/xy/DiT/data/50k/imgs/009268.png
219,侄,康里巎巎,0.53079,侄,倪元璐,/root/Workspace/xy/DiT/data/50k/imgs/030447.png
220,興,黄易,0.58428,興,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/025134.png
221,句,黄庭坚,0.59804,句,祝允明,/root/Workspace/xy/DiT/data/50k/imgs/038642.png
222,宣,康里巎巎,0.56540,宣,米芾,/root/Workspace/xy/DiT/data/50k/imgs/005087.png
223,止,唐玄宗,0.69781,止,鲜于枢,/root/Workspace/xy/DiT/data/50k/imgs/028520.png
224,歳,褚遂良,0.62349,歳,柳公权,/root/Workspace/xy/DiT/data/50k/imgs/010560.png
225,别,褚遂良,0.61917,别,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/047732.png
226,多,赵之谦,0.57593,多,张旭,/root/Workspace/xy/DiT/data/50k/imgs/004356.png
227,剋,褚遂良,0.54441,剋,王宠,/root/Workspace/xy/DiT/data/50k/imgs/049003.png
228,属,文徵明,0.49226,属,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/047889.png
229,北,唐玄宗,0.65986,北,林散之,/root/Workspace/xy/DiT/data/50k/imgs/034594.png
230,陟,褚遂良,0.56399,陟,赵孟頫,/root/Workspace/xy/DiT/data/50k/imgs/044847.png
231,勃,祝允明,0.57378,勃,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/026895.png
232,郡,赵之谦,0.49214,郡,林散之,/root/Workspace/xy/DiT/data/50k/imgs/034980.png
233,與,祝允明,0.62753,與,吴昌硕,/root/Workspace/xy/DiT/data/50k/imgs/031403.png
234,虛,王羲之,0.55756,虛,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/025306.png
235,陛,赵孟頫,0.47307,陛,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/042004.png
236,其,董其昌,0.65427,其,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/022326.png
237,漸,唐寅,0.40159,漸,王铎,/root/Workspace/xy/DiT/data/50k/imgs/011756.png
238,振,赵之谦,0.63942,振,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/041750.png
239,迴,薛稷,0.52210,迴,米芾,/root/Workspace/xy/DiT/data/50k/imgs/018718.png
240,志,欧阳询,0.72002,志,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/041721.png
241,何,赵孟頫,0.71025,何,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/043511.png
242,九,董其昌,0.70243,九,颜真卿,/root/Workspace/xy/DiT/data/50k/imgs/000445.png
243,琴,王铎,0.58437,琴,唐寅,/root/Workspace/xy/DiT/data/50k/imgs/031881.png
244,勤,林散之,0.62135,勤,王铎,/root/Workspace/xy/DiT/data/50k/imgs/038174.png
245,宠,赵孟頫,0.51240,宠,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046091.png
246,樽,褚遂良,0.49988,樽,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/010279.png
247,佚,何绍基,0.58550,佚,王宠,/root/Workspace/xy/DiT/data/50k/imgs/036517.png
248,崑,文徵明,0.65148,崑,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/035871.png
