Timestamp, DwmPID, DwmWorkingSet_MB, ActiveDisplays, PrimaryDisplayGPU, GameViewerEnabled
2026-08-11 21:45:39, 87004, 228.4, 2, , OK
2026-08-11 21:46:42, 87004, 228.4, 2, , OK
2026-08-11 21:47:45, 87004, 229, 2, , OK
2026-08-11 21:48:48, 87004, 233.5, 2, , OK
2026-08-11 21:49:51, 87004, 228.6, 2, , OK
2026-08-11 21:50:54, 87004, 244.4, 2, , OK
2026-08-11 21:51:57, 87004, 228.5, 2, , OK
2026-08-11 21:53:00, 87004, 228.7, 2, , OK
2026-08-11 21:54:03, 87004, 231, 2, , OK
2026-08-11 21:55:06, 87004, 231.5, 2, , OK
2026-08-11 21:55:19, 87004, 231.6, 2, , OK
2026-08-11 21:56:09, 87004, 231.6, 2, , OK
2026-08-11 21:56:19, 87004, 231.6, 2, , OK
2026-08-11 21:57:12, 87004, 231.8, 2, , OK
2026-08-11 21:57:20, 87004, 231.7, 2, , OK
2026-08-11 21:58:15, 87004, 256.4, 2, , OK
2026-08-11 21:58:20, 87004, 255.8, 2, , OK
2026-08-11 21:59:20, 87004, 256.5, 2, , OK
2026-08-11 21:59:18, 87004, 256.2, 2, , OK
2026-08-11 22:00:21, 87004, 256.9, 2, , OK
2026-08-11 22:00:21, 87004, 256.9, 2, , OK
2026-08-11 22:01:21, 87004, 258.2, 2, , OK
2026-08-11 22:01:25, 87004, 257.6, 2, , OK
2026-08-11 22:02:21, 87004, 257.2, 2, , OK
2026-08-11 22:02:27, 87004, 258.4, 2, , OK
