img_id,plan,steps,before_ink,after_ink
91416,denoise,denoise,0.3735,0.3659
91462,invert,invert,0.7184,0.2816
91775,denoise,denoise,0.1705,0.1631
91840,invert,invert,0.6892,0.3108
91914,invert,invert+denoise,0.5972,0.4017
94067,denoise,denoise,0.1505,0.1305
94080,denoise,denoise,0.2414,0.2198
273437,denoise,denoise,0.2305,0.2244
273274,denoise,denoise,0.3294,0.3206
94690,denoise,denoise,0.1624,0.1572
95857,invert,invert,0.7168,0.2832
95863,denoise,denoise,0.2971,0.2895
95865,denoise,denoise,0.1898,0.1854
99998,denoise,denoise,0.2359,0.2265
100369,crop,crop_t17b15l0r0+denoise,0.3910,0.2647
100474,crop,crop_t18b22l0r0+denoise,0.2647,0.1079
100555,crop,crop_t0b0l25r24+denoise,0.2829,0.0914
100495,denoise,denoise,0.1577,0.1490
100591,crop,crop_t0b0l32r32+denoise,0.4181,0.1677
101071,denoise,denoise,0.2475,0.2413
101109,denoise,denoise,0.1107,0.1069
99029,invert,invert+denoise,0.5515,0.4473
99046,denoise,denoise,0.1647,0.1608
99121,invert,invert+denoise,0.7412,0.2581
99238,invert,invert+denoise,0.5863,0.4128
99396,invert,invert+denoise,0.7349,0.2647
99595,denoise,denoise,0.1034,0.0882
99786,denoise,denoise,0.2128,0.2094
275402,denoise,denoise,0.2359,0.2265
95627,denoise,denoise,0.3677,0.3591
273669,denoise,denoise,0.3315,0.3084
96775,denoise,denoise,0.3044,0.2763
97160,denoise,denoise,0.1789,0.1734
97940,denoise,denoise,0.2651,0.2497
98137,denoise,denoise,0.2450,0.2418
98231,denoise,denoise,0.2614,0.2579
98252,crop,crop_t0b0l41r33+denoise,0.3840,0.0947
276035,denoise,denoise,0.2589,0.2515
101341,denoise,denoise,0.1805,0.1770
101485,denoise,denoise,0.2509,0.2390
102121,denoise,denoise,0.1732,0.1688
102146,denoise,denoise,0.2565,0.2507
102147,denoise,denoise,0.2203,0.2165
102201,crop,crop_t28b29l0r0+denoise,0.3257,0.1002
102648,denoise,denoise,0.1950,0.1901
102799,denoise,denoise,0.2495,0.2385
102806,denoise,denoise,0.1431,0.1351
102919,denoise,denoise,0.1431,0.1351
103104,denoise,denoise,0.4917,0.4843
103136,crop,crop_t0b0l0r13+denoise,0.2705,0.2183
103338,denoise,denoise,0.4917,0.4843
276919,denoise,denoise,0.2432,0.2364
103415,denoise,denoise,0.1508,0.1467
104325,crop,crop_t30b29l0r0,0.4679,0.2384
277380,denoise,denoise,0.2553,0.2510
104826,denoise,denoise,0.1822,0.1754
105218,denoise,denoise,0.1134,0.1085
105221,crop,crop_t0b0l49r48+denoise,0.4593,0.0798
105312,crop,crop_t0b0l49r48+denoise,0.4593,0.0798
105498,denoise,denoise,0.1105,0.1073
277796,crop,crop_t0b0l42r43+denoise,0.4558,0.1212
105812,denoise,denoise,0.1989,0.1941
106090,denoise,denoise,0.2733,0.2696
106108,denoise,denoise,0.1983,0.1906
278011,denoise,denoise,0.1857,0.1812
106917,denoise,denoise,0.1099,0.1071
106940,denoise,denoise,0.3964,0.3918
107091,crop,crop_t0b0l36r36+denoise,0.3989,0.1173
105014,denoise,denoise,0.2945,0.2845
107890,denoise,denoise,0.1174,0.1152
107891,denoise,denoise,0.1573,0.1515
107960,crop,crop_t38b36l0r0+denoise,0.4313,0.1390
108334,denoise,denoise,0.1843,0.1764
108405,denoise,denoise,0.2194,0.2152
108480,denoise,denoise,0.2048,0.2017
109025,crop,crop_t0b0l38r38+denoise,0.4203,0.1216
110721,denoise,denoise,0.3284,0.3245
105015,denoise,denoise,0.1792,0.1665
277558,denoise,denoise,0.2179,0.2124
104975,denoise,denoise,0.2902,0.2845
104996,denoise,denoise,0.1827,0.1793
105017,crop,crop_t0b0l12r12+denoise,0.3328,0.2378
106830,denoise,denoise,0.1959,0.1934
107250,denoise,denoise,0.1368,0.1315
107889,denoise,denoise,0.3385,0.3233
103671,crop,crop_t31b31l0r0+denoise,0.3855,0.1428
104040,denoise,denoise,0.1877,0.1858
104213,denoise,denoise,0.3331,0.3258
104217,denoise,denoise,0.3632,0.3459
103895,denoise,denoise,0.4765,0.4704
103929,denoise,denoise,0.0802,0.0747
103955,denoise,denoise,0.2628,0.2557
104306,denoise,denoise,0.1141,0.1090
111437,denoise,denoise,0.2288,0.2227
111530,denoise,denoise,0.1961,0.1863
111020,denoise,denoise,0.1894,0.1818
111022,denoise,denoise,0.2918,0.2873
111893,crop,crop_t0b0l38r37+denoise,0.4766,0.1836
111976,denoise,denoise,0.2488,0.2428
112550,denoise,denoise,0.2012,0.1983
112560,denoise,denoise,0.2252,0.2203
