img_id,plan,steps,before_ink,after_ink
30241,crop,crop_t33b34l0r0+denoise,0.4715,0.2094
30282,denoise,denoise,0.2769,0.2692
246796,crop,crop_t35b36l0r0+denoise,0.4303,0.1528
246841,crop,crop_t0b0l21r22+denoise,0.2913,0.1229
30491,crop,crop_t0b12l0r0+denoise,0.3617,0.3148
30613,denoise,denoise,0.3662,0.3613
30807,denoise,denoise,0.3281,0.2959
30867,crop,crop_t0b0l17r17+denoise,0.3099,0.1770
249143,denoise,denoise,0.1892,0.1847
249466,denoise,denoise,0.3058,0.2963
36903,denoise,denoise,0.1821,0.1795
37040,crop,crop_t18b19l0r0+denoise,0.2745,0.1289
37166,crop,crop_t0b0l34r34+denoise,0.3937,0.1249
37220,denoise,denoise,0.1922,0.1742
250179,denoise,denoise,0.2485,0.2409
37636,crop,crop_t40b40l0r0+denoise,0.4422,0.1289
37716,crop,crop_t0b0l0r12,0.2518,0.2050
249890,denoise,denoise,0.2137,0.2055
37938,denoise,denoise,0.3110,0.3042
38883,denoise,denoise,0.1890,0.1811
39044,denoise,denoise,0.2056,0.2023
39567,denoise,denoise,0.2269,0.1983
39579,denoise,denoise,0.2333,0.2247
39622,crop,crop_t31b32l0r0+denoise,0.3748,0.1284
40118,crop,crop_t0b0l32r32+denoise,0.3880,0.1367
40187,denoise,denoise,0.1226,0.1176
41010,crop,crop_t13b13l0r0+denoise,0.2585,0.1565
41036,crop,crop_t31b31l0r0,0.3443,0.1021
41134,denoise,denoise,0.1674,0.1636
40302,crop,crop_t0b12l0r0,0.2218,0.1749
40303,crop,crop_t0b0l45r46+denoise,0.4751,0.1177
250990,crop,crop_t34b35l0r0,0.4157,0.1461
40457,crop,crop_t24b24l0r0+denoise,0.3786,0.1898
40519,denoise,denoise,0.2547,0.2341
251177,denoise,denoise,0.3383,0.3295
251446,crop,crop_t23b24l0r0+denoise,0.3066,0.1221
41643,crop,crop_t15b15l0r0,0.2376,0.1205
41989,denoise,denoise,0.1143,0.1072
42388,denoise,denoise,0.3002,0.2723
251824,denoise,denoise,0.2226,0.2096
252922,crop,crop_t0b0l24r25+denoise,0.3018,0.1084
252929,denoise,denoise,0.4064,0.3986
45140,denoise,denoise,0.1554,0.1509
45145,denoise,denoise,0.2830,0.2694
45377,denoise,denoise,0.4064,0.3986
44662,denoise,denoise,0.2170,0.2011
252745,crop,crop_t0b0l47r48+denoise,0.4551,0.0833
44696,denoise,denoise,0.2486,0.2444
42472,crop,crop_t18b18l0r0+denoise,0.2421,0.1011
42912,denoise,denoise,0.1709,0.1638
43141,denoise,denoise,0.3607,0.3512
43265,denoise,denoise,0.2536,0.2488
43311,denoise,denoise,0.2002,0.1934
43391,crop,crop_t0b0l39r40+denoise,0.4501,0.1407
43392,crop,crop_t31b32l0r0+denoise,0.3622,0.1156
43649,denoise,denoise,0.3280,0.3178
47688,crop,crop_t0b0l25r26+denoise,0.4919,0.2931
47819,denoise,denoise,0.1123,0.1096
48006,denoise,denoise,0.2765,0.2694
48318,denoise,denoise,0.2804,0.2751
48449,denoise,denoise,0.2385,0.2243
48710,crop,crop_t18b18l0r0+denoise,0.2618,0.1205
48874,crop,crop_t34b31l0r0+denoise,0.3594,0.1053
48927,denoise,denoise,0.4295,0.4230
44806,denoise,denoise,0.2300,0.2122
44959,denoise,denoise,0.2759,0.2585
45565,denoise,denoise,0.2352,0.2191
45602,denoise,denoise,0.2997,0.2923
