img_id,class,has_frame,is_inverted,glyph_ratio,glyph_main_frac,n_small,t,b,l,r,touch
22358,noise_cleanable,0,0,0.22100830078125,0.4890223695111848,47,0,0,0,0,1
22463,crop_safe,1,0,0.1962376644736842,0.4350445259298062,0,14,14,0,0,0
243533,crop_safe,1,0,0.28404546800947866,0.6296030763214495,1,22,23,0,0,0
22584,noise_cleanable,0,0,0.187530517578125,0.4422294548413344,53,0,0,0,0,0
22713,noise_cleanable,0,0,0.275299072265625,0.8499612016406164,95,0,0,0,0,1
23654,noise_cleanable,0,0,0.1474456787109375,0.5712511642347097,74,0,0,0,0,1
23818,noise_cleanable,0,0,0.1224822998046875,0.9732153980316433,57,0,0,0,0,1
23965,noise_cleanable,0,0,0.4761962890625,0.8615419123301717,31,0,0,0,0,1
24135,noise_cleanable,0,0,0.1675872802734375,0.5263589183283256,64,0,0,0,0,1
24473,char_touch,1,0,0.4226282230941704,0.6805653417333278,0,18,15,0,0,1
22709,noise_cleanable,0,0,0.2058563232421875,0.6828255874286562,47,0,0,0,0,1
22715,noise_cleanable,0,0,0.3633575439453125,0.43484651240918826,185,0,0,0,0,1
243627,noise_cleanable,0,0,0.3174591064453125,0.6295121365056476,47,0,0,0,0,1
22787,char_touch,1,0,0.10926402698863637,0.3006296973390209,5,0,0,40,40,1
22863,noise_cleanable,0,0,0.3443603515625,0.3314427507975895,278,0,0,0,0,1
23147,noise_cleanable,0,0,0.1498565673828125,0.24742897871907138,41,0,0,0,0,0
24774,noise_cleanable,0,0,0.21087646484375,0.3463820549927641,85,0,0,0,0,0
24757,char_touch,1,0,0.1384079391891892,0.80650902618866,0,17,17,0,0,1
24771,noise_cleanable,0,0,0.16900634765625,0.45801733477789813,72,0,0,0,0,0
24840,crop_safe,1,0,0.17510775862068967,0.6471794871794871,1,41,41,0,0,0
24993,noise_cleanable,0,0,0.1935882568359375,0.6463308898872862,40,0,0,0,0,0
25081,noise_cleanable,0,0,0.26031494140625,0.7878663540445486,102,0,0,0,0,1
25235,noise_cleanable,0,0,0.142974853515625,0.7054429028815368,31,0,0,0,0,0
25205,noise_cleanable,0,0,0.1756439208984375,0.5462600990357049,31,0,0,0,0,0
25230,crop_safe,1,0,0.1466552734375,0.6011320126519061,7,0,0,44,52,0
25233,crop_safe,1,0,0.19749735169491525,0.8574142362275115,2,0,0,39,40,0
25297,char_touch,1,0,0.44756799163179917,0.5084355828220859,29,0,17,0,0,1
25358,noise_cleanable,0,0,0.25555419921875,0.9374850728445188,38,0,0,0,0,1
25368,noise_cleanable,0,0,0.1750640869140625,0.6721868735291554,159,0,0,0,0,1
25593,noise_cleanable,0,0,0.2683563232421875,0.9620173992153295,68,0,0,0,0,1
25667,noise_cleanable,0,0,0.275299072265625,0.606584635849684,149,0,0,0,0,0
25738,noise_cleanable,0,0,0.2991943359375,0.853172174622603,38,0,0,0,0,0
1716,noise_cleanable,0,0,0.1912689208984375,0.48767451136816914,94,0,0,0,0,0
1730,noise_cleanable,0,0,0.0501556396484375,0.327350167325829,49,0,0,0,0,0
237609,noise_cleanable,0,0,0.25262451171875,0.44992751872432957,39,0,0,0,0,0
6738,invert_fix,0,1,0.74810791015625,1.0,0,0,0,0,0,1
237020,crop_safe,1,0,0.21520196506550218,0.9626664552948636,0,13,14,0,0,0
6880,clean_noop,0,0,0.5916900634765625,1.0,0,0,0,0,0,1
5963,noise_cleanable,0,0,0.2542572021484375,0.7939746744283742,51,0,0,0,0,0
6140,invert_fix,0,1,0.6820526123046875,1.0,0,0,0,0,0,0
6215,noise_cleanable,0,0,0.284698486328125,0.7010933647765034,80,0,0,0,0,1
8166,crop_safe,1,0,0.10447474888392858,0.7351026539809714,27,0,0,16,16,0
8287,clean_noop,0,0,0.6269989013671875,1.0,0,0,0,0,0,1
8288,clean_noop,0,0,0.7176513671875,1.0,0,0,0,0,0,1
8647,noise_cleanable,0,0,0.1539154052734375,0.6016655100624566,78,0,0,0,0,1
238302,crop_safe,1,0,0.11145571995812015,0.8555476781283233,11,16,17,29,0,0
9807,noise_cleanable,0,0,0.3532257080078125,0.8124757008942071,73,0,0,0,0,1
10830,noise_cleanable,0,0,0.3994903564453125,0.49795653336388984,54,0,0,0,0,0
10816,noise_cleanable,0,0,0.18731689453125,0.6154284783317041,30,0,0,0,0,0
10892,char_touch,1,0,0.152197265625,0.9135386589669554,7,0,0,48,48,1
11010,noise_cleanable,0,0,0.2665252685546875,0.2628957462643843,125,0,0,0,0,0
238374,crop_safe,1,0,0.15986282276995306,0.19869221062292072,12,0,0,21,22,0
238396,noise_cleanable,0,0,0.2238922119140625,0.34655489674913104,245,0,0,0,0,0
10067,crop_safe,1,0,0.16622999237804878,0.7945264364522138,0,0,0,46,46,0
10121,char_touch,1,0,0.28925212378640774,0.5261570735544775,26,0,0,25,25,1
238434,noise_cleanable,0,0,0.22235107421875,0.4884024155915454,87,0,0,0,0,0
10224,noise_cleanable,0,0,0.17596435546875,0.5822927506070066,33,0,0,0,0,0
10443,noise_cleanable,0,0,0.286224365234375,0.771670753811707,106,0,0,0,0,1
12415,char_touch,1,0,0.15057762632978725,0.4309369394232096,0,34,34,0,0,1
13444,crop_safe,1,0,0.0937280547752809,0.6427066260828845,18,0,0,39,39,0
13459,noise_cleanable,0,0,0.142913818359375,0.8100576553491352,47,0,0,0,0,1
13471,noise_cleanable,0,0,0.129364013671875,0.5383345128568059,111,0,0,0,0,0
13871,noise_cleanable,0,0,0.3535003662109375,0.8425346397893555,50,0,0,0,0,1
13863,noise_cleanable,0,0,0.1466522216796875,0.8232233898657788,124,0,0,0,0,1
246309,noise_cleanable,0,0,0.113739013671875,0.3775154279581433,71,0,0,0,0,1
29561,noise_cleanable,0,0,0.1477508544921875,0.3471031705050088,234,0,0,0,0,0
29578,crop_safe,1,0,0.17573609104046242,0.27572915328279585,19,0,0,41,42,0
29613,noise_cleanable,0,0,0.24053955078125,0.3049352956102512,31,0,0,0,0,0
29821,noise_cleanable,0,0,0.333465576171875,0.675757298435069,197,0,0,0,0,1
246583,noise_cleanable,0,0,0.32330322265625,0.5968472720407778,35,0,0,0,0,1
29819,char_touch,1,0,0.28073299632352944,0.3459518450310347,45,0,0,26,26,1
30130,crop_safe,1,0,0.171875,0.3357632933104631,44,48,49,0,0,0
30240,crop_safe,1,0,0.1711300872093023,0.5976218282195562,0,20,21,0,0,0
30241,crop_safe,1,0,0.2841228505291005,0.43725903833563684,2,33,34,0,0,0
30306,clean_noop,0,0,0.4734039306640625,0.486027397260274,1,0,0,0,0,1
246782,char_touch,1,0,0.3841703056768559,0.2948754380979445,5,16,0,15,12,1
30282,noise_cleanable,0,0,0.2768707275390625,0.481124276660237,42,0,0,0,0,0
30327,char_touch,1,0,0.2752888997395833,0.9985958170127854,2,32,32,0,0,1
246796,crop_safe,1,0,0.2116554054054054,0.567537909018356,1,35,36,0,0,0
246841,crop_safe,1,0,0.14825410798122066,0.3746907471548738,3,0,0,21,22,0
30491,crop_safe,1,0,0.33033427254098363,0.4777066976834351,1,0,12,0,0,0
30551,char_touch,1,0,0.40935202205882354,0.7496892666693397,0,0,18,0,0,1
246887,clean_noop,0,0,0.4991912841796875,1.0,0,0,0,0,0,0
30613,noise_cleanable,0,0,0.366180419921875,0.8069422451870989,35,0,0,0,0,0
30813,char_touch,1,0,0.4096924942922374,0.6269319517610693,0,0,0,19,18,1
30822,char_touch,1,0,0.403114248853211,0.56083033293328,1,0,0,18,20,1
30807,noise_cleanable,0,0,0.3280792236328125,0.4060741360866936,251,0,0,0,0,1
30867,crop_safe,1,0,0.20425112612612611,0.9994831150930393,2,0,0,17,17,0
30868,char_touch,1,0,0.22918733465608465,0.9356118676165569,12,0,0,33,34,1
30879,noise_cleanable,0,0,0.2707366943359375,0.3439102744744406,52,0,0,0,0,0
30977,noise_cleanable,0,0,0.2042388916015625,0.642286141202839,31,0,0,0,0,0
30978,noise_cleanable,0,0,0.256256103515625,0.7293080862212695,46,0,0,0,0,1
247052,noise_cleanable,0,0,0.261962890625,0.5737418452935694,33,0,0,0,0,0
31060,clean_noop,0,0,0.4863128662109375,0.9916224781149007,2,0,0,0,0,1
31061,clean_noop,0,0,0.4644775390625,0.8997043363994743,1,0,0,0,0,1
31127,noise_cleanable,0,0,0.22882080078125,0.9492531341691117,31,0,0,0,0,0
3336,noise_cleanable,0,0,0.174774169921875,0.9202025493277458,33,0,0,0,0,1
3401,noise_cleanable,0,0,0.1177520751953125,0.6244654658546067,87,0,0,0,0,0
5365,clean_noop,0,0,0.4932098388671875,0.908857469913065,0,0,0,0,0,1
236574,char_touch,1,0,0.3664198962882096,0.74633396955449,20,0,0,13,14,1
8668,blob_discard,1,0,0.7423043536324786,1.0,0,0,0,0,22,1
8697,noise_cleanable,0,0,0.1467437744140625,0.3160029115108662,62,0,0,0,0,0
9298,noise_cleanable,0,0,0.2615814208984375,0.6120282330980575,33,0,0,0,0,0
238294,noise_cleanable,0,0,0.2964324951171875,0.819478046018428,103,0,0,0,0,1
9760,noise_cleanable,0,0,0.2913055419921875,0.6652873081556755,102,0,0,0,0,1
9764,noise_cleanable,0,0,0.0310821533203125,0.5085910652920962,38,0,0,0,0,0
3810,crop_safe,1,0,0.09765625,0.9885082872928177,2,0,0,37,38,0
3956,noise_cleanable,0,0,0.16363525390625,0.34688549048862366,54,0,0,0,0,0
4063,crop_safe,1,0,0.13196511243386244,0.973061863743148,13,0,0,33,34,0
7292,clean_noop,0,0,0.6257781982421875,1.0,0,0,0,0,0,1
7319,noise_cleanable,0,0,0.3059539794921875,0.903994813226273,103,0,0,0,0,1
7296,invert_fix,0,1,0.7814483642578125,1.0,0,0,0,0,0,1
7350,noise_cleanable,0,0,0.1158447265625,0.5990516332982087,53,0,0,0,0,1
237253,noise_cleanable,0,0,0.1202239990234375,0.7728138088589923,31,0,0,0,0,1
7426,invert_fix,0,1,0.583404541015625,1.0,0,0,0,0,0,1
7445,noise_cleanable,0,0,0.15020751953125,0.46149939049167005,57,0,0,0,0,0
237613,noise_cleanable,0,0,0.1415252685546875,0.7581671159029649,61,0,0,0,0,0
8079,noise_cleanable,0,0,0.417999267578125,0.8736219610133605,83,0,0,0,0,1
6881,invert_fix,0,1,0.6587677001953125,1.0,0,0,0,0,0,1
237066,char_touch,1,0,0.22876862046632124,0.8269485977174201,0,0,0,31,32,1
6882,invert_fix,1,1,0.7209603658536585,0.9941325721535046,0,16,35,0,0,1
6298,invert_fix,0,1,0.6871795654296875,0.960519595869879,0,0,0,0,0,1
6505,noise_cleanable,0,0,0.124176025390625,0.7221676087490784,173,0,0,0,0,0
3748,noise_cleanable,0,0,0.1496124267578125,0.47802141764405914,51,0,0,0,0,0
4193,noise_cleanable,0,0,0.0935516357421875,0.8817484912738541,37,0,0,0,0,0
236022,crop_safe,1,0,0.19439476656626506,0.7117782350804988,29,0,0,45,45,0
