img_id,ink_ratio,small_blobs,edge_ink,main_frac
100284,0.1854,0,0.0000,0.8569
100285,0.1994,0,0.0000,0.7304
100286,0.2726,0,0.0000,1.0000
100287,0.1595,0,0.0000,0.6941
100288,0.2424,0,0.0000,1.0000
100289,0.3126,0,0.0000,1.0000
10029,0.3651,0,0.0000,1.0000
100290,0.2257,0,0.0000,1.0000
100291,0.1527,0,0.0000,1.0000
100292,0.2468,0,0.0000,1.0000
100293,0.2419,0,0.0000,1.0000
100294,0.2574,0,0.0000,1.0000
100295,0.2355,0,0.0000,1.0000
100296,0.2261,0,0.0000,1.0000
100297,0.2296,0,0.0000,1.0000
100298,0.2233,0,0.0000,0.7246
100299,0.2210,0,0.0000,1.0000
1003,0.1426,17,0.0074,0.9432
10030,0.3639,0,0.0000,1.0000
100300,0.2028,0,0.0000,1.0000
100301,0.2228,0,0.0000,1.0000
100302,0.2013,0,0.0000,1.0000
100303,0.2183,0,0.0000,1.0000
100304,0.2227,0,0.0000,1.0000
100305,0.2959,1,0.0000,0.9995
100306,0.2492,0,0.0000,1.0000
100307,0.1829,0,0.0000,0.8511
100308,0.1861,0,0.0000,0.8311
100309,0.2701,0,0.0000,0.7765
10031,0.0516,3,0.0000,0.4573
100310,0.2982,1,0.0022,0.7623
100311,0.2471,0,0.0000,0.8195
100312,0.2335,0,0.0000,1.0000
100313,0.2276,0,0.0000,0.8088
100314,0.2489,0,0.0000,1.0000
100315,0.2669,0,0.0000,1.0000
100316,0.2460,0,0.0000,1.0000
100317,0.2205,0,0.0000,1.0000
100318,0.2048,0,0.0000,1.0000
100319,0.2689,0,0.0000,0.8302
10032,0.2942,32,0.0780,0.8150
100320,0.3851,0,0.0000,0.4125
100321,0.3480,0,0.0000,0.7078
100322,0.3441,1,0.0000,0.8709
100323,0.3974,0,0.0000,1.0000
100324,0.4774,0,0.0000,1.0000
100325,0.4054,0,0.0000,1.0000
100326,0.3172,1,0.0000,0.9999
100327,0.2770,2,0.0000,0.9987
100328,0.2652,0,0.0000,1.0000
100329,0.1395,0,0.0000,1.0000
10033,0.2075,0,0.0203,0.5910
100330,0.3666,2,0.1956,0.4140
100331,0.4225,85,0.3561,0.9026
100332,0.4711,0,0.0000,1.0000
100333,0.2031,28,0.0961,0.8926
100334,0.2332,1,0.0925,0.9765
100335,0.1732,1,0.0000,0.8725
100336,0.1913,0,0.0000,0.8917
100337,0.1523,0,0.0000,0.9030
100338,0.1492,0,0.0000,0.9251
100339,0.1099,0,0.0000,0.8380
10034,0.1973,0,0.0491,0.6171
100340,0.1239,0,0.0000,0.9321
100745,0.0197,390,0.0049,0.1986
100746,0.3357,0,0.0420,0.9732
100747,0.1852,14,0.0645,0.7464
100748,0.2236,0,0.0339,0.9816
100749,0.1650,3,0.0941,0.9336
10075,0.1191,13,0.0024,0.9891
100750,0.3471,0,0.0398,1.0000
100751,0.2708,0,0.0204,1.0000
100752,0.1427,0,0.0267,1.0000
100753,0.6549,0,0.3975,1.0000
100754,0.1068,0,0.0135,1.0000
100755,0.7270,0,0.7289,0.9360
100756,0.2510,0,0.0183,0.4636
100757,0.2103,0,0.0284,0.7135
100758,0.2729,0,0.0239,0.5467
100759,0.2878,0,0.0380,0.5118
10076,0.4575,0,0.1672,1.0000
100760,0.2674,0,0.0200,1.0000
100761,0.1582,0,0.0233,0.7176
100762,0.2345,0,0.0209,0.6352
100763,0.2246,6,0.0312,0.5648
100764,0.2140,11,0.0333,0.3635
100765,0.2599,0,0.0000,0.5598
100766,0.2386,17,0.0032,0.5931
100767,0.2222,0,0.0000,1.0000
100768,0.6015,1,0.2717,0.9447
100769,0.8543,0,0.4668,1.0000
10077,0.3665,8,0.1396,0.7473
100770,0.6166,0,0.2109,0.9266
100771,0.3279,0,0.0103,0.7132
100772,0.2634,0,0.0000,0.5267
100773,0.2003,0,0.0178,0.4653
100774,0.2362,1,0.0458,0.5012
100775,0.2389,6,0.0356,0.4910
100776,0.1038,0,0.0033,1.0000
100777,0.0777,0,0.0017,1.0000
100778,0.1286,0,0.0000,1.0000
100779,0.1104,0,0.0000,1.0000
10078,0.1562,1,0.0334,0.9374
100780,0.1305,0,0.0000,1.0000
100781,0.1269,0,0.0031,1.0000
100782,0.1084,0,0.0000,1.0000
100783,0.1715,0,0.0017,1.0000
100784,0.1364,0,0.0000,1.0000
100785,0.0596,0,0.0000,0.6183
100786,0.0977,0,0.0000,0.4857
100787,0.1072,0,0.0037,0.8355
100788,0.1592,0,0.0000,1.0000
100789,0.2576,0,0.0000,1.0000
10079,0.0829,3,0.0370,0.6159
100790,0.1540,0,0.0000,1.0000
100791,0.1086,0,0.0000,0.5464
100792,0.1679,0,0.0000,1.0000
100793,0.1193,0,0.0000,1.0000
100794,0.1078,0,0.0027,0.7053
100795,0.1269,0,0.0000,1.0000
100796,0.2076,0,0.0000,1.0000
100797,0.1330,0,0.0016,0.6639
100798,0.1030,0,0.0004,1.0000
100799,0.0876,0,0.0000,1.0000
1008,0.2239,20,0.0570,0.6581
10080,0.1334,0,0.0120,0.8557
100800,0.1523,0,0.0007,0.7014
100801,0.1649,0,0.0082,0.8927
100860,0.2067,0,0.0160,1.0000
100861,0.3229,0,0.0117,0.7586
100862,0.1694,0,0.0000,1.0000
100863,0.1794,6,0.0000,0.7540
100864,0.1901,0,0.0070,0.6400
100865,0.2061,0,0.0029,0.6563
100866,0.2659,0,0.0001,0.7562
100867,0.4735,0,0.0011,0.5021
100868,0.2225,0,0.0026,0.5721
100869,0.1858,0,0.0059,0.9837
10087,0.1877,0,0.0000,1.0000
100870,0.3556,0,0.0133,1.0000
100871,0.1278,7,0.0741,0.7820
100872,0.1562,2,0.0691,0.8958
100873,0.1595,1,0.0199,0.9985
100874,0.1351,0,0.0067,0.5089
100875,0.1276,0,0.0140,1.0000
100876,0.2288,0,0.0073,0.5404
100877,0.0845,0,0.0319,0.4707
100878,0.2502,0,0.0116,1.0000
100879,0.1390,0,0.0087,0.8948
10088,0.1185,0,0.0211,1.0000
100880,0.1500,0,0.0121,0.5094
100881,0.1682,0,0.0129,0.6028
100882,0.3750,0,0.0000,0.5802
100883,0.1040,14,0.0275,0.2751
100884,0.1798,7,0.0402,0.8601
100885,0.2298,79,0.0574,0.4879
100886,0.2465,23,0.0103,0.4930
100887,0.2804,4,0.0000,0.9971
100888,0.1600,1,0.0304,0.8971
100889,0.0981,2,0.0000,0.4245
10089,0.0753,0,0.0182,1.0000
100890,0.2088,0,0.0000,1.0000
100891,0.1318,0,0.0000,1.0000
