img_id,steps,b_ink,b_nsmall,b_ncc,b_mainfrac,b_edge8,b_framew,b_inset,a_ink,a_nsmall,a_ncc,a_mainfrac,a_edge8,a_framew,a_inset
249466,"['rm_smallCC', 'edge_clean']",0.305816650390625,51,92,0.6200977946312743,0.1937255859375,0,0,0.284576416015625,8,52,0.6663806970509384,0.09814453125,0,0
36903,"['rm_smallCC', 'edge_clean']",0.18206787109375,30,34,0.8878645658732819,0.085205078125,1,0,0.1708984375,0,4,0.9458928571428571,0.014404296875,0,1
36932,"['crop(0, 0, 37, 38)', 'rm_smallCC', 'edge_clean']",0.40924072265625,8,11,0.5093959731543625,0.6597900390625,38,0,0.16171011740331492,1,5,0.5490457760576538,0.03246567505720824,0,0
37040,"['crop(18, 19, 0, 0)', 'rm_smallCC']",0.27447509765625,3,12,0.2704024905492551,0.5753173828125,19,0,0.15066709474885845,0,7,0.49271930863028296,0.0,0,8
37166,"['crop(0, 0, 34, 34)', 'rm_smallCC', 'edge_clean']",0.39373779296875,20,30,0.715315454968222,0.6932373046875,34,0,0.14943484042553193,4,13,0.4513348164627364,0.007882882882882882,0,4
37220,"['rm_smallCC', 'edge_clean']",0.1921844482421875,209,219,0.30607383882493056,0.1041259765625,0,0,0.1660308837890625,12,27,0.35428728977116075,0.03369140625,0,4
250179,"['rm_smallCC', 'edge_clean']",0.248504638671875,43,58,0.29031069630357365,0.1632080078125,1,0,0.2303466796875,4,18,0.31319554848966613,0.0616455078125,0,4
37426,"['crop(0, 0, 43, 43)', 'rm_smallCC', 'edge_clean']",0.48211669921875,21,32,0.5050322825674136,0.73583984375,43,0,0.2154641544117647,1,10,0.5267143009491309,0.07188967136150234,0,0
37632,"['crop(0, 0, 30, 31)', 'rm_smallCC', 'edge_clean']",0.376678466796875,20,32,0.4540225228874666,0.64404296875,31,0,0.1639823717948718,3,18,0.3597605668214024,0.041158536585365856,0,0
37636,"['crop(40, 40, 0, 0)', 'rm_smallCC', 'edge_clean']",0.4421539306640625,2,12,0.35862925768713116,0.65869140625,40,0,0.18690074573863635,0,9,0.3226457665360408,0.007957175925925927,0,4
37716,"['crop(0, 0, 0, 12)', 'edge_clean']",0.2518310546875,0,5,0.588402811439651,0.544921875,12,0,0.19774590163934427,0,4,0.7861884715025906,0.1365,0,4
249866,"['crop(17, 0, 20, 18)', 'edge_clean']",0.490966796875,0,5,0.5212580805569369,0.930419921875,20,0,0.33958389313270126,1,10,0.5549087209630927,0.5637308533916849,0,0
249890,"['rm_smallCC', 'edge_clean']",0.2136688232421875,84,93,0.5906591444690423,0.0826416015625,0,0,0.1983642578125,1,10,0.6362307692307693,0.0086669921875,0,4
37890,"['crop(0, 0, 17, 17)', 'rm_smallCC', 'edge_clean']",0.462921142578125,1,4,0.5630232711450985,0.9677734375,17,0,0.3480785472972973,2,7,0.6042867253058336,0.5481171548117155,0,0
37893,"['crop(0, 0, 17, 13)', 'rm_smallCC', 'edge_clean']",0.463348388671875,5,7,0.8934663768688665,0.9412841796875,17,0,0.3583033738938053,0,5,0.3739507959479016,0.5442168049792531,0,0
37938,"['rm_smallCC', 'edge_clean']",0.3110198974609375,49,61,0.7974782907324731,0.2257080078125,1,0,0.283172607421875,6,20,0.8759025757085893,0.0333251953125,0,4
38883,"['rm_smallCC', 'edge_clean']",0.1890106201171875,64,70,0.9306531040607088,0.0498046875,0,0,0.1784515380859375,1,5,0.9857203933304831,0.0181884765625,0,0
39044,"['rm_smallCC', 'edge_clean']",0.205596923828125,35,40,0.9617040225619712,0.067138671875,0,0,0.2022552490234375,0,5,0.9775933609958506,0.060302734375,0,0
38134,"['crop(15, 13, 0, 0)', 'rm_smallCC', 'edge_clean']",0.465728759765625,5,12,0.8825437389424022,0.9334716796875,15,0,0.36734169407894735,0,9,0.37209085397136327,0.5853564049586777,4,0
39387,"['crop(0, 0, 15, 0)', 'rm_smallCC', 'edge_clean']",0.4893341064453125,1,3,0.9808226012660202,0.879638671875,15,0,0.43385308609958506,0,3,0.6938767885829566,0.6384557344064387,5,0
39567,"['rm_smallCC', 'edge_clean']",0.2269287109375,276,312,0.49771382463690156,0.1539306640625,0,0,0.1957550048828125,3,38,0.5769740431834126,0.1129150390625,0,0
39579,"['rm_smallCC', 'edge_clean']",0.233306884765625,60,70,0.7284499672988881,0.1468505859375,0,0,0.213348388671875,4,15,0.7965956229437848,0.0552978515625,0,0
39622,"['crop(31, 32, 0, 0)', 'edge_clean']",0.3748321533203125,1,10,0.34695705271728067,0.6778564453125,32,0,0.16396130181347152,1,10,0.3123071225774596,0.050250556792873054,0,4
39989,"['crop(0, 0, 15, 15)', 'edge_clean']",0.4579925537109375,0,3,0.9958687323005164,0.941650390625,15,0,0.34907356194690264,3,11,0.8042186571598336,0.44774377593361,0,0
40112,"['crop(13, 16, 0, 0)', 'rm_smallCC', 'edge_clean']",0.421173095703125,5,10,0.9554380117382798,0.8204345703125,16,0,0.3264902257709251,1,7,0.5911031465767143,0.4557453416149068,2,0
40118,"['crop(0, 0, 32, 32)', 'rm_smallCC', 'edge_clean']",0.38800048828125,8,15,0.32385559226050026,0.637939453125,32,0,0.18147786458333334,2,7,0.6341928251121076,0.010323660714285714,0,4
40141,"['crop(28, 28, 0, 0)', 'rm_smallCC', 'edge_clean']",0.4461822509765625,0,2,0.5063438322902774,0.65771484375,28,0,0.28193359375,0,1,1.0,0.03248355263157895,0,0
40187,"['rm_smallCC', 'edge_clean']",0.12261962890625,86,91,0.554629168740667,0.0596923828125,0,0,0.1131591796875,1,5,0.6009978425026968,0.0152587890625,0,4
41010,"['crop(13, 13, 0, 0)', 'rm_smallCC', 'edge_clean']",0.25848388671875,2,6,0.5980519480519481,0.5616455078125,13,0,0.17275815217391305,0,2,0.9959693275658671,0.0,0,11
41036,"['crop(31, 31, 0, 0)', 'edge_clean']",0.344329833984375,0,7,0.35167951785872553,0.630859375,31,0,0.13408102448453607,0,5,0.6121039195074336,0.009166666666666667,0,4
41134,"['rm_smallCC', 'edge_clean']",0.167449951171875,58,61,0.9382176052487698,0.056640625,0,0,0.1575775146484375,2,3,0.9969981601626804,0.0050048828125,0,4
40302,"['crop(0, 12, 0, 0)', 'edge_clean']",0.2217559814453125,0,3,0.5948530929608478,0.544921875,12,0,0.16619172643442623,0,2,0.8327714093054619,0.131,0,4
15783,"['crop(41, 42, 0, 0)']",0.427703857421875,0,10,0.38358901177310023,0.66259765625,42,0,0.15313403179190752,0,8,0.3674432320849307,0.0013111888111888112,0,6
15878,"['rm_smallCC', 'edge_clean']",0.3126983642578125,100,154,0.21831845020250817,0.2203369140625,0,0,0.29571533203125,1,54,0.2308565531475748,0.1815185546875,0,2
15973,"['crop(25, 26, 0, 0)']",0.3015899658203125,0,6,0.33675689349860866,0.599609375,26,0,0.1278391768292683,0,4,0.6580712475778805,0.0,0,8
16309,"['crop(18, 18, 0, 0)', 'rm_smallCC']",0.3696136474609375,7,12,0.372703628782562,0.5703125,18,0,0.26466619318181817,0,3,0.6056621494700121,0.0021008403361344537,0,4
16670,"['crop(17, 17, 0, 0)', 'rm_smallCC', 'edge_clean']",0.4807586669921875,59,77,0.8480337702732726,0.7255859375,17,0,0.38555743243243246,4,21,0.8112906170135086,0.40559623430962344,1,0
16711,"['rm_smallCC', 'edge_clean']",0.2320404052734375,45,54,0.5806536463470771,0.051025390625,0,0,0.220550537109375,2,11,0.6109035561090356,0.0062255859375,0,4
16837,"['rm_smallCC', 'edge_clean']",0.1847076416015625,50,75,0.3961999173895085,0.08984375,1,0,0.1672515869140625,1,28,0.43755131831037314,0.0242919921875,0,4
16977,"['rm_smallCC', 'edge_clean']",0.30450439453125,42,51,0.7441371016235718,0.0892333984375,0,0,0.2891387939453125,3,11,0.7836825162277693,0.0057373046875,0,4
