img_id,ink_ratio,n_small,n_cc,main_frac,edge_ink8,frame_w,frame_sides,bbox_inset,is_dark
3075,0.0713958740234375,0,1,1.0,0.0,0,,18,0.0
3076,0.23388671875,0,1,1.0,0.0308837890625,0,,0,0.0
3107,0.0376129150390625,0,2,0.9768762677484787,0.0069580078125,0,,0,0.0
235454,0.222991943359375,0,1,1.0,0.0294189453125,0,,0,0.0
235455,0.0651092529296875,0,1,1.0,0.0,0,,32,0.0
3077,0.029937744140625,1,4,0.6493374108053007,0.0072021484375,0,,0,0.0
3078,0.052703857421875,1,3,0.9765489287782282,0.0079345703125,0,,0,0.0
3079,0.0897979736328125,7,9,0.9658453695836874,0.014892578125,0,,0,0.0
3080,0.302154541015625,0,1,1.0,0.0235595703125,0,,0,0.0
3081,0.217926025390625,0,1,1.0,0.02197265625,0,,0,0.0
3082,0.2160186767578125,0,1,1.0,0.032958984375,0,,0,0.0
3083,0.1159515380859375,0,1,1.0,0.0284423828125,0,,0,0.0
235456,0.2377777099609375,0,1,1.0,0.009521484375,0,,0,0.0
235457,0.252655029296875,0,1,1.0,0.0169677734375,0,,0,0.0
3089,0.1967010498046875,0,1,1.0,0.037353515625,0,,0,0.0
235459,0.257598876953125,0,1,1.0,0.0198974609375,0,,1,0.0
235460,0.3255157470703125,0,1,1.0,0.060791015625,0,,0,0.0
3123,0.059722900390625,0,2,0.5687276443536025,0.0242919921875,0,,0,0.0
3126,0.14093017578125,0,1,1.0,0.0322265625,0,,0,0.0
3211,0.04156494140625,0,3,0.40381791483113066,0.010498046875,0,,0,0.0
3217,0.16259765625,0,1,1.0,0.0284423828125,0,,0,0.0
235476,0.47308349609375,0,1,1.0,0.0,0,,10,0.0
235513,0.3167724609375,0,1,1.0,0.0318603515625,0,,0,0.0
3223,0.2365570068359375,0,2,0.6999290459910985,0.025390625,0,,0,0.0
3229,0.0286407470703125,3,6,0.6515716568993074,0.0150146484375,0,,0,0.0
3230,0.2220306396484375,3,5,0.6972029413785994,0.0205078125,0,,0,0.0
3224,0.1542816162109375,0,2,0.9952526950845614,0.03515625,0,,0,0.0
3225,0.1406707763671875,2,4,0.6401995878077883,0.031982421875,0,,0,0.0
3226,0.0772857666015625,0,3,0.6136229022704837,0.0242919921875,0,,0,0.0
3228,0.3130035400390625,0,1,1.0,0.0433349609375,0,,0,0.0
3231,0.289642333984375,0,1,1.0,0.0828857421875,0,,0,0.0
3232,0.1647796630859375,0,2,0.6072784517084915,0.036376953125,0,,0,0.0
3233,0.14776611328125,0,2,0.5546261875258158,0.0286865234375,0,,0,0.0
