exp,run,kind,step,ssim,mse,lpips,skel_iou,base_ssim
s21_fame_flow_v2,20260829-2323,base,37500,0.46184649181688237,1.0527832705378533,0.4423004261553288,0.01523811820619222,
s21_fame_flow_v2,20260829-2323,base,40000,0.4641156303034656,1.0423252668976783,0.44073305612802505,0.015036778355853975,
s26_ctrl_gt_skel,20260831-1229,ctrl,5000,0.5030633832811024,0.9518372759222984,0.4244851416349411,0.014177209361878893,0.49590545750502224
s26_ctrl_gt_skel,20260831-1229,ctrl,10000,0.4808982009350903,1.0302960538864137,0.43176695466041565,0.014320198525637347,0.4959053177160964
s26_ctrl_gt_skel,20260831-1229,ctrl,15000,0.47294699773328136,1.045601291358471,0.4347833678126335,0.013506303054460411,0.4959052686935157
s26_ctrl_gt_skel,20260831-1229,ctrl,20000,0.4722108610286931,1.0426351463794707,0.4351676362752914,0.014974570300330036,0.4959059298131361
s26_ctrl_gt_skel,20260831-1229,ctrl,25000,0.48326439204571203,0.993888253569603,0.4315169942378998,0.016241675228858124,0.4958910710916163
s26_ctrl_gt_skel,20260831-1229,ctrl,30000,0.4883079153606014,0.9699623629450798,0.42982454746961596,0.01703832338989468,0.4959028678435164
s26_ctrl_gt_skel,20260831-1229,ctrl,35000,0.48957267736874455,0.9655905404686927,0.42864832311868667,0.01694498993355735,0.4959067588118571
s26_ctrl_gt_skel,20260831-1229,ctrl,40000,0.4928157271014224,0.9543055096268653,0.42691679745912553,0.016882231428837664,0.49590518195168753
s26_ctrl_gt_skel,20260831-1229,ctrl,45000,0.4921746291912005,0.9512062433362007,0.4272930774092674,0.016437602609867413,0.4959039422084968
s26_ctrl_gt_skel,20260831-1229,ctrl,50000,0.4924388704299819,0.9515651479363442,0.4273492506146431,0.017261397557395794,0.4958911154550495
s26_ctrl_gt_skel,20260831-1229,ctrl,55000,0.4844428712531014,0.9842271348834037,0.4319841942191124,0.01735814601568262,0.4959035037348765
s26_ctrl_gt_skel,20260831-1229,ctrl,60000,0.4807422819115569,0.9977224233746529,0.43346350252628324,0.017252591923603962,0.4959065397091388
s26_ctrl_gt_skel,20260831-1229,ctrl,65000,0.4778246840107292,1.0162442180514335,0.43371935218572616,0.017139292459405337,0.4959051093371252
s26_ctrl_gt_skel,20260831-1229,ctrl,70000,0.4731940609736343,1.0368464034795761,0.43530649453401565,0.016571512932793502,0.49590173781036284
s26_ctrl_gt_skel,20260831-1229,ctrl,75000,0.4769532463062299,1.0188953897356987,0.4335570865869522,0.01731507795007751,0.4959017368048198
s26_ctrl_gt_skel,20260831-1229,ctrl,80000,0.4713775941485089,1.0375336909294128,0.43613935381174085,0.017506561762419003,0.49589154912884836
s26_ctrl_gt_skel,20260831-1229,ctrl,85000,0.47025322185276375,1.0385797008872033,0.43604152649641037,0.01751021917491178,0.49590638924412966
s30_dino_char_strong_pretrain,20260901-0358,base,1000,0.4297345243338012,1.0889280606508256,0.5074784267544746,0.010166670601709154,
s30_dino_char_strong_pretrain,20260901-0358,base,2000,0.44842816125420004,1.0712596051692962,0.477766700565815,0.011306762063867486,
s30_dino_char_strong_pretrain,20260901-0358,base,3000,0.4502717175833718,1.0716596487164498,0.4704760499596596,0.012058822429094755,
s30_dino_char_strong_pretrain,20260901-0358,base,4000,0.4435629258746605,1.0869246077537538,0.47098536318540574,0.013016650612175116,
s30_dino_char_strong_pretrain,20260901-0358,base,5000,0.44419361260653123,1.0847040277123452,0.46927837628126146,0.013183429986032788,
s30_dino_char_strong_pretrain,20260901-0358,base,7500,0.44482643691244356,1.0821385191082955,0.4671893904209137,0.01344686407247621,
s30_dino_char_strong_pretrain,20260901-0358,base,10000,0.44451355734600717,1.079148276090622,0.4660754350423813,0.013631258638997033,
s30_dino_char_strong_pretrain,20260901-0358,base,12500,0.44373356332142694,1.0774515147805215,0.46506556326150894,0.013809842145925122,
s30_dino_char_strong_pretrain,20260901-0358,base,15000,0.44548602497842843,1.0694988300204278,0.46301299142837526,0.013930261073808126,
s30_dino_char_strong_pretrain,20260901-0358,base,17500,0.4464356874725858,1.06623708152771,0.4615415714979172,0.013874508556200338,
s30_dino_char_strong_pretrain,20260901-0525,base,20000,0.14487731702164355,1.2418727329969406,0.7308671208620071,0.012159957791874707,
s30_dino_char_strong_pretrain,20260901-0525,base,22500,0.24672242926527485,1.2930710616111756,0.6242542628049851,0.011218783936997934,
s30_dino_char_strong_pretrain,20260901-0525,base,25000,0.3727859534314623,1.1779260222315788,0.5187259830236435,0.012995565820600328,
s30_dino_char_strong_pretrain,20260901-0525,base,27500,0.42366149820788934,1.1124387390613555,0.4796174712181091,0.013235921520679244,
s30_dino_char_strong_pretrain,20260901-0525,base,30000,0.4400326442228181,1.0840810279250146,0.4667873717546463,0.013499654545305216,
s30_dino_char_strong_pretrain,20260901-0525,base,32500,0.44723493186956254,1.066103172659874,0.4616073508858681,0.013740922160732257,
s30_dino_char_strong_pretrain,20260901-0525,base,35000,0.4511235989853085,1.0564486676454543,0.45897922191023827,0.013950051071591267,
s30_dino_char_strong_pretrain,20260901-0525,base,37500,0.45152331930157985,1.0561392151713371,0.45820904010534286,0.013686108148796674,
s30_dino_char_strong_pretrain,20260901-0525,base,40000,0.4511240135551127,1.0561003006100655,0.45781470119953155,0.013874575700440142,
s30_dino_char_strong_pretrain,20260901-0525,base,42500,0.4513942864577637,1.0501860040426254,0.4572079864144325,0.013867535760551277,
s30_dino_char_strong_pretrain,20260901-0525,base,45000,0.45400265249030486,1.0417391244769096,0.4552821191549301,0.01383580723511914,
s30_dino_char_strong_pretrain,20260901-0525,base,47500,0.4550038210973456,1.0402137807011604,0.45386066299676897,0.013871369101376697,
s30_dino_char_strong_pretrain,20260901-0525,base,50000,0.4576102615177328,1.031335429728031,0.4521298775672913,0.014073267023124062,
s30_dino_char_strong_pretrain,20260901-0525,base,52500,0.45920519575713287,1.0257242705225944,0.45087773448228835,0.014259085185430129,
s30_dino_char_strong_pretrain,20260901-0525,base,55000,0.4593993413218004,1.0220134316682816,0.45030235514044764,0.01424324721765468,
s30_dino_char_strong_pretrain,20260901-0525,base,57500,0.4621773940120966,1.0143751336932183,0.4484181746542454,0.014279723983816111,
s30_dino_char_strong_pretrain,20260901-0525,base,60000,0.46396846857828383,1.008632002055645,0.4473007209300995,0.014319490193346364,
s30_dino_char_strong_pretrain,20260901-0525,base,62500,0.46432330993858845,1.0067262240052224,0.4473807310461998,0.014269734702009587,
s30_dino_char_strong_pretrain,20260901-0525,base,65000,0.465928588929385,1.002551230072975,0.44625118520855905,0.014454955391102116,
s30_dino_char_strong_pretrain,20260901-0525,base,67500,0.46628606292051195,1.0004540333151817,0.44590857008099555,0.014935293622863223,
s30_dino_char_strong_pretrain,20260901-0525,base,70000,0.4668752667974326,0.9966926224827767,0.44582610309123993,0.015129665708930165,
s30_dino_char_strong_pretrain,20260901-0525,base,72500,0.468111482269201,0.9935266710519791,0.4451767326295376,0.015055548553268265,
s30_dino_char_strong_pretrain,20260901-0525,base,75000,0.469781165672399,0.9875534672141075,0.4437507578134537,0.014918931090559816,
s30_dino_char_strong_pretrain,20260901-0525,base,77500,0.4708745894196177,0.9833122818470001,0.4431436315178871,0.015416254509869087,
s30_dino_char_strong_pretrain,20260901-0525,base,80000,0.4719485326663792,0.9799537342190743,0.4424855520427227,0.015559283800200432,
s30_dino_char_strong_pretrain,20260901-0525,base,82500,0.4726074417990983,0.9773892642259597,0.4421028594970703,0.01530035071852592,
s30_dino_char_strong_pretrain,20260901-0525,base,85000,0.4730844890354816,0.9745600041747093,0.4414784823656082,0.015622027982286587,
s30_dino_char_strong_pretrain,20260901-0525,base,87500,0.47379740505256995,0.9714445183277131,0.4409235186576843,0.015566096857047974,
s30_dino_char_strong_pretrain,20260901-0525,base,90000,0.4736409376728207,0.9698271294832229,0.4409666742682457,0.015542448076929036,
s30_dino_char_strong_pretrain,20260901-0525,base,92500,0.4749798023941612,0.965555500805378,0.44020256930589674,0.01568428749897407,
s30_dino_char_strong_pretrain,20260901-0525,base,95000,0.4752927787921553,0.9642188196778297,0.44006449711322787,0.015888998225752793,
s30_dino_char_strong_pretrain,20260901-0525,base,97500,0.4758879133974233,0.9625833643078804,0.4395600616931915,0.015696518407200724,
s30_dino_char_strong_pretrain,20260901-0525,base,100000,0.4762570216135941,0.961118514418602,0.439143369615078,0.015744863852541976,
s30_dino_char_strong_pretrain,20260901-0525,base,102500,0.47718355573492954,0.9578719013929367,0.43864031678438187,0.01577900552653739,
s30_dino_char_strong_pretrain,20260901-0525,base,105000,0.4780580503775669,0.9545955932140351,0.4382505251467228,0.015826591417847778,
s30_dino_char_strong_pretrain,20260901-0525,base,107500,0.4786197459666529,0.9514194865822792,0.43802890568971636,0.015983731370730378,
s30_dino_char_strong_pretrain,20260901-0525,base,110000,0.4797953347941364,0.9475811641812325,0.4371081778407097,0.015954012765439212,
s30_dino_char_strong_pretrain,20260901-0525,base,112500,0.48061475341774224,0.9456533092260361,0.4366620257496834,0.015818723082236207,
s30_dino_char_strong_pretrain,20260901-0525,base,115000,0.481514388896905,0.9423580963015556,0.4360465665757656,0.015814507928081898,
s30_dino_char_strong_pretrain,20260901-0525,base,117500,0.48165489552655993,0.940759209394455,0.43587383288145065,0.0159702800455496,
s30_dino_char_strong_pretrain,20260901-0525,base,120000,0.4829543497158265,0.9371380145549775,0.4350603629052639,0.01600658593224185,
s30_dino_char_strong_pretrain,20260901-0525,base,122500,0.48207198443542815,0.9373456509709358,0.4358767701983452,0.01592619420022401,
s30_dino_char_strong_pretrain,20260901-0525,base,125000,0.48285294886897623,0.9347908125519753,0.43523987248539925,0.015926049566640628,
s30_dino_char_strong_pretrain,20260901-0525,base,127500,0.48352260354657306,0.9315629712641239,0.4348431667983532,0.015964907212676942,
s30_dino_char_strong_pretrain,20260901-0525,base,130000,0.48405869510077815,0.9298840564489365,0.4344877708554268,0.016099302556238385,
s30_dino_char_strong_pretrain,20260901-0525,base,132500,0.4840198390874048,0.9296705196499825,0.434360507696867,0.016196527017268588,
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,2500,0.5431937894554915,0.8716072262823582,0.42441538721323013,0.010163681372231538,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,5000,0.5544425787061291,0.849524343162775,0.4209723362326622,0.00985169692043913,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,7500,0.5625936485623543,0.8202096648514271,0.425999658703804,0.008852932737444679,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,10000,0.563118240323671,0.8065825690329075,0.43723287642002107,0.007171259871153734,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,12500,0.5591817484859809,0.7964237405359745,0.45477052599191664,0.006524125592353813,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,15000,0.5480139168493036,0.7946971184015275,0.46731573462486264,0.006574521748544481,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,17500,0.5434407684518173,0.7943348798155785,0.473029750585556,0.006349489947430411,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,20000,0.5448684091610023,0.7934605693817138,0.47407845556735995,0.006938395642164162,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,22500,0.5448106861010102,0.79269904717803,0.47428406566381454,0.0071188888271407095,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,25000,0.5412142203231786,0.7973005799949169,0.47822291046381,0.007638323521522434,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,27500,0.5485141255080398,0.7934231723845006,0.47620433181524274,0.007740527548635785,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,30000,0.5469435170948506,0.7949772165715694,0.47731788784265516,0.007854009750375509,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,32500,0.5463468149252683,0.7920975171029567,0.4764774614572525,0.008805832815785956,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,35000,0.5431327372141987,0.7914083068072796,0.47879161685705185,0.009238690996945666,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,37500,0.539333206941853,0.7933050474524498,0.47943185895681384,0.009858315798120958,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,40000,0.53575347419328,0.7955939677357674,0.47996290296316146,0.009697525188568184,0.4945918085545009
s31_ctrl_gt_skel_1px,20260901-1358,ctrl,42500,0.5350497589145988,0.796156607568264,0.4786892610788345,0.00978696701167854,0.4945918085545009
s32b_repa_strong,20260901-2042,ctrl,2500,0.8099940180450891,0.13789920639246703,0.1492543563246727,0.36786791257972046,0.4521186354837938
s32b_repa_strong,20260901-2042,ctrl,5000,0.8110540849561241,0.13498617688193917,0.14793367199599744,0.37085701661566695,0.4605087892528349
s32b_repa_strong,20260901-2042,ctrl,7500,0.8130459293393965,0.13115904396399855,0.1459268594533205,0.37755201984003717,0.4696748068226996
s32b_repa_strong,20260901-2042,ctrl,10000,0.8157908688097539,0.1258986097201705,0.143267108425498,0.3906794124419533,0.4755237676584088
s32b_repa_strong,20260901-2042,ctrl,12500,0.816915696936074,0.12358977602794767,0.1422395272925496,0.397745565026186,0.4822802740575438
s32b_repa_strong,20260901-2042,ctrl,15000,0.8177303726512146,0.12356320589780807,0.1419949020445347,0.4021460165381043,0.4805732298467731
s32b_repa_strong,20260901-2042,ctrl,17500,0.8172562600021697,0.12320129815489053,0.14193797677755357,0.4051340552111804,0.4729151110806162
s32b_repa_strong,20260901-2042,ctrl,20000,0.8176712896605062,0.12259641705080866,0.1419861651957035,0.40791797840805144,0.4627390713226085
s32c_chain,20260902-0046,ctrl,5000,0.8112268453130171,0.13592830404639245,0.1479177624732256,0.36900630965454584,0.4604347983358557
s32c_chain,20260902-0932,ctrl,5000,0.7217425385113887,0.1941930366680026,0.2462362118065357,0.317066260680692,0.2424533254318799
s32c_chain,20260902-0046,ctrl,10000,0.8149910205904988,0.12515959531068802,0.14327567249536513,0.3885338045468509,0.4776430841606012
s32c_chain,20260902-0932,ctrl,10000,0.7226777297700351,0.1943183721974492,0.24532152488827705,0.3319772008135415,0.1859191421809321
s32c_chain,20260902-0046,ctrl,15000,0.8157647889608205,0.12496125664561987,0.14182083051651717,0.40290682026235136,0.4823485570489548
s32c_chain,20260902-0932,ctrl,15000,0.7208273128637047,0.19339989367872476,0.24591592252254485,0.33922456945410945,0.1398724417771416
s32c_chain,20260902-0046,ctrl,20000,0.8154848746318791,0.12454118089750409,0.1415278259292245,0.41148822557592274,0.46068110513774124
s32c_chain,20260902-0046,ctrl,25000,0.8180376750558114,0.12353350076824426,0.14096622478216886,0.418833236914002,0.42832134088141954
s32c_chain,20260902-0046,ctrl,30000,0.8190673417324813,0.12263914538547396,0.14080095451325178,0.423568262784136,0.3931169531479901
s32c_chain,20260902-0046,ctrl,35000,0.8199531451165707,0.12177958490327001,0.14076115868985653,0.4268936509102009,0.359852689906199
s32c_chain,20260902-0046,ctrl,40000,0.8204070736029404,0.12107276394963265,0.14074281375855208,0.43125508708661564,0.3317509972483678
s32c_chain,20260902-0046,ctrl,45000,0.8198326880556113,0.12064981399104,0.14131356790661811,0.4345817957814115,0.30947282571718693
s32c_chain,20260902-0046,ctrl,50000,0.8198092623963616,0.12040639534592629,0.14159144937992096,0.43611576862629603,0.29025409641281597
s32c_chain,20260902-0046,ctrl,55000,0.8197478922138376,0.12032333028502762,0.14187175989151002,0.43729925965562366,0.275596751746077
s32c_chain,20260902-0046,ctrl,60000,0.8198001876672483,0.12017739174887537,0.14207216598093508,0.4388314891802985,0.2621448877008358
s32c_chain,20260902-0046,ctrl,65000,0.8196126720092434,0.12022651217877865,0.14220863722264768,0.4404834288754849,0.25297409143121624
s32c_chain,20260902-0046,ctrl,70000,0.8194945195686367,0.12018584853969515,0.14250144459307193,0.44090307158011355,0.24507322649227611
s32c_chain,20260902-0046,ctrl,75000,0.8193553390383893,0.12036038227379323,0.1425641081482172,0.4418706390473053,0.2390527501402824
s32c_chain,20260902-0046,ctrl,80000,0.8192025162398876,0.12036371486261487,0.14277813330292702,0.4414316041153756,0.23366521382861025
s32c_chain,20260902-0046,ctrl,85000,0.8191052979416614,0.1204608383309096,0.1428590614721179,0.44127974955494637,0.23005780684920296
s32c_chain,20260902-0046,ctrl,90000,0.8190196097674896,0.1205589138995856,0.14293127980083228,0.44074927839671196,0.22644520020110348
v8_3stage,20260902-1256,base,1000,0.446793597535785,1.1688337745666504,0.4932149996757507,0.010393061157813369,
v8_3stage,20260902-1234,base,1000,0.4472787669860376,1.1655798748731614,0.4937907584905624,0.010542605602064162,
v8_3stage,20260902-1227,base,1000,0.44591213789635875,1.1669964212179185,0.4965450037121773,0.010271313017281482,
v8_3stage,20260902-1256,base,2000,0.46273960553332744,1.1604212527275086,0.46210203421115875,0.010550536123273675,
v8_3stage,20260902-1227,base,2000,0.4613214127568746,1.163922565639019,0.4638771807551384,0.010465843556170256,
v8_3stage,20260902-1256,base,3000,0.46739579691770383,1.1582486333250999,0.4528594943284988,0.01082953811285694,
v8_3stage,20260902-1256,base,4000,0.4686230489827568,1.1602004377245902,0.4496991213560104,0.010947533041563574,
v8_3stage,20260902-1256,base,5000,0.4672761542997449,1.163341000020504,0.45002460038661957,0.010949549226557356,
v8_3stage,20260902-1256,base,7500,0.4700447393831165,1.1592158326506614,0.4476037621498108,0.011037972758042294,
v8_3stage,20260902-1256,base,10000,0.4728865671503851,1.1471673412919043,0.44505031687021257,0.011047357225816883,
v8_3stage,20260902-1256,base,12500,0.47372770642322737,1.1426396077275276,0.4435293025374413,0.011256101196964614,
v8_3stage,20260902-1256,base,15000,0.4737166805297067,1.1379419201016425,0.4429615491628647,0.011537692849352871,
v8_3stage,20260902-1256,base,17500,0.4752760419092762,1.1323673179745675,0.4417471540570259,0.011554214091614001,
v8_3stage,20260902-1256,base,20000,0.4760577119509499,1.1317222424149513,0.4401844588518143,0.011781892264764381,
v8_3stage,20260902-1256,base,22500,0.4763107832096722,1.1273022285699845,0.4395273096561432,0.011649483025224852,
v8_3stage,20260902-1256,base,25000,0.4780044312353365,1.1209706593155861,0.4384955301880836,0.011751555710078217,
v8_3stage,20260902-1256,base,27500,0.47885532643486467,1.1199801125526427,0.437837548494339,0.011674858116020205,
v8_3stage,20260902-1256,base,30000,0.48161077162482024,1.1106425343751907,0.4364248132109642,0.011990549983740216,
v8_3stage,20260902-1256,base,32500,0.4826492686254396,1.1061753116846085,0.4354414190649986,0.01170696728054619,
v8_3stage,20260902-1256,base,35000,0.48303933174626,1.1054248206019401,0.4347170611023903,0.011801104202646247,
v8_3stage,20260902-1256,base,37500,0.48344086544243353,1.1022385569810866,0.434387553691864,0.011628905374791783,
v8_3stage,20260902-1256,base,40000,0.4847633380937629,1.0976739164590836,0.432994365811348,0.011891605272129237,
v8_3stage,20260902-1256,base,42500,0.4875414172271497,1.090604722082615,0.43098845529556273,0.012087566978709371,
v8_3stage,20260902-1256,base,45000,0.4883506076372621,1.0862574458122254,0.42992781853675843,0.012184524357595847,
v8_3stage,20260902-1256,base,47500,0.48978642412783713,1.0823934332728387,0.4289412962794304,0.012198130377440388,
v8_3stage,20260902-1256,base,50000,0.49132394425799186,1.079175782740116,0.42764314341545107,0.012346233489823558,
v8_3stage,20260902-1256,base,52500,0.49299454195421655,1.0748653551340104,0.4266636787056923,0.012430962882056867,
v8_3stage,20260902-1256,base,55000,0.4945730846282265,1.0712973200678826,0.42542282658815384,0.012304637155325305,
v8_3stage,20260902-1256,base,57500,0.4950602654749755,1.0699663633704186,0.4248332735300064,0.012417622875244434,
v8_3stage,20260902-1256,base,60000,0.4955136554566462,1.0669268392324447,0.424480647444725,0.01253690754993066,
v8_3stage,20260902-1256,base,62500,0.49624296847652805,1.06504651761055,0.42356961262226106,0.01269865702746235,
v8_3stage,20260902-1256,base,65000,0.49699387908159975,1.0615871260166168,0.423099347114563,0.01265568365080269,
v8_3stage,20260902-1256,base,67500,0.49744405377864054,1.059546459376812,0.4227647731304169,0.012681082719793516,
v8_3stage,20260902-1256,base,70000,0.4985938812275335,1.0555619981884956,0.4222585036754608,0.012633780191006715,
v8_3stage,20260902-1256,base,72500,0.49946319630283137,1.052938171863556,0.4218794838786125,0.012527760483875357,
v8_3stage,20260902-1256,base,75000,0.49956165192893504,1.052059064924717,0.4216744164228439,0.01270534348297053,
v8_3stage,20260902-1256,base,77500,0.5002944898983854,1.0502740982174874,0.42111789041757586,0.012649948411032348,
v8_3stage,20260902-1256,base,80000,0.50146159896189,1.0474874108433723,0.42015851455926895,0.012699042548071027,
v8_3stage,20260902-1256,base,82500,0.5019194522223893,1.0449940353035927,0.4197135835289955,0.012910837279142417,
v8_3stage,20260902-1256,base,85000,0.5015463366991508,1.0440542157292365,0.4198884160220623,0.012866821598439913,
v8_3stage,20260902-1256,base,87500,0.5025479003173098,1.0411590723991393,0.4191396909356117,0.012948201614965753,
v8_3stage,20260902-1256,base,90000,0.503650502479877,1.0385893102288246,0.41847677475214007,0.012996447000678436,
v8_3stage,20260902-1256,base,92500,0.5041319354109355,1.037970207989216,0.4182101580798626,0.013028490593179782,
v8_3stage,20260902-1256,base,95000,0.5045012733762688,1.0368440161943435,0.4180408374965191,0.013150774723638885,
