exp,run,kind,step,ssim,mse,lpips,skel_iou,base_ssim
s21_fame_flow_v2,20260829-2323,base,1000,0.4203972222844351,1.1324101141095162,0.5127578979730606,0.00979599769932885,
s21_fame_flow_v2,20260829-2323,base,2000,0.4393034654095609,1.1162158526182175,0.48006688606739045,0.01109908047511915,
s21_fame_flow_v2,20260829-2323,base,3000,0.43977411950896966,1.1225238479375839,0.47239419287443163,0.012372270871536622,
s21_fame_flow_v2,20260829-2323,base,4000,0.4316549169608929,1.1416939587593078,0.4733766255378723,0.012790499263442296,
s21_fame_flow_v2,20260829-2323,base,5000,0.43176886985036994,1.1403183569312096,0.4719323919415474,0.013266787691798364,
s21_fame_flow_v2,20260829-2323,base,7500,0.44797154660510324,1.093774034678936,0.46099965390563014,0.01370736425372727,
s21_fame_flow_v2,20260829-2323,base,10000,0.45137783077889765,1.0864865884184838,0.45735926181077957,0.013655860656410923,
s21_fame_flow_v2,20260829-2323,base,12500,0.4410735095011959,1.1148017483353614,0.46097892326116563,0.013614653180311872,
s21_fame_flow_v2,20260829-2323,base,15000,0.4454766470880119,1.101453367292881,0.4577626095712185,0.013560298604905123,
s21_fame_flow_v2,20260829-2323,base,17500,0.4560863247797014,1.072001944541931,0.4514355965256691,0.01388802033728338,
s21_fame_flow_v2,20260829-2323,base,20000,0.4576456144534941,1.0650150997042656,0.4500133356750011,0.014014941127619512,
s21_fame_flow_v2,20260829-2323,base,22500,0.4629330467419175,1.0460646328926086,0.4468305107653141,0.014394493274198965,
s21_fame_flow_v2,20260829-2323,base,25000,0.4647389514221675,1.0375274354219437,0.44515104377269743,0.014278256990493106,
s21_fame_flow_v2,20260829-2323,base,27500,0.4664453140476511,1.0324826529622078,0.4429713848829269,0.01432022615910201,
s21_fame_flow_v2,20260829-2323,base,30000,0.46700584437779147,1.0337688889503478,0.4416304787397385,0.014413085370218987,
s21_fame_flow_v2,20260829-2323,base,32500,0.45909657739017307,1.0635712311863899,0.4444852083623409,0.015061710394209164,
s21_fame_flow_v2,20260829-2323,base,35000,0.4599167390556246,1.0590195801854134,0.44363793647289274,0.014981015287766221,
